sleeve,source,seats,hold,color,hard_red,date,n_held,n_buy,n_skip,n_sell,day_pnl,equity
book_25_h1,book,25,1,all,none,2026-08-13,25,25,0,0,2.003,10200.3
book_25_h1,book,25,1,all,none,2026-08-14,25,18,0,18,0.519,10253.24
book_25_h1,book,25,1,all,none,2026-08-17,23,12,0,14,-1.559,10093.39
book_25_h1,book,25,1,all,none,2026-08-18,17,17,0,23,2.767,10372.67
book_25_h1,book,25,1,all,none,2026-08-19,25,9,0,1,-0.776,10292.18
book_25_h1,book,25,1,all,none,2026-08-20,15,15,0,25,1.208,10416.51
book_25_h1,book,25,1,all,none,2026-08-21,22,14,0,7,-0.611,10352.87
book_25_h1,book,25,1,all,none,2026-08-27,16,11,0,17,0.118,10365.09
book_25_h1,book,25,1,all,none,2026-08-30,21,16,0,11,0.035,10368.72
book_25_h1,book,25,1,all,none,2026-08-31,10,10,0,21,-0.485,10318.43
book_25_h1,book,25,1,all,none,2026-09-01,10,9,0,9,-1.006,10214.63
overlay_25_h1,overlay,25,1,all,none,2026-08-13,25,25,0,0,2.003,10200.3
overlay_25_h1,overlay,25,1,all,none,2026-08-14,25,18,0,18,0.519,10253.24
overlay_25_h1,overlay,25,1,all,none,2026-08-17,23,12,0,14,-1.559,10093.39
overlay_25_h1,overlay,25,1,all,none,2026-08-18,22,22,0,23,2.322,10327.76
overlay_25_h1,overlay,25,1,all,none,2026-08-19,25,10,0,7,-0.643,10261.35
overlay_25_h1,overlay,25,1,all,none,2026-08-20,17,17,0,25,0.931,10356.88
overlay_25_h1,overlay,25,1,all,none,2026-08-21,24,16,0,9,-0.411,10314.31
overlay_25_h1,overlay,25,1,all,none,2026-08-27,19,14,0,19,-0.131,10300.8
overlay_25_h1,overlay,25,1,all,none,2026-08-30,25,20,0,14,0.135,10314.71
overlay_25_h1,overlay,25,1,all,none,2026-08-31,12,12,0,25,-0.329,10280.77
overlay_25_h1,overlay,25,1,all,none,2026-09-01,11,10,0,11,-1.008,10177.14
mine_25_h1,mine,25,1,all,none,2026-08-13,25,25,0,0,3.366,10336.6
mine_25_h1,mine,25,1,all,none,2026-08-14,25,15,0,15,1.579,10499.81
mine_25_h1,mine,25,1,all,none,2026-08-17,24,24,0,25,-2.151,10273.96
mine_25_h1,mine,25,1,all,none,2026-08-18,25,24,0,23,-0.736,10198.34
mine_25_h1,mine,25,1,all,none,2026-08-19,25,25,0,25,-0.989,10097.48
mine_25_h1,mine,25,1,all,none,2026-08-20,23,23,0,25,1.161,10214.71
mine_25_h1,mine,25,1,all,none,2026-08-21,25,23,0,21,0.689,10285.09
mine_25_h1,mine,25,1,all,none,2026-08-27,25,24,0,24,1.13,10401.31
mine_25_h1,mine,25,1,all,none,2026-08-30,25,25,0,25,-0.101,10390.8
mine_25_h1,mine,25,1,all,none,2026-08-31,25,24,0,24,-0.084,10382.07
mine_25_h1,mine,25,1,all,none,2026-09-01,25,24,0,24,-0.638,10315.83
overlay_10_h1,overlay,10,1,all,none,2026-08-13,10,10,0,0,0.756,10075.6
overlay_10_h1,overlay,10,1,all,none,2026-08-14,10,10,0,10,0.304,10106.23
overlay_10_h1,overlay,10,1,all,none,2026-08-17,10,8,0,8,-2.459,9857.72
overlay_10_h1,overlay,10,1,all,none,2026-08-18,10,10,0,10,2.353,10089.67
overlay_10_h1,overlay,10,1,all,none,2026-08-19,10,6,0,6,-0.394,10049.92
overlay_10_h1,overlay,10,1,all,none,2026-08-20,10,10,0,10,0.397,10089.82
overlay_10_h1,overlay,10,1,all,none,2026-08-21,10,5,0,5,-0.71,10018.18
overlay_10_h1,overlay,10,1,all,none,2026-08-27,10,10,0,10,0.084,10026.6
overlay_10_h1,overlay,10,1,all,none,2026-08-30,10,7,0,7,0.013,10027.9
overlay_10_h1,overlay,10,1,all,none,2026-08-31,10,10,0,10,-0.485,9979.26
overlay_10_h1,overlay,10,1,all,none,2026-09-01,10,9,0,9,-1.006,9878.87
overlay_50_h1,overlay,50,1,all,none,2026-08-13,25,25,0,0,2.003,10200.3
overlay_50_h1,overlay,50,1,all,none,2026-08-14,25,18,0,18,0.519,10253.24
overlay_50_h1,overlay,50,1,all,none,2026-08-17,23,12,0,14,-1.559,10093.39
overlay_50_h1,overlay,50,1,all,none,2026-08-18,26,26,0,23,2.04,10299.3
overlay_50_h1,overlay,50,1,all,none,2026-08-19,26,10,0,10,-0.789,10218.04
