date,Ticker,stack,score,inv_score,blue,ab,peer,short,sma20,ab_up,white,steady,join,points,n_red,relvol,sector,ret_1d,ret_2d,ret_3d,ret_1w,side,action,rule
2026-08-13,AAP,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Consumer Cyclical,-1.412,-1.116,-0.697,-26.098,buy,buy,join_band
2026-08-13,ABX,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Financial,8.803,7.042,5.751,7.512,buy,buy,join_band
2026-08-13,AEO,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Consumer Cyclical,-0.798,0.307,0.307,-1.84,buy,buy,join_band
2026-08-13,AHCO,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Healthcare,1.93,1.93,2.105,-5.439,buy,buy,join_band
2026-08-13,AIOT,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Technology,-0.955,-8.28,-4.777,-3.822,buy,buy,join_band
2026-08-13,AIRS,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Healthcare,1.479,-8.728,-20.266,-21.006,buy,buy,join_band
2026-08-13,AISP,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Technology,1.031,4.124,5.155,4.639,buy,buy,join_band
2026-08-13,ALT,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Healthcare,2.083,4.167,3.125,2.431,buy,buy,join_band
2026-08-13,AMZE,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Technology,18.932,2.427,-1.942,-7.282,buy,buy,join_band
2026-08-13,AOSL,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Technology,0.49,1.47,-7.315,-14.37,buy,buy,join_band
2026-08-13,APEI,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Consumer Defensive,-0.022,-2.056,-1.216,-1.879,buy,buy,join_band
2026-08-13,ARDX,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Healthcare,3.836,3.836,0.256,-0.256,buy,buy,join_band
2026-08-13,ARKO,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Consumer Cyclical,7.778,7.311,4.219,2.0,buy,buy,join_band
2026-08-13,ARQT,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Healthcare,1.394,-0.852,2.749,-1.858,buy,buy,join_band
2026-08-13,AUPH,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Healthcare,1.91,0.725,0.791,13.768,buy,buy,join_band
2026-08-13,BBBY,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Consumer Cyclical,-2.027,,,,buy,buy,join_band
2026-08-13,BKKT,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Technology,3.378,-3.784,-6.351,1.351,buy,buy,join_band
2026-08-13,BLBD,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Industrials,0.216,-1.222,-4.964,-5.165,buy,buy,join_band
2026-08-13,BLND,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Technology,-3.871,-4.516,-6.452,-5.806,buy,buy,join_band
2026-08-13,BROS,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Consumer Cyclical,1.741,-1.389,-5.261,-3.442,buy,buy,join_band
2026-08-13,BXBL,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Consumer Cyclical,-0.842,-9.474,-14.105,-10.947,buy,buy,join_band
2026-08-13,CDNL,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Industrials,13.733,13.185,30.237,21.898,buy,buy,join_band
2026-08-13,CISS,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Industrials,-3.659,2778.049,3265.854,3473.171,buy,buy,join_band
2026-08-13,CLSK,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Financial,4.948,7.639,1.823,9.375,buy,buy,join_band
2026-08-13,COIN,join_band,8,0,False,missing,missing,high,below,False,True,True,good,11,0,normal,Financial,-3.528,-2.177,-4.984,11.988,buy,buy,join_band
2026-08-14,ANGI,steady_blue,11,0,True,missing,missing,high,below,False,True,True,good,11,0,normal,Communication Services,-5.508,-1.907,1.695,4.237,buy,buy,steady_blue
2026-08-14,BMBL,steady_blue,11,0,True,missing,missing,high,below,False,True,True,good,11,0,normal,Communication Services,-4.059,0.369,2.952,3.321,buy,buy,steady_blue
