bucket,disc_H,disc_absI,disc_dI,disc_green,disc_hold,disc_lift_H,disc_lift_abs,disc_lift_g,disc_meanI,disc_n,hold_H,hold_absI,hold_dI,hold_green,hold_hold,hold_lift_H,hold_lift_abs,hold_lift_g,hold_meanI,hold_n,kind,rule,sign_ok
holdG,0.08784031378941494,0.04587235642544501,-0.004570420022961428,0.3052813492377828,0.009974311682589223,1.8151573382366673,1.8028714128033292,0.979406015767371,-0.012437656592378,12534,0.08146479054215967,0.03957765615840332,-0.005300136979877363,0.33930844364370366,0.023334249501754216,1.916837854069479,1.516924128809666,1.1905345687502422,-0.01154020431190444,173,single,N_last20_r>=6,True
h10,0.08814397780959661,0.04753424705899241,0.0029357874626990852,0.4947092929618341,0.05484817335371259,1.8160702723824316,1.8032533152688377,0.9638199502038799,0.005718940137028234,12418,0.08111105104336706,0.041053064498602736,0.004038386362319485,0.5618497109826589,0.08062068880976465,1.889992624841706,1.5043694939809191,1.1801497733341908,0.00785792994695566,173,single,N_last20_r>=6,True
h5,0.08821968457320847,0.047249209792145766,0.0032258759085271966,0.5011845685929214,0.029024367446744536,1.8141890222141945,1.7938544354061565,0.9671144169201159,0.00627886914526157,12494,0.08232679958693624,0.04198713357779938,0.003488777932927411,0.547976878612717,0.03372177787552798,1.9264801110166236,1.5523336371996392,1.1596988038871643,0.00691684266748412,173,single,N_last20_r>=6,True
holdG,0.07876334456514002,0.040973619701895725,-0.0026990262422428163,0.31436734096634317,0.009998283398403906,1.627588253090976,1.6103416827884585,1.0085557655977588,-0.010566262811659387,19739,0.07684913937577666,0.037758387100173915,-0.005501751651173523,0.3259004611945787,0.018007486575843168,1.8082332063680382,1.4471955647891037,1.1434898608984045,-0.0117418189832006,204,single,N_last10_r>=3,True
h1,0.047866280610318696,0.026217339302447955,0.004745283815199231,0.5709878651276097,0.0007580894039024527,0.9823603146540416,0.9906754969210025,1.1069982379490442,0.007557347282470213,87846,0.04246640353196914,0.031194071560806978,0.009541058028843823,0.5355914389451557,-0.0015575512793644468,0.9935262123435681,1.1488063244961133,1.1412099194765315,0.012851735440734258,62796,single,J_ge0,True
h10,0.07846988740388464,0.04217892170578961,0.002400878919981737,0.5055173817885713,0.050355107564648914,1.6167506088643548,1.600094355255831,0.9848768654124419,0.005184031594310886,19647,0.0764935293626386,0.03798304359714954,0.003029347790714274,0.5426470588235295,0.07008011190937856,1.7823983844840339,1.3918700777634725,1.1398151337499207,0.006848891375350448,204,single,N_last10_r>=3,True
holdG,0.047752408098851604,0.024520758059548863,0.003289509332887619,0.34592760631175157,0.0028703861016768175,0.9867694027926796,0.9637127274609726,1.109807656077421,-0.004577727236528952,85955,0.04236554583594623,0.027593949894532448,0.005677537014059923,0.3245469146876049,-0.0027200400031046203,0.9968463851218106,1.057615141145586,1.1387406601721897,-0.0005625303179671542,62796,single,J_ge0,True
holdG,0.04800290860355845,0.025661794371642503,-0.0005086810190353223,0.30426987215039053,0.00021413643599934746,0.9919458167845591,1.0085576386088788,0.9761609870531169,-0.008375917588451893,30715,0.06992486830601848,0.035002585852244986,-0.004939127702653204,0.32101798860273434,0.018308293167445828,1.6453075447414764,1.3415717908481704,1.1263586856787566,-0.01117919503468028,118,single,M_last10_g>=3,True
h5,0.07894301938668781,0.04224120686738584,0.0030793547755466897,0.5124003857672238,0.028588928650568488,1.6234195332326689,1.6037215570230572,0.9887570994098444,0.0061323480122810635,19701,0.07715672046730412,0.03873956834961269,0.002635149068221966,0.5313725490196081,0.028926169686507266,1.8054981871919777,1.432265789906065,1.124558596480556,0.006063213802778676,204,single,N_last10_r>=3,True
holdG,0.0475721361699017,0.0247160757475237,-0.0003898709942019938,0.30394988816976626,0.0018156196578916581,0.983044212153038,0.9713890864602532,0.9751344119401758,-0.008257107563618565,21695,0.04361156083389978,0.025445757102660616,-0.0020497521904392314,0.32019702075702183,0.0014985084676361192,1.026164679552085,0.9752796570460941,1.1234781484611815,-0.008289819522466308,4375,single,fill0_M_green,True
