date,recipe,side,ticker,shares,price,fees,pnl,fill_rule,status
2026-09-22,union_hot_n4_h1,SELL,CYPH,629,3.51,8.2362,-324.56,open,locked
2026-09-22,union_hot_n4_h1,SELL,FEAM,1019,2.47,13.3344,-26.48,open,locked
2026-09-22,union_hot_n4_h1,SELL,LVWR,1746,1.5,22.8342,-27.9,open,locked
2026-09-22,union_hot_n4_h1,SELL,TJGC,147,17.58,2.4761,93.58,open,locked
2026-09-22,union_hot_n4_h1,BUY,GRAL,23,106.75,2.059,,open,locked
2026-09-22,union_hot_n4_h1,BUY,NUAI,342,7.23,4.4118,,open,locked
2026-09-22,union_hot_n4_h1,BUY,ARM,7,319.41,2.011,,open,locked
2026-09-22,union_hot_n4_h1,BUY,INDP,798,3.1,10.2942,,open,locked
2026-09-23,union_hot_n4_h1,SELL,ARM,7,331.78,2.0396,82.54,open,locked
2026-09-23,union_hot_n4_h1,SELL,GRAL,23,108.52,2.089,36.56,open,locked
2026-09-23,union_hot_n4_h1,SELL,INDP,798,3.93,10.4518,641.59,open,locked
2026-09-23,union_hot_n4_h1,SELL,NUAI,342,6.83,4.4873,-145.7,open,locked
2026-09-23,union_hot_n4_h1,BUY,FEAM,899,2.92,11.5971,,open,locked
2026-09-23,union_hot_n4_h1,BUY,GLND,973,2.7,12.5517,,open,locked
2026-09-23,union_hot_n4_h1,BUY,VICR,9,266.5,2.017,,open,locked
2026-09-23,union_hot_n4_h1,BUY,VKTX,62,41.76,2.176,,open,locked
2026-09-24,union_hot_n4_h1,SELL,FEAM,899,2.61,11.7651,-302.05,open,locked
2026-09-24,union_hot_n4_h1,SELL,VKTX,62,36.025,2.2042,-359.95,open,locked
2026-09-25,union_hot_n4_h1,,,,,,,,not_locked
