date,cash,equity,open
2026-08-13,9843.05,99647.14,9
2026-08-14,9843.05,102903.51,9
2026-08-17,9843.05,102248.39,9
2026-08-18,9843.05,104515.98,9
2026-08-19,9843.05,107607.95,9
2026-08-20,325.99,104545.17,10
2026-08-21,325.99,105542.93,10
2026-08-24,325.99,104922.32,10
2026-08-25,325.99,104977.63,10
2026-08-26,325.99,103686.95,10
2026-08-27,252.7,102509.25,10
2026-08-28,252.7,101465.58,10
2026-08-31,252.7,102249.09,10
2026-09-01,252.7,102835.75,10
2026-09-02,252.7,104091.63,10
2026-09-03,104122.47,104122.47,0
2026-09-04,104122.47,104122.47,0
2026-09-08,104122.47,104122.47,0
2026-09-09,104122.47,104122.47,0
