entry_dt,ticker,side,shares,entry_px,exit_dt,exit_px,notional,fee_in,fee_out,pnl,ret_pct,conviction,cond_tally,reason,source
2026-08-13 16:00 ET,INO,BUY,11111,0.9,2026-08-20 16:00 ET,1.21,9999.9,133.33,145.28,3165.8,31.66,0.36148173496922226,micro,join=+0.58; sector=+0.65; gen=+0.60,
2026-08-13 16:00 ET,TNDM,BUY,431,23.13,2026-08-20 16:00 ET,22.57,9969.03,5.56,5.71,-252.63,-2.53,0.36148173496922226,small,join=+0.58; sector=+0.65; gen=+0.60,
2026-08-13 16:00 ET,AGEN,BUY,1426,7.0,2026-08-20 16:00 ET,7.49,9982.0,18.4,18.72,661.62,6.63,0.35435517946019324,small,join=+0.56; sector=+0.65; gen=+0.60,
2026-08-13 16:00 ET,ACHV,BUY,1377,7.25,2026-08-20 16:00 ET,8.02,9983.25,17.76,18.08,1024.45,10.26,0.35435517946019324,small,join=+0.56; sector=+0.65; gen=+0.60,
2026-08-13 16:00 ET,VOR,BUY,428,23.29,2026-08-20 16:00 ET,23.065,9968.12,5.52,5.67,-107.49,-1.08,0.35435517946019324,small,join=+0.56; sector=+0.65; gen=+0.60,
2026-08-13 16:00 ET,SGRY,BUY,657,15.19,2026-08-20 16:00 ET,13.94,9979.83,8.48,8.66,-838.39,-8.4,0.349270993615345,small,join=+0.55; sector=+0.65; gen=+0.60,
2026-08-13 16:00 ET,WW,BUY,690,14.45,2026-08-20 16:00 ET,15.0,9970.5,8.9,9.1,361.5,3.63,0.349270993615345,micro,join=+0.55; sector=+0.65; gen=+0.60,
2026-08-13 16:00 ET,TGTX,BUY,208,47.94,2026-08-20 16:00 ET,50.56,9971.52,2.68,2.8,539.48,5.41,0.341270929998091,mid,join=+0.53; sector=+0.65; gen=+0.60,
2026-08-13 16:00 ET,MBRX,BUY,17478,0.571,2026-08-20 16:00 ET,0.591,9979.94,152.23,158.71,38.62,0.39,0.341270929998091,micro,join=+0.53; sector=+0.65; gen=+0.60,
2026-08-20 16:00 ET,ELF,BUY,106,98.46,2026-08-27 16:00 ET,106.17,10436.76,2.31,2.42,812.53,7.79,1.123011118899036,mid,"join=+0.87; gen1d=+0.47; ab=+0.55; LEAD,peers↓,ind↓; peer=+0.81; mid_opp=+0.60; rebound_floor",
2026-08-20 16:00 ET,MOS,BUY,447,23.35,2026-08-27 16:00 ET,23.76,10437.45,5.77,5.93,171.57,1.64,1.066074398095789,mid,"join=+0.98; gen1d=+0.23; ab=+0.64; LEAD,peers↑,ind↑; peer=+0.05; mid_opp=+0.68; rebound_floor",
2026-08-20 16:00 ET,AUPH,BUY,605,17.27,2026-08-27 16:00 ET,16.475,10448.35,7.8,7.98,-496.76,-4.75,1.024104627225661,mid,"join=+0.93; gen1d=+0.47; ab=+0.81; LEAD,peers↑,ind↑; peer=+0.76; mid_opp=+0.52",
2026-08-20 16:00 ET,CE,BUY,222,46.98,2026-08-27 16:00 ET,44.87,10429.56,2.86,2.98,-474.26,-4.55,1.019943099633672,mid,"join=+0.95; gen1d=+0.07; ab=+0.64; LEAD,peers↑,ind↑; peer=+0.51; mid_opp=+0.64",
2026-08-20 16:00 ET,OCUL,BUY,942,11.09,2026-08-27 16:00 ET,10.82,10446.78,12.15,12.39,-278.88,-2.67,1.0189832064262645,mid,"join=+0.54; gen1d=+0.23; ab=+0.70; LEAD,peers↑,ind↑; peer=+0.80; mid_opp=+0.60",
2026-08-20 16:00 ET,EPAM,BUY,97,106.76,2026-08-27 16:00 ET,112.77,10355.72,2.28,2.38,578.31,5.58,1.0151188041829688,mid,"join=-0.15; sector1d=+0.40; gen1d=+0.47; ab=+0.46; LEAD,peers↓,ind↓; peer=+0.80; mid_opp=+0.68",
2026-08-20 16:00 ET,WRBY,BUY,380,27.46,2026-08-27 16:00 ET,25.27,10434.8,4.9,5.04,-842.14,-8.07,1.0053647962916905,mid,"join=+0.90; gen1d=+0.47; ab=+0.76; LEAD,peers↓,ind↑; peer=+0.75; mid_opp=+0.52",
2026-08-20 16:00 ET,CELH,BUY,321,32.54,2026-08-27 16:00 ET,32.99,10445.34,4.14,4.28,136.03,1.3,0.9996144298068768,mid,"join=+0.73; gen1d=+0.23; ab=+0.64; LEAD,peers↑,ind↑; peer=+0.87; mid_opp=+0.56",
2026-08-20 16:00 ET,IRTC,BUY,81,127.98,2026-08-27 16:00 ET,116.33,10366.38,2.23,2.32,-948.2,-9.15,0.9937264098960743,mid,"join=+0.82; gen1d=+0.47; ab=+0.46; LEAD,peers↓,ind↓; peer=+0.51; mid_opp=+0.64",
2026-08-20 16:00 ET,CALX,BUY,258,40.38,2026-08-27 16:00 ET,37.69,10418.04,3.33,3.45,-700.8,-6.73,0.986034375206462,mid,"sector1d=+0.40; gen1d=+0.23; ab=+0.36; LEAD,peers↓,ind↓; peer=+0.78; mid_opp=+0.68",
2026-08-27 16:00 ET,RRC,BUY,246,41.64,2026-09-03 16:00 ET,42.37,10243.44,3.17,3.3,173.11,1.69,1.388915822721268,mid,"join=+0.98; sector1d=-0.24; news=+0.88; ev=hormuz_energy_risk; ab=+0.76; LEAD,peers↓,ind↓,sec↓; peer=+0.60; mid_opp=+0.60",
2026-08-27 16:00 ET,CRK,BUY,701,14.62,2026-09-03 16:00 ET,14.95,10248.62,9.04,9.24,213.05,2.08,1.22063139704186,mid,"join=+0.97; sector1d=-0.24; ab=+0.64; LEAD,peers↓,ind↓,sec↓; peer=+0.84; mid_opp=+0.68",
2026-08-27 16:00 ET,ACMR,BUY,127,80.49,2026-09-03 16:00 ET,69.42,10222.23,2.37,2.46,-1410.72,-13.8,1.2026858360045434,mid,"join=+0.95; sector1d=+0.40; news=+0.35; ev=ai_chip_demand_spike; ab=+0.76; LEAD,peers↓,ind↓,sec↓; peer=+0.52; mid_opp=+0.60",
2026-08-27 16:00 ET,MOS,BUY,431,23.76,2026-09-03 16:00 ET,25.49,10240.56,5.56,5.72,734.35,7.17,1.1792097848896126,mid,"join=+0.99; sector1d=-0.32; ab=+0.70; LEAD,peers↑,ind↑,sec↑; peer=+0.74; mid_opp=+0.64",
2026-08-27 16:00 ET,ELF,BUY,96,106.17,2026-09-03 16:00 ET,107.41,10192.32,2.28,2.38,114.38,1.12,1.1616650493866103,mid,"join=+0.92; sector1d=-0.24; ab=+0.81; LEAD,peers↓,ind↑,sec↑; peer=+0.74; mid_opp=+0.60",
2026-08-27 16:00 ET,EPAM,BUY,90,112.77,2026-09-03 16:00 ET,119.88,10149.3,2.26,2.36,635.28,6.26,1.1533931500652344,mid,"join=+0.84; sector1d=+0.40; ab=+0.94; LEAD,peers↓,ind↑,sec↓; peer=+0.42; mid_opp=+0.64",
2026-08-27 16:00 ET,CXT,BUY,206,49.71,2026-09-03 16:00 ET,49.99,10240.26,2.66,2.77,52.25,0.51,1.1460285576098999,mid,"join=+0.94; sector1d=-0.56; ab=+0.95; LEAD,peers↑,ind↓; peer=+0.48; mid_opp=+0.60",
2026-08-27 16:00 ET,XP,BUY,579,17.68,2026-09-03 16:00 ET,20.0,10236.72,7.47,7.66,1328.15,12.97,1.1361403475711962,mid,"join=+0.95; sector1d=+0.24; ab=+0.98; LEAD,peers↑,ind↑,sec↑; peer=+0.74; mid_opp=+0.52",
2026-08-27 16:00 ET,MNDY,BUY,103,99.505,2026-09-03 16:00 ET,97.33,10249.01,2.3,2.4,-228.72,-2.23,1.1267745901161483,mid,"join=+0.98; sector1d=+0.40; ab=+0.70; LEAD,peers↓,ind↓,sec↓; peer=+0.36; mid_opp=+0.68",
2026-08-27 16:00 ET,VNT,BUY,309,33.12,2026-09-03 16:00 ET,33.02,10234.08,3.99,4.12,-39.01,-0.38,1.1130297696058042,mid,"join=+0.85; sector1d=+0.40; ab=+0.94; LEAD,peers↑,sec↓; peer=+0.25; mid_opp=+0.64",
