Ticker,sector,industry,price,c1_candle_pass,c1_candle_bull,c1_candle_detail,c1_green_body,c1_red_body,c3_down_pass,c3_down_bull,c3_down_n,c3_down_detail,c4_peer_outperform_pass,c4_peer_outperform_bull,c4_rs_7d,c4_overtake_7d,c4_leadership_7d,c4_ret_7d,c4_detail,c4_peers_used,c5_peer_breadth_pass,c5_peer_breadth_bull,c5_peer_breadth_7d,checklist_score,n_pass,n_fail,n_bars
A,Healthcare,Diagnostics & Research,148.52999877929688,True,1,green=9.9300 red=2.3400 bias=7.5900 n=10,9.930007934570312,2.339996337890625,False,0,1,1 consecutive down sessions,True,1,0.05305168917463898,False,True,0.052583078001921635,ret7=+5.3% breadth=75% rs7=+5.31% overtake=False lead=True peers=8,ABT|BIO|DHR|IDXX|IQV|MTD|TMO|WAT,True,1,0.75,3,3,1,273
AA,Basic Materials,Aluminum,49.97999954223633,True,1,green=5.1466 red=3.9297 bias=1.2168 n=10,5.146567632038163,3.929732952594847,False,0,0,0 consecutive down sessions,True,1,0.1394411971920011,False,True,0.05005228238853299,ret7=+5.0% breadth=22% rs7=+13.94% overtake=False lead=True peers=9,BTU|CENX|CLF|FCX|KALU|NUE|RIO|STLD|VALE,False,-1,0.2222222222222222,1,2,2,275
AAA,Financial,Exchange Traded Fund,24.954999923706055,True,1,green=0.1550 red=0.0870 bias=0.0680 n=10,0.154998779296875,0.08699989318847656,False,0,0,0 consecutive down sessions,,0,,False,False,-0.001600356638698619,no peers with prices,,,0,,1,1,1,272
AAAA,Financial,Exchange Traded Fund,30.966999053955078,False,-1,green=0.3380 red=0.5250 bias=-0.1870 n=10,0.3379974365234375,0.5250015258789062,False,0,1,1 consecutive down sessions,,0,,False,False,0.005422072111403997,no peers with prices,,,0,,-1,0,2,270
AAAC,Financial,Exchange Traded Fund,20.094999313354492,False,-1,green=0.0000 red=0.0000 bias=0.0000 n=10,0.0,0.0,False,0,0,0 consecutive down sessions,,0,,False,False,0.0014950799151964844,no peers with prices,,,0,,-1,0,2,166
AAAD,Financial,Exchange Traded Fund,49.59000015258789,False,-1,green=0.0100 red=0.0100 bias=-0.0000 n=10,0.009998321533203125,0.01000213623046875,False,0,1,1 consecutive down sessions,,0,,False,False,-0.0010072368588903702,no peers with prices,,,0,,-1,0,2,48
AAAP,Financial,Exchange Traded Fund,25.3700008392334,False,-1,green=0.0000 red=0.0900 bias=-0.0900 n=10,0.0,0.09000015258789062,False,0,0,0 consecutive down sessions,,0,,False,False,0.0019747687603408615,no peers with prices,,,0,,-1,0,2,35
AAAU,Financial,Exchange Traded Fund,43.15999984741211,True,1,green=1.2600 red=0.8100 bias=0.4500 n=10,1.2600021362304688,0.80999755859375,False,0,0,0 consecutive down sessions,,0,,False,False,0.031055881942320562,no peers with prices,,,0,,1,1,1,274
AAC-U,Financial,Shell Companies,,,0,no OHLC,,,False,0,0,short history,,0,,False,False,,no price panel / ticker missing,,,0,,0,0,1,0
AACB,Financial,Shell Companies,10.59000015258789,False,-1,green=0.0400 red=0.0900 bias=-0.0500 n=10,0.039999961853027344,0.08999919891357422,False,0,0,0 consecutive down sessions,,0,,False,False,0.0028408836912034996,no peers with prices,,,0,,-1,0,2,272
