Ticker,date,join,gen,sector,ab,peer,vol,heat,n_red,n_print,blue,white,alarm,fade,cond,region,points,setups,first_crack,rsi_b,relvol_b,sma20_b,short_b,gap_b,perf_w_b,earn_b,qc_delta,qc_analyst,qc_hot,ins_buy,ins_sell,peer_q,join_rank,join_up,ab_score,ab_up,ab_good,peer_good,vol_good,join_good,catal,sector_name,ret_1d,ret_2d,ret_3d,ret_1w,ret_2w,steady,fat,xs_1d,xs_2d,xs_3d,xs_1w,xs_2w
EXE,2026-09-01,good,bad,good,good,good,missing,neutral,1,6,True,False,False,False,good,good,15,,False,mid,dead,above,mid,flat,mid,missing,,missing,False,False,False,missing,,False,12.0,False,True,True,False,True,False,Energy,,,,,,True,False,,,,,
PBR-A,2026-09-01,good,bad,good,good,good,neutral,neutral,1,7,False,False,False,False,good,good,17,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,12.0,False,True,True,False,True,False,Energy,,,,,,True,False,,,,,
GMAB,2026-09-01,good,bad,bad,good,bad,missing,neutral,3,6,False,False,False,False,bad,neutral,11,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,9.0,False,True,False,False,True,False,Healthcare,,,,,,False,False,,,,,
PBR,2026-09-01,good,bad,good,good,good,neutral,neutral,1,7,False,False,False,False,good,good,17,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,13.0,False,True,True,False,True,False,Energy,,,,,,True,False,,,,,
ASND,2026-09-01,good,bad,bad,good,good,missing,neutral,2,6,True,False,False,False,good,neutral,13,,False,mid,dead,below,mid,flat,mid,missing,,missing,False,False,False,missing,,False,13.0,True,True,True,False,True,False,Healthcare,,,,,,False,False,,,,,
DVN,2026-09-01,good,bad,good,good,good,neutral,neutral,1,7,True,False,False,False,good,good,17,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,13.0,True,True,True,False,True,False,Energy,,,,,,True,False,,,,,
PR,2026-09-01,good,bad,good,good,bad,missing,neutral,2,6,True,False,False,False,good,neutral,13,,False,mid,dead,above,low,up,mid,missing,,missing,False,False,False,missing,,False,12.0,True,True,False,False,True,False,Energy,,,,,,False,False,,,,,
REGN,2026-09-01,good,bad,bad,good,bad,missing,neutral,3,6,True,False,False,False,bad,neutral,11,,False,mid,dead,below,low,flat,mid,missing,,missing,False,False,False,missing,,False,10.0,True,True,False,False,True,False,Healthcare,,,,,,False,False,,,,,
EQT,2026-09-01,good,bad,good,good,bad,neutral,neutral,2,7,False,False,False,False,good,neutral,15,,False,mid,dead,above,mid,flat,mid,missing,,missing,False,False,False,missing,,False,4.0,False,True,False,False,True,False,Energy,,,,,,False,False,,,,,
RRC,2026-09-01,good,bad,good,good,bad,missing,neutral,2,7,False,False,False,False,good,good,16,,False,mid,dead,above,high,flat,mid,missing,,missing,False,False,False,missing,,False,10.0,True,True,False,False,True,False,Energy,,,,,,False,False,,,,,
STNG,2026-09-01,good,bad,good,good,neutral,missing,good,1,6,False,False,False,False,good,good,15,,False,mid,dead,above,mid,flat,mid,missing,,missing,False,False,False,missing,,False,7.0,False,True,False,False,True,False,Energy,,,,,,True,False,,,,,
AR,2026-09-01,good,bad,good,good,bad,missing,neutral,2,6,False,False,False,False,good,neutral,13,,False,mid,dead,above,mid,flat,mid,missing,,missing,False,False,False,missing,,False,5.0,False,True,False,False,True,False,Energy,,,,,,False,False,,,,,
OXY,2026-09-01,good,bad,good,good,good,neutral,neutral,1,8,True,False,False,False,good,good,20,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,12.0,False,True,True,False,True,False,Energy,,,,,,True,False,,,,,
MTDR,2026-09-01,good,bad,good,good,good,missing,neutral,1,6,True,False,False,False,good,good,15,,False,mid,dead,above,high,flat,mid,missing,,missing,False,False,False,missing,,False,11.0,False,True,True,False,True,False,Energy,,,,,,True,False,,,,,
MDT,2026-09-01,good,bad,bad,good,good,neutral,bad,3,7,False,False,False,False,neutral,neutral,14,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,7.0,False,True,True,False,True,False,Healthcare,,,,,,False,False,,,,,
EOG,2026-09-01,good,bad,good,good,bad,neutral,neutral,2,9,True,False,False,False,good,good,21,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,7.0,False,True,False,False,True,False,Energy,,,,,,False,False,,,,,
HLN,2026-09-01,good,bad,bad,good,good,missing,neutral,2,6,True,False,False,False,good,neutral,13,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,10.0,False,True,True,False,True,False,Healthcare,,,,,,False,False,,,,,
INCY,2026-09-01,good,bad,bad,good,bad,missing,neutral,3,6,True,False,False,False,bad,neutral,11,,False,mid,dead,above,mid,flat,mid,missing,,missing,False,False,False,missing,,False,10.0,True,True,False,False,True,False,Healthcare,,,,,,False,False,,,,,
EXEL,2026-09-01,good,bad,bad,good,bad,missing,neutral,3,6,False,False,False,False,bad,neutral,11,,False,mid,dead,above,high,flat,mid,missing,,missing,False,False,False,missing,,False,6.0,True,True,False,False,True,False,Healthcare,,,,,,False,False,,,,,
WAY,2026-09-01,good,bad,bad,good,good,missing,good,2,6,True,False,False,False,good,good,14,tag_factor:blue|heat=good,False,mid,dead,above,high,flat,mid,missing,,missing,False,False,False,missing,,False,11.0,False,True,True,False,True,False,Healthcare,,,,,,False,False,,,,,
GMED,2026-09-01,good,bad,bad,good,good,missing,bad,3,6,False,False,False,False,neutral,neutral,12,,False,mid,dead,below,mid,flat,mid,missing,,missing,False,False,False,missing,,False,10.0,False,True,True,False,True,False,Healthcare,,,,,,False,False,,,,,
SU,2026-09-01,good,bad,good,good,bad,neutral,neutral,2,7,False,False,False,False,good,neutral,15,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,8.0,True,True,False,False,True,False,Energy,,,,,,False,False,,,,,
CNQ,2026-09-01,good,bad,good,good,bad,neutral,neutral,2,8,True,False,False,False,good,good,18,,False,mid,dead,above,low,flat,mid,missing,,missing,False,False,False,missing,,False,7.0,True,True,False,False,True,False,Energy,,,,,,False,False,,,,,
LLY,2026-09-01,good,bad,bad,good,bad,neutral,bad,4,7,False,False,False,False,bad,bad,12,,False,mid,dead,below,low,flat,mid,missing,,missing,False,False,False,missing,,False,7.0,True,True,False,False,True,False,Healthcare,,,,,,False,False,,,,,
MGY,2026-09-01,good,bad,good,good,bad,missing,neutral,2,6,True,False,False,False,good,neutral,13,,False,mid,dead,above,high,flat,mid,missing,,missing,False,False,False,missing,,False,10.0,True,True,False,False,True,False,Energy,,,,,,False,False,,,,,
VG,2026-09-01,good,bad,good,good,neutral,neutral,good,1,7,True,False,False,False,good,good,17,tag_factor:blue|heat=good,False,mid,dead,above,high,flat,mid,missing,,missing,False,False,False,missing,,False,4.0,False,True,False,False,True,False,Energy,,,,,,True,False,,,,,
CVE,2026-09-01,good,bad,good,good,good,neutral,neutral,1,8,False,False,False,False,good,good,20,,False,mid,dead,above,mid,flat,mid,missing,,missing,False,False,False,missing,,False,4.0,False,True,True,False,True,False,Energy,,,,,,True,False,,,,,
RMD,2026-09-01,good,bad,bad,good,good,neutral,neutral,2,7,False,False,False,False,good,neutral,15,,False,mid,dead,above,high,flat,mid,missing,,missing,False,False,False,missing,,False,14.0,False,True,True,False,True,False,Healthcare,,,,,,False,False,,,,,
NBIX,2026-09-01,good,bad,bad,good,good,neutral,neutral,2,7,True,False,False,False,good,neutral,15,,False,mid,dead,below,mid,flat,mid,missing,,missing,False,False,False,missing,,False,1.0,True,True,True,False,True,False,Healthcare,,,,,,False,False,,,,,
