ticker,asof_date,month_cur,month_prev,net_cur,net_prev,net_delta,buy_cur,sell_cur,n_buys_cur,n_sells_cur,flag_insider_net,status
RRSG,2026-08-18,2026-08,2026-07,76643507.0,0.0,76643507.0,76643507.0,0.0,2,0,1,GOOD
BBRVE,2026-08-18,2026-08,2026-07,69840000.0,0.0,69840000.0,69840000.0,0.0,2,0,1,GOOD
MMPLT,2026-08-18,2026-08,2026-07,50072000.0,0.0,50072000.0,50072000.0,0.0,1,0,1,GOOD
ATTO,2026-08-18,2026-08,2026-07,47866663.0,0.0,47866663.0,52369979.0,4503316.0,9,2,1,GOOD
AATTO,2026-08-18,2026-08,2026-07,20570000.0,0.0,20570000.0,20570000.0,0.0,4,0,1,GOOD
BBLSM,2026-08-18,2026-08,2026-07,20000000.0,0.0,20000000.0,20000000.0,0.0,2,0,1,GOOD
CCOE,2026-08-18,2026-08,2026-07,19530173.0,0.0,19530173.0,19530173.0,0.0,5,0,1,GOOD
GGLIBK,2026-08-18,2026-08,2026-07,13583480.0,0.0,13583480.0,13583480.0,0.0,4,0,1,GOOD
GGLIBA,2026-08-18,2026-08,2026-07,13583480.0,0.0,13583480.0,13583480.0,0.0,4,0,1,GOOD
GGS,2026-08-18,2026-08,2026-07,10285000.0,0.0,10285000.0,10285000.0,0.0,2,0,1,GOOD
IINTC,2026-08-18,2026-08,2026-07,9999985.0,0.0,9999985.0,9999985.0,0.0,1,0,1,GOOD
BBORR,2026-08-18,2026-08,2026-07,8731787.0,0.0,8731787.0,8731787.0,0.0,3,0,1,GOOD
CCDNL,2026-08-18,2026-08,2026-07,8541274.0,0.0,8541274.0,8541274.0,0.0,7,0,1,GOOD
APTV,2026-08-18,2026-08,2026-07,8254508.0,0.0,8254508.0,8254508.0,0.0,5,0,1,GOOD
AAPLM,2026-08-18,2026-08,2026-07,8250009.0,0.0,8250009.0,8250009.0,0.0,4,0,1,GOOD
AAAT,2026-08-18,2026-08,2026-07,7770805.0,0.0,7770805.0,7770805.0,0.0,4,0,1,GOOD
LLWAY,2026-08-18,2026-08,2026-07,6126812.0,0.0,6126812.0,6126812.0,0.0,3,0,1,GOOD
TTXO,2026-08-18,2026-08,2026-07,5638176.0,0.0,5638176.0,5638176.0,0.0,5,0,1,GOOD
APMD,2026-08-18,2026-08,2026-07,5200000.0,0.0,5200000.0,5200000.0,0.0,2,0,1,GOOD
ACDC,2026-08-18,2026-08,2026-07,4018493.0,0.0,4018493.0,4018493.0,0.0,4,0,1,GOOD
OONON,2026-08-18,2026-08,2026-07,3987580.0,0.0,3987580.0,3987580.0,0.0,2,0,1,GOOD
LLILA,2026-08-18,2026-08,2026-07,3757848.0,0.0,3757848.0,3757848.0,0.0,6,0,1,GOOD
LLILAK,2026-08-18,2026-08,2026-07,3757848.0,0.0,3757848.0,3757848.0,0.0,6,0,1,GOOD
AAPTV,2026-08-18,2026-08,2026-07,3254549.0,0.0,3254549.0,3254549.0,0.0,4,0,1,GOOD
AANGX,2026-08-18,2026-08,2026-07,2801123.0,0.0,2801123.0,2801123.0,0.0,7,0,1,GOOD
ANGX,2026-08-18,2026-08,2026-07,2801123.0,0.0,2801123.0,2801123.0,0.0,7,0,1,GOOD
XXRN,2026-08-18,2026-08,2026-07,2559504.0,0.0,2559504.0,2559504.0,0.0,7,0,1,GOOD
