ticker,month,buy_value,sell_value,n_buys,n_sells,n_trades,net_value
AAAON,2026-08,34924.0,0.0,1,0,1,34924.0
AAAT,2026-08,4074537.0,0.0,4,0,4,4074537.0
AABEO,2026-09,0.0,87966.0,0,1,1,-87966.0
AABNB,2026-08,0.0,99175068.0,0,7,7,-99175068.0
AABR,2026-08,131591.0,0.0,1,0,1,131591.0
AABT,2026-08,0.0,46204798.0,0,1,2,-46204798.0
AADC,2026-08,1474599.0,0.0,2,0,2,1474599.0
AADI,2026-09,0.0,3563300.0,0,1,1,-3563300.0
AAFCG,2026-08,746955.0,0.0,6,0,6,746955.0
AAFG,2026-08,0.0,11740594.0,0,1,1,-11740594.0
AAFL,2026-08,0.0,1473200.0,0,1,1,-1473200.0
AAFRM,2026-08,0.0,13269182.0,0,2,2,-13269182.0
AAFRM,2026-09,0.0,3101885.0,0,1,1,-3101885.0
AAHR,2026-09,0.0,110780.0,0,1,1,-110780.0
AAII,2026-08,0.0,159000.0,0,1,1,-159000.0
AAIIR,2026-08,79607.0,0.0,2,0,2,79607.0
AAIP,2026-08,0.0,0.0,0,0,1,0.0
AALAB,2026-09,0.0,104833940.0,0,3,3,-104833940.0
AALEC,2026-09,0.0,281921.0,0,3,3,-281921.0
AALKS,2026-09,0.0,422874.0,0,1,2,-422874.0
AALLE,2026-08,26908.0,0.0,1,0,1,26908.0
AAMAT,2026-08,0.0,3594376.0,0,1,1,-3594376.0
AAMD,2026-08,0.0,15050319.0,0,2,2,-15050319.0
AAMH,2026-08,134516.0,0.0,1,0,1,134516.0
AAMR,2026-08,1144927.0,0.0,1,0,1,1144927.0
AAMRC,2026-08,483126.0,0.0,4,0,4,483126.0
AAMRZ,2026-08,341479.0,0.0,3,0,3,341479.0
AAMWL,2026-09,0.0,169070.0,0,2,2,-169070.0
AAMZN,2026-08,0.0,59174627.0,0,1,1,-59174627.0
AANET,2026-09,0.0,119762.0,0,1,1,-119762.0
AANF,2026-08,0.0,10401252.0,0,5,5,-10401252.0
AANIP,2026-08,0.0,207480.0,0,1,1,-207480.0
AAROW,2026-08,0.0,0.0,0,0,1,0.0
AASTS,2026-08,619200.0,0.0,1,0,1,619200.0
AATI,2026-08,0.0,3465165.0,0,1,1,-3465165.0
AATLO,2026-08,5677.0,0.0,1,0,1,5677.0
AATNI,2026-08,0.0,45060.0,0,1,1,-45060.0
AATOM,2026-09,0.0,103778.0,0,3,3,-103778.0
AAUDC,2026-08,0.0,60199.0,0,1,1,-60199.0
AAUDC,2026-09,0.0,267502.0,0,1,1,-267502.0
AAUGO,2026-08,21792751.0,39385334.0,1,4,5,-17592583.0
AAUGO,2026-09,0.0,53.0,0,1,1,-53.0
AAVBC,2026-08,110087.0,0.0,1,0,1,110087.0
AAVNW,2026-08,0.0,319814.0,0,3,3,-319814.0
AAXON,2026-08,0.0,10077246.0,0,1,1,-10077246.0
BBATL,2026-08,110032.0,0.0,2,0,2,110032.0
BBGDE,2026-08,978.0,0.0,1,0,1,978.0
BBILL,2026-08,0.0,528385.0,0,1,1,-528385.0
BBILL,2026-09,0.0,1603394.0,0,1,1,-1603394.0
BBIVI,2026-08,49118.0,0.0,4,0,4,49118.0
BBJRI,2026-08,47627.0,0.0,1,0,1,47627.0
BBLNE,2026-08,261881.0,0.0,4,0,4,261881.0
BBLNE,2026-09,98880.0,0.0,1,0,1,98880.0
BBLX,2026-08,79970.0,0.0,1,0,1,79970.0
BBOX,2026-08,0.0,138562.0,0,1,1,-138562.0
BBRID,2026-08,9109.0,0.0,2,0,2,9109.0
BBRUN,2026-08,0.0,3993730.0,0,1,2,-3993730.0
BBSBR,2026-08,455.0,0.0,1,0,1,455.0
BBSX,2026-08,100408.0,0.0,1,0,1,100408.0
BBSY,2026-08,0.0,11082000.0,0,1,1,-11082000.0
BBWB,2026-08,0.0,11139.0,0,1,2,-11139.0
BBWFG,2026-08,167426.0,0.0,1,0,1,167426.0
CCAT,2026-08,0.0,52423515.0,0,2,3,-52423515.0
CCBT,2026-08,0.0,22932150.0,0,2,3,-22932150.0
CCBU,2026-08,20006.0,0.0,1,0,1,20006.0
CCGON,2026-08,0.0,3775250.0,0,1,1,-3775250.0
CCHYM,2026-08,0.0,13410614.0,0,2,2,-13410614.0
CCIA,2026-08,38000.0,0.0,1,0,1,38000.0
CCINF,2026-08,171640.0,0.0,1,0,1,171640.0
CCLM,2026-08,9945.0,0.0,1,0,1,9945.0
CCNC,2026-08,0.0,7559702.0,0,2,2,-7559702.0
CCNK,2026-09,0.0,3757078.0,0,1,1,-3757078.0
CCODI,2026-08,229376.0,0.0,1,0,1,229376.0
CCOHR,2026-08,0.0,1950834.0,0,1,1,-1950834.0
CCOHR,2026-09,0.0,3307561.0,0,2,2,-3307561.0
CCORT,2026-08,0.0,3887320.0,0,1,1,-3887320.0
CCRCL,2026-09,0.0,4604627.0,0,1,1,-4604627.0
CCRF,2026-08,9608.0,0.0,1,0,1,9608.0
CCRL,2026-08,0.0,10068300.0,0,1,2,-10068300.0
CCRS,2026-08,0.0,52875753.0,0,2,2,-52875753.0
CCRWV,2026-08,0.0,48598869.0,0,4,4,-48598869.0
CCRWV,2026-09,0.0,39462814.0,0,3,3,-39462814.0
CCTEV,2026-08,249663.0,0.0,2,0,2,249663.0
CCURB,2026-08,0.0,9318673.0,0,2,2,-9318673.0
CCURI,2026-08,128650.0,0.0,2,0,2,128650.0
CCVBF,2026-08,220300.0,0.0,1,0,1,220300.0
CCVM,2026-08,138000.0,0.0,1,0,1,138000.0
CCVNA,2026-09,0.0,8356075.0,0,2,2,-8356075.0
CCWBC,2026-08,6346.0,0.0,2,0,2,6346.0
CCWT,2026-09,0.0,25105.0,0,1,1,-25105.0
CCXDO,2026-08,0.0,162500.0,0,1,1,-162500.0
