ticker,month,buy_value,sell_value,n_buys,n_sells,n_trades,net_value,net_prev,net_delta,buy_prev,sell_prev
ADP,2026-07,0.0,641206.6799999999,0,3,3,-641206.6799999999,565808.7100000001,-1207015.3900000001,745694.9500000001,179886.24
AKAM,2026-07,0.0,392987.0,0,1,1,-392987.0,-343257.63,-49729.369999999995,0.0,343257.63
ALLE,2026-07,0.0,1596342.74,0,4,4,-1596342.74,-547639.9500000001,-1048702.79,0.0,547639.9500000001
ALRM,2026-07,0.0,35085.04,0,1,1,-35085.04,-564370.0,529284.96,0.0,564370.0
AMD,2026-07,0.0,3338579.9999999995,0,1,1,-3338579.9999999995,-60803694.54,57465114.54,0.0,60803694.54
ANET,2026-07,0.0,220141974.1044,0,62,62,-220141974.1044,-125709226.3803,-94432747.72410001,0.0,125709226.3803
ANF,2026-07,0.0,2050000.0,0,2,2,-2050000.0,-20019833.97,17969833.97,0.0,20019833.97
ARLO,2026-07,0.0,211705.57640000002,0,1,1,-211705.57640000002,-68510.974,-143194.60240000003,0.0,68510.974
ATI,2026-07,0.0,13381487.91,0,11,11,-13381487.91,-14850756.78,1469268.8699999992,0.0,14850756.78
ATRC,2026-07,0.0,1419141.6,0,3,3,-1419141.6,-226600.0,-1192541.6,0.0,226600.0
AVO,2026-07,31967762.15,0.0,4,0,4,31967762.15,12723334.479999999,19244427.67,12783984.479999999,60650.00000000001
AVPT,2026-07,0.0,656390.06,0,4,4,-656390.06,-812040.54,155650.47999999998,0.0,812040.54
AXON,2026-07,0.0,6437894.8098,0,26,26,-6437894.8098,-25619560.843000002,19181666.033200003,0.0,25619560.843000002
BBY,2026-07,0.0,73992923.302,0,7,7,-73992923.302,-39066430.6338,-34926492.6682,0.0,39066430.6338
BDX,2026-07,0.0,11784.75,0,1,1,-11784.75,-742825.3999999999,731040.6499999999,0.0,742825.3999999999
BFH,2026-07,0.0,297348.24,0,1,1,-297348.24,-1276211.86,978863.6200000001,60328.14000000001,1336540.0
BG,2026-07,689050.0,0.0,2,0,2,689050.0,-336889.0,1025939.0,0.0,336889.0
BJ,2026-07,0.0,8028435.079999999,0,4,4,-8028435.079999999,-2244081.0,-5784354.079999999,0.0,2244081.0
BKR,2026-07,0.0,3963600.0,0,1,1,-3963600.0,-23879990.01,19916390.01,0.0,23879990.01
BLK,2026-07,0.0,22000825.982,0,3,3,-22000825.982,-44847312.4234,22846486.4414,0.0,44847312.4234
CARG,2026-07,0.0,511298.11,0,4,4,-511298.11,-560384.99,49086.880000000005,0.0,560384.99
COF,2026-07,0.0,3504116.9400000004,0,5,5,-3504116.9400000004,-641760.0,-2862356.9400000004,0.0,641760.0
COMP,2026-07,0.0,293331.3536,0,1,1,-293331.3536,-180410.35040000002,-112921.00319999995,0.0,180410.35040000002
CRDO,2026-07,0.0,80936164.7697,0,134,134,-80936164.7697,-55493117.5616,-25443047.208100006,0.0,55493117.5616
