ticker,month,buy_value,sell_value,n_buys,n_sells,n_trades,net_value,net_prev,net_delta,buy_prev,sell_prev
A,2025-03,0.0,1325544.621543,0,3,3,-1325544.621543,,,,
A,2025-06,0.0,904.29608,0,1,1,-904.29608,-1325544.621543,1324640.325463,0.0,1325544.621543
A,2025-07,0.0,177099.52,0,1,1,-177099.52,-904.29608,-176195.22392,0.0,904.29608
A,2025-08,0.0,226900.0,0,1,1,-226900.0,-177099.52,-49800.48000000001,0.0,177099.52
A,2025-09,0.0,249760.0,0,1,1,-249760.0,-226900.0,-22860.0,0.0,226900.0
A,2025-11,0.0,2468947.54,0,3,3,-2468947.54,-249760.0,-2219187.54,0.0,249760.0
A,2025-12,0.0,389511.2,0,1,1,-389511.2,-2468947.54,2079436.34,0.0,2468947.54
A,2026-05,0.0,216671.99999999997,0,1,1,-216671.99999999997,-389511.2,172839.20000000004,0.0,389511.2
ABR,2025-05,2237153.4899999998,0.0,12,0,12,2237153.4899999998,,,,
ABR,2025-11,647032.4,0.0,5,0,5,647032.4,2237153.4899999998,-1590121.0899999999,2237153.4899999998,0.0
ABR,2026-03,15126.949999999999,0.0,1,0,1,15126.949999999999,647032.4,-631905.4500000001,647032.4,0.0
ABR,2026-05,101112.9,52795.950000000004,7,1,8,48316.94999999999,15126.949999999999,33189.99999999999,15126.949999999999,0.0
ABR,2026-06,151726.0,148719.0,2,1,3,3007.0,48316.94999999999,-45309.94999999999,101112.9,52795.950000000004
ABR,2026-08,0.0,0.0,1,1,2,0.0,3007.0,-3007.0,151726.0,148719.0
ACIW,2025-03,0.0,744929.9199999999,0,1,1,-744929.9199999999,,,,
ACIW,2025-05,242847.0,0.0,1,0,1,242847.0,-744929.9199999999,987776.9199999999,0.0,744929.9199999999
ACIW,2025-06,0.0,542505.15,0,2,2,-542505.15,242847.0,-785352.15,242847.0,0.0
ACIW,2025-11,0.0,200785.846,0,1,1,-200785.846,-542505.15,341719.304,0.0,542505.15
ACIW,2026-03,223486.98,0.0,2,0,2,223486.98,-200785.846,424272.826,0.0,200785.846
ADP,2025-03,0.0,144832.6,0,1,1,-144832.6,,,,
ADP,2025-04,0.0,598190.9199999999,0,2,2,-598190.9199999999,-144832.6,-453358.31999999995,0.0,144832.6
ADP,2025-05,0.0,147179.04,0,1,1,-147179.04,-598190.9199999999,451011.8799999999,0.0,598190.9199999999
ADP,2025-06,0.0,424063.67,0,1,1,-424063.67,-147179.04,-276884.63,0.0,147179.04
ADP,2025-07,0.0,63485.08,0,1,1,-63485.08,-424063.67,360578.58999999997,0.0,424063.67
ADP,2025-09,0.0,43606941.9872,0,71,71,-43606941.9872,-63485.08,-43543456.9072,0.0,63485.08
ADP,2026-01,0.0,773732.2955,0,9,9,-773732.2955,-43606941.9872,42833209.6917,0.0,43606941.9872
ADP,2026-02,0.0,412571.49,0,3,3,-412571.49,-773732.2955,361160.8055,0.0,773732.2955
ADP,2026-03,0.0,113188.34999999999,0,1,1,-113188.34999999999,-412571.49,299383.14,0.0,412571.49
ADP,2026-04,0.0,106286.82,0,1,1,-106286.82,-113188.34999999999,6901.529999999984,0.0,113188.34999999999
ADP,2026-05,745694.9500000001,179886.24,1,1,2,565808.7100000001,-106286.82,672095.53,0.0,106286.82
ADP,2026-07,0.0,641206.6799999999,0,3,3,-641206.6799999999,565808.7100000001,-1207015.3900000001,745694.9500000001,179886.24
ADSK,2025-03,534194.0,655395.0800000001,1,1,2,-121201.08000000007,,,,
ADSK,2025-04,0.0,14887.26,0,1,1,-14887.26,-121201.08000000007,106313.82000000008,534194.0,655395.0800000001
ADSK,2025-06,0.0,1885820.0,0,3,3,-1885820.0,-14887.26,-1870932.74,0.0,14887.26
ADSK,2025-07,0.0,1024065.0,0,1,1,-1024065.0,-1885820.0,861755.0,0.0,1885820.0
ADSK,2025-08,0.0,3006715.0,0,3,3,-3006715.0,-1024065.0,-1982650.0,0.0,1024065.0
ADSK,2025-09,0.0,8426491.62,0,6,6,-8426491.62,-3006715.0,-5419776.619999999,0.0,3006715.0
ADSK,2026-05,794054.34,0.0,2,0,2,794054.34,-8426491.62,9220545.959999999,0.0,8426491.62
ADSK,2026-06,1371118.5999999999,0.0,3,0,3,1371118.5999999999,794054.34,577064.2599999999,794054.34,0.0
AFRM,2025-03,0.0,1143542.13,0,10,10,-1143542.13,,,,
AFRM,2025-04,0.0,730520.28,0,3,3,-730520.28,-1143542.13,413021.84999999986,0.0,1143542.13
AFRM,2025-05,0.0,820588.87,0,3,3,-820588.87,-730520.28,-90068.58999999997,0.0,730520.28
AFRM,2025-06,0.0,152147.16999999998,0,2,2,-152147.16999999998,-820588.87,668441.7,0.0,820588.87
AFRM,2025-07,0.0,5450133.819999999,0,3,3,-5450133.819999999,-152147.16999999998,-5297986.649999999,0.0,152147.16999999998
AFRM,2025-08,0.0,90705519.2,0,16,16,-90705519.2,-5450133.819999999,-85255385.38000001,0.0,5450133.819999999
AFRM,2025-09,0.0,64176911.08,0,10,10,-64176911.08,-90705519.2,26528608.120000005,0.0,90705519.2
AFRM,2025-12,0.0,573230.0,0,1,1,-573230.0,-64176911.08,63603681.08,0.0,64176911.08
AFRM,2026-01,0.0,56659893.519999996,0,3,3,-56659893.519999996,-573230.0,-56086663.519999996,0.0,573230.0
AFRM,2026-04,0.0,110000.0,0,1,1,-110000.0,-56659893.519999996,56549893.519999996,0.0,56659893.519999996
AFRM,2026-05,0.0,130000.0,0,1,1,-130000.0,-110000.0,-20000.0,0.0,110000.0
AFRM,2026-06,0.0,8004000.000000001,0,1,1,-8004000.000000001,-130000.0,-7874000.000000001,0.0,130000.0
AFRM,2026-08,0.0,155720.0,0,1,1,-155720.0,-8004000.000000001,7848280.000000001,0.0,8004000.000000001
AHR,2025-06,0.0,139346.0,0,1,1,-139346.0,,,,
AHR,2025-09,0.0,161271.495,0,1,1,-161271.495,-139346.0,-21925.494999999995,0.0,139346.0
AHR,2025-11,0.0,1068134.454,0,2,2,-1068134.454,-161271.495,-906862.9589999999,0.0,161271.495
AHR,2025-12,0.0,2650399.6706000003,0,2,2,-2650399.6706000003,-1068134.454,-1582265.2166000004,0.0,1068134.454
AHR,2026-03,0.0,97100.0,0,1,1,-97100.0,-2650399.6706000003,2553299.6706000003,0.0,2650399.6706000003
AHR,2026-06,0.0,1485492.5,0,3,3,-1485492.5,-97100.0,-1388392.5,0.0,97100.0
AKAM,2025-02,2997933.318,0.0,2,0,2,2997933.318,,,,
AKAM,2025-03,0.0,5551155.494,0,14,14,-5551155.494,2997933.318,-8549088.811999999,2997933.318,0.0
AKAM,2025-05,0.0,1338110.0404,0,2,2,-1338110.0404,-5551155.494,4213045.4536,0.0,5551155.494
AKAM,2025-06,0.0,253714.38,0,1,1,-253714.38,-1338110.0404,1084395.6604,0.0,1338110.0404
AKAM,2025-07,0.0,388700.0,0,1,1,-388700.0,-253714.38,-134985.62,0.0,253714.38
AKAM,2025-08,3829943.9028,534040.0,3,2,5,3295903.9028,-388700.0,3684603.9028,0.0,388700.0
AKAM,2025-09,0.0,383250.0,0,1,1,-383250.0,3295903.9028,-3679153.9028,3829943.9028,534040.0
AKAM,2025-11,0.0,1002501.8,0,3,3,-1002501.8,-383250.0,-619251.8,0.0,383250.0
AKAM,2025-12,0.0,1509080.8256,0,2,2,-1509080.8256,-1002501.8,-506579.02560000005,0.0,1002501.8
AKAM,2026-01,0.0,1080210.5,0,3,3,-1080210.5,-1509080.8256,428870.3256000001,0.0,1509080.8256
AKAM,2026-02,0.0,2246772.9823000003,0,3,3,-2246772.9823000003,-1080210.5,-1166562.4823000003,0.0,1080210.5
AKAM,2026-03,0.0,9067391.3971,0,17,17,-9067391.3971,-2246772.9823000003,-6820618.414799999,0.0,2246772.9823000003
AKAM,2026-06,0.0,343257.63,0,2,2,-343257.63,-9067391.3971,8724133.767099999,0.0,9067391.3971
AKAM,2026-07,0.0,392987.0,0,1,1,-392987.0,-343257.63,-49729.369999999995,0.0,343257.63
ALLE,2025-02,1001920.0,0.0,1,0,1,1001920.0,,,,
ALLE,2025-03,0.0,628174.1474,0,3,3,-628174.1474,1001920.0,-1630094.1474000001,1001920.0,0.0
