ticker,trade_date,filing_date,accession,code,transaction_type,side,shares,price,value,value_signed,insider,position
DG,2025-12-19,2025-12-19,0000029534-25-000029,S,Sale,sell,9776.0,135.3202,1322890.2752,-1322890.2752,Bryan D Wheeler,EVP & Chief Merchandising Ofc
DG,2025-12-16,2025-12-17,0000029534-25-000027,S,Sale,sell,2282.0,133.3548,304315.6536,-304315.6536,Roderick J West,"EVP, Global Supply Chain"
DG,2025-12-16,2025-12-17,0000029534-25-000025,S,Sale,sell,7500.0,134.8902,1011676.5,-1011676.5,Rhonda Taylor,EVP & General Counsel
DG,2025-12-12,2025-12-15,0000029534-25-000023,S,Sale,sell,2516.0,132.5214,333423.8424,-333423.8424,Anita C Elliott,SVP & Chief Accounting Officer
DG,2025-12-10,2025-12-12,0000029534-25-000021,S,Sale,sell,12583.0,125.0656,1573700.4448,-1573700.4448,Tracey N Herrmann,"EVP, Store Operations"
DG,2025-12-10,2025-12-12,0000029534-25-000021,S,Sale,sell,4850.0,131.3858,637221.13,-637221.13,Tracey N Herrmann,"EVP, Store Operations"
DG,2025-12-11,2025-12-12,0000029534-25-000019,S,Sale,sell,19166.0,132.0053,2530013.5798,-2530013.5798,Carman R Wenkoff,EVP & Chief Information Ofc
DG,2025-12-08,2025-12-10,0000029534-25-000015,S,Sale,sell,4395.0,126.9688,558027.876,-558027.876,Kathleen A Reardon,EVP & Chief People Officer
DG,2025-06-17,2025-06-18,0001062993-25-011870,S,Sale,sell,1969.0,113.0022,222501.3318,-222501.3318,Emily C Taylor,EVP & Chief Merchandising Ofc
DG,2025-06-12,2025-06-16,0001062993-25-011723,S,Sale,sell,2850.0,111.567,317965.94999999995,-317965.94999999995,Kathleen A Reardon,EVP & Chief People Officer
DG,2025-06-12,2025-06-16,0001062993-25-011723,S,Sale,sell,3588.0,111.556,400262.928,-400262.928,Kathleen A Reardon,EVP & Chief People Officer
DG,2025-04-04,2025-04-08,0001062993-25-007189,S,Sale,sell,809.0,94.7185,76627.2665,-76627.2665,Emily C Taylor,EVP & Chief Merchandising Ofc
PAA,2026-06-29,2026-06-30,0001070423-26-000024,S,Sale,sell,2346.0,21.95,51494.7,-51494.7,Lawrence Michael Ziemba,Director
DLO,2026-08-04,2026-08-11,0000950103-26-012199,S,Sale,sell,4700.0,15.5,72850.0,-72850.0,Sebastian Kanovich,Director
DLO,2026-08-04,2026-08-11,0000950103-26-012199,S,Sale,sell,72753.0,15.5369,1130356.0857,-1130356.0857,Sebastian Kanovich,Director
DLO,2026-07-07,2026-07-09,0001911079-26-000001,S,Sale,sell,25700.0,15.5,398350.0,-398350.0,Sebastian Kanovich,Director
DLO,2026-07-01,2026-07-02,0000950103-26-010204,S,Sale,sell,1000000.0,14.63,14630000.0,-14630000.0,Sebastian Kanovich,Director
DLO,2026-05-29,2026-06-02,0000950103-26-008349,P,Purchase,buy,20000.0,11.85,237000.0,237000.0,William Rodney Pruett,Director
LEU,2026-05-11,2026-05-11,0001628280-26-033509,S,Sale,sell,306.0,203.55,62286.3,-62286.3,Todd M Tinelli,"SVP, CFO & Treasurer"
LEU,2025-05-30,2025-06-02,0001065059-25-000030,S,Sale,sell,1728.0,126.0,217728.0,-217728.0,Kevin J Harrill,CFO & Treasurer
LEU,2025-05-13,2025-05-15,0001065059-25-000028,S,Sale,sell,3732.0,96.31,359428.92,-359428.92,John M A Donelson,"SVP, Sales & Chief Mktg Off"
