Ticker,sector,industry,size,vol,beta,total_score,families_known,score_norm,bulls,bears,flags,veto,detail
HIG,Financial,Insurance - Diversified,large,low,low,6.0,12,0.5,7,1,,False,size:large=bull; index:sp500=bull; geo:US=bear; beta:low=bull; vol:low=bull; profit:yes=bull; lev:low=bull; style:value=bull
MDT,Healthcare,Medical Devices,large,mid,low,6.0,12,0.5,6,0,,False,sector:Healthcare=bull; size:large=bull; index:sp500=bull; beta:low=bull; profit:yes=bull; style:value=bull
EG,Financial,Insurance - Reinsurance,large,mid,low,6.0,11,0.5455,6,0,,False,size:large=bull; index:sp500=bull; beta:low=bull; profit:yes=bull; lev:low=bull; style:value=bull
ACGL,Financial,Insurance - Diversified,large,mid,low,6.0,11,0.5455,6,0,,False,size:large=bull; index:sp500=bull; beta:low=bull; profit:yes=bull; lev:low=bull; style:value=bull
BRK-B,Financial,Insurance - Diversified,mega,low,low,5.0,13,0.3846,6,1,,False,size:mega=bull; index:sp500=bull; geo:US=bear; beta:low=bull; vol:low=bull; profit:yes=bull; lev:low=bull
AFL,Financial,Insurance - Life,large,low,low,5.0,12,0.4167,6,1,,False,size:large=bull; index:sp500=bull; geo:US=bear; beta:low=bull; vol:low=bull; profit:yes=bull; lev:low=bull
ES,Utilities,Utilities - Regulated Electric,large,low,low,5.0,12,0.4167,7,2,,False,sector:Utilities=bull; size:large=bull; index:sp500=bull; geo:US=bear; beta:low=bull; vol:low=bull; profit:yes=bull; lev:high=bear; style:value=bull
STE,Healthcare,Medical Devices,large,mid,mid,5.0,12,0.4167,5,0,,False,sector:Healthcare=bull; size:large=bull; index:sp500=bull; profit:yes=bull; lev:low=bull
RMD,Healthcare,Medical Instruments & Supplies,large,mid,low,5.0,13,0.3846,6,1,,False,sector:Healthcare=bull; size:large=bull; index:sp500=bull; geo:US=bear; beta:low=bull; profit:yes=bull; lev:low=bull
SNA,Industrials,Tools & Accessories,large,low,low,5.0,12,0.4167,6,1,,False,size:large=bull; index:sp500=bull; geo:US=bear; beta:low=bull; vol:low=bull; profit:yes=bull; lev:low=bull
CB,Financial,Insurance - Property & Casualty,large,low,low,5.0,12,0.4167,6,1,,False,size:large=bull; index:sp500=bull; beta:low=bull; vol:low=bull; profit:yes=bull; style:value=bull; range:top=bear
DHR,Healthcare,Diagnostics & Research,large,mid,low,4.0,13,0.3077,5,1,,False,sector:Healthcare=bull; size:large=bull; index:sp500=bull; geo:US=bear; beta:low=bull; profit:yes=bull
ED,Utilities,Utilities - Regulated Electric,large,low,low,4.0,12,0.3333,6,2,,False,sector:Utilities=bull; size:large=bull; index:sp500=bull; geo:US=bear; beta:low=bull; vol:low=bull; profit:yes=bull; lev:high=bear
NGG,Utilities,Utilities - Regulated Electric,large,low,low,4.0,12,0.3333,6,2,,False,sector:Utilities=bull; size:large=bull; index:none=bear; beta:low=bull; vol:low=bull; profit:yes=bull; lev:high=bear; style:value=bull
WST,Healthcare,Medical Instruments & Supplies,large,mid,mid,4.0,12,0.3333,5,1,,False,sector:Healthcare=bull; size:large=bull; index:sp500=bull; geo:US=bear; profit:yes=bull; lev:low=bull
MTB,Financial,Banks - Regional,large,low,low,4.0,13,0.3077,6,2,,False,size:large=bull; index:sp500=bull; geo:US=bear; beta:low=bull; vol:low=bull; profit:yes=bull; style:value=bull; range:top=bear
