Ticker,sector,industry,size,vol,beta,total_score,families_known,score_norm,bulls,bears,flags,veto,detail,mom,ext,range,profit,themes,earn,earnsurp,analyst,rsi,sma20,instown,peg,sales_g,q_mom,liq,rvol,roe
EXEL,Healthcare,Biotechnology,large,mid,low,5.975,14,2.5,13,1,,False,sector:Healthcare=bull; lev:low=bull; style:value=bull; themes:biotech=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:sma20:above=+0.15; prior:q_mom:up=+0.20; earnsurp:beat=bull,uptrend,neutral,top,yes,theme:biotech,past,beat,buy,mid,above,high,cheap,slow,up,high,quiet,good
REGN,Healthcare,Biotechnology,large,mid,low,5.925,16,2.5,13,3,,False,sector:Healthcare=bull; lev:low=bull; style:value=bull; themes:biotech=bull; prior:mom:uptrend=+0.50; prior:ext:extended=-0.25; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:rsi:overbought=-0.35; prior:sma20:above=+0.15,uptrend,extended,top,yes,theme:biotech,past,big_beat,strong_buy,overbought,above,high,cheap,slow,up,high,normal,good
HRMY,Healthcare,Biotechnology,mid,mid,mid,5.875,15,2.5,13,2,,False,sector:Healthcare=bull; lev:low=bull; style:growth=bear; themes:biotech=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:sma20:above=+0.15; prior:q_mom:up=+0.20; earnsurp:big_beat=bull,uptrend,neutral,top,yes,theme:biotech,past,big_beat,strong_buy,mid,above,high,cheap,fast,up,mid,quiet,good
NUTX,Healthcare,Medical Care Facilities,small,high,low,5.7,11,2.4407,10,1,short_caution,False,sector:Healthcare=bull; style:value=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:sma20:above=+0.15; prior:q_mom:up=+0.20; earnsurp:big_beat=bull; analyst:strong_buy=bull; peg:cheap=bull,uptrend,neutral,top,yes,,past,big_beat,strong_buy,mid,above,mid,cheap,slow,up,mid,quiet,good
PR,Energy,Oil & Gas E&P,large,mid,low,5.675,14,2.4283,12,2,,False,sector:Energy=bull; lev:low=bull; themes:oil_gas=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:rsi:overbought=-0.35; prior:sma20:above=+0.15; prior:q_mom:up=+0.20; earnsurp:big_beat=bull,uptrend,neutral,top,yes,theme:oil_gas,past,big_beat,strong_buy,overbought,above,high,cheap,slow,up,high,quiet,good
SYF,Financial,Credit Services,large,mid,high,5.625,13,2.4036,12,1,,False,sector:Financial=bull; style:value=bull; prior:mom:uptrend=+0.50; prior:range:high=+0.05; prior:profit:yes=+0.25; prior:sma20:above=+0.15; prior:q_mom:up=+0.20; earnsurp:big_beat=bull; analyst:strong_buy=bull; peg:cheap=bull,uptrend,neutral,high,yes,,past,big_beat,strong_buy,mid,above,high,cheap,shrink,up,high,normal,good
MTDR,Energy,Oil & Gas E&P,mid,mid,low,5.625,13,2.4036,12,1,,False,sector:Energy=bull; style:value=bull; themes:oil_gas=bull; prior:mom:uptrend=+0.50; prior:range:high=+0.05; prior:profit:yes=+0.25; prior:rsi:overbought=-0.35; prior:sma20:above=+0.15; earnsurp:big_beat=bull; analyst:strong_buy=bull,uptrend,neutral,high,yes,theme:oil_gas,past,big_beat,strong_buy,overbought,above,high,cheap,slow,flat,high,normal,good
ESNT,Financial,Insurance - Specialty,mid,low,low,5.625,13,2.4036,12,1,,False,sector:Financial=bull; lev:low=bull; style:value=bull; themes:housing=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:sma20:above=+0.15; prior:q_mom:up=+0.20; earnsurp:beat=bull,uptrend,neutral,top,yes,theme:housing,past,beat,buy,mid,above,high,fair,slow,up,mid,quiet,good
FBP,Financial,Banks - Regional,mid,low,mid,5.575,13,2.3789,11,2,,False,sector:Financial=bull; lev:low=bull; style:value=bull; themes:housing=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:sma20:below=-0.15; prior:q_mom:up=+0.20; earnsurp:beat=bull,uptrend,neutral,top,yes,theme:housing,past,beat,strong_buy,mid,below,high,fair,slow,up,mid,quiet,good
NMIH,Financial,Insurance - Specialty,mid,low,low,5.525,14,2.3542,12,2,,False,sector:Financial=bull; lev:low=bull; style:value=bull; themes:housing=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:rsi:overbought=-0.35; prior:sma20:above=+0.15; prior:q_mom:up=+0.20,uptrend,neutral,top,yes,theme:housing,past,beat,strong_buy,overbought,above,high,fair,slow,up,mid,quiet,good
