Ticker,sector,industry,size,vol,beta,total_score,families_known,score_norm,bulls,bears,flags,veto,detail,mom,ext,range,profit,themes,earn,earnsurp,analyst,rsi,sma20,instown,peg,sales_g,q_mom,liq,rvol,roe
SKHY,Technology,Semiconductors,mega,high,unknown,7.075,16,2.5,14,2,,False,"sector:Technology=bull; size:mega=bull; vol:high=bear; profit:yes=bull; lev:low=bull; themes:hbm_memory=bull,themes:ai_capex=bull; prior:mom:uptrend=+0.50; prior:range:high=+0.05; prior:profit:yes=+0.25; prior:sma20:above=+0.15",uptrend,neutral,high,yes,theme:hbm_memory|theme:ai_capex,past,big_beat,strong_buy,mid,above,low,cheap,fast,unknown,high,quiet,good
DVN,Energy,Oil & Gas E&P,large,mid,low,7.075,19,2.5,16,3,,False,sector:Energy=bull; size:large=bull; geo:US=bear; beta:low=bull; profit:yes=bull; lev:low=bull; range:top=bear; themes:oil_gas=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10,uptrend,neutral,top,yes,theme:oil_gas,past,beat,strong_buy,mid,above,high,cheap,fast,up,high,quiet,good
PR,Energy,Oil & Gas E&P,large,mid,low,7.025,18,2.5,15,3,,False,sector:Energy=bull; size:large=bull; geo:US=bear; beta:low=bull; profit:yes=bull; lev:low=bull; range:top=bear; themes:oil_gas=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10,uptrend,neutral,top,yes,theme:oil_gas,past,big_beat,strong_buy,mid,above,high,cheap,slow,up,high,quiet,good
KSPI,Technology,Software - Infrastructure,large,mid,mid,6.8,13,2.5,12,1,,False,sector:Technology=bull; size:large=bull; profit:yes=bull; lev:low=bull; prior:mom:uptrend=+0.50; prior:range:high=+0.05; prior:profit:yes=+0.25; prior:sma20:below=-0.15; prior:q_mom:up=+0.20; analyst:strong_buy=bull,uptrend,neutral,high,yes,,past,inline,strong_buy,mid,below,mid,cheap,fast,up,mid,quiet,good
MSFT,Technology,Software - Infrastructure,mega,mid,mid,6.775,16,2.5,15,1,,False,"sector:Technology=bull; size:mega=bull; geo:US=bear; profit:yes=bull; lev:low=bull; themes:ai_capex=bull,themes:crypto=bull; prior:mom:uptrend=+0.50; prior:range:high=+0.05; prior:profit:yes=+0.25; prior:sma20:above=+0.15",uptrend,neutral,high,yes,theme:ai_capex|theme:crypto,past,beat,strong_buy,mid,above,high,fair,fast,up,high,quiet,good
PBR,Energy,Oil & Gas Integrated,large,mid,low,6.7,17,2.5,14,3,,False,sector:Energy=bull; size:large=bull; beta:low=bull; profit:yes=bull; range:top=bear; themes:oil_gas=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:rsi:overbought=-0.35,uptrend,neutral,top,yes,theme:oil_gas,past,beat,strong_buy,overbought,above,mid,cheap,fast,up,high,quiet,good
EQT,Energy,Oil & Gas E&P,large,mid,low,6.625,17,2.5,14,3,,False,sector:Energy=bull; size:large=bull; geo:US=bear; beta:low=bull; profit:yes=bull; lev:low=bull; themes:oil_gas=bull; prior:range:low=+0.15; prior:profit:yes=+0.25; prior:sma20:below=-0.15,mixed,neutral,low,yes,theme:oil_gas,past,miss,strong_buy,mid,below,high,cheap,fast,up,high,quiet,good
RRC,Energy,Oil & Gas E&P,mid,mid,low,6.575,15,2.5,13,2,,False,sector:Energy=bull; geo:US=bear; beta:low=bull; profit:yes=bull; lev:low=bull; themes:oil_gas=bull; prior:mom:uptrend=+0.50; prior:profit:yes=+0.25; prior:sma20:below=-0.15; prior:q_mom:up=+0.20,uptrend,neutral,mid,yes,theme:oil_gas,past,big_beat,hold,mid,below,high,cheap,fast,up,high,quiet,good
PBR-A,Energy,Oil & Gas Integrated,large,mid,low,6.575,18,2.5,14,4,,False,sector:Energy=bull; size:large=bull; beta:low=bull; profit:yes=bull; range:top=bear; themes:oil_gas=bull; prior:mom:uptrend=+0.50; prior:range:top=-0.10; prior:profit:yes=+0.25; prior:rsi:overbought=-0.35,uptrend,neutral,top,yes,theme:oil_gas,past,beat,strong_buy,overbought,above,low,cheap,fast,up,high,quiet,good
NTNX,Technology,Software - Infrastructure,large,mid,low,6.525,16,2.5,14,2,,False,sector:Technology=bull; size:large=bull; geo:US=bear; beta:low=bull; profit:yes=bull; lev:high=bear; themes:ai_capex=bull; prior:mom:uptrend=+0.50; prior:range:high=+0.05; prior:profit:yes=+0.25,uptrend,neutral,high,yes,theme:ai_capex,past,big_beat,strong_buy,mid,above,high,fair,slow,up,high,quiet,good
