date,cash,equity,open
2026-08-13,100000.0,100000.0,0
2026-08-14,103166.97,103166.97,0
2026-08-17,103511.27,103511.27,0
2026-08-18,105551.6,105551.6,0
2026-08-19,109857.72,109857.72,0
2026-08-20,111466.55,111466.55,0
2026-08-21,114698.41,114698.41,0
2026-08-24,114698.41,114698.41,0
2026-08-25,114512.08,114512.08,0
2026-08-26,114245.17,114245.17,0
2026-08-27,114791.82,114791.82,0
2026-08-28,114791.82,114791.82,0
2026-08-31,115052.79,115052.79,0
2026-09-01,116603.73,116603.73,0
2026-09-02,118827.62,118827.62,0
2026-09-03,121193.7,121193.7,0
2026-09-04,117222.94,117222.94,0
2026-09-08,113709.24,113709.24,0
2026-09-09,113702.44,113702.44,0
