entry_dt,ticker,side,shares,entry_px,exit_dt,exit_px,notional,fee_in,fee_out,pnl,ret_pct,conviction,cond_tally,reason,source
2026-08-17 09:30 ET,SMJF,BUY,990,10.1,2026-08-18 16:00 ET,10.88,9999.0,12.77,13.02,746.41,7.46,1.738,mover,mover,mover
2026-08-20 09:30 ET,AG,BUY,490,20.55,2026-08-21 16:00 ET,21.09,10069.5,6.32,6.49,251.8,2.5,4.163,mover,mover,mover
2026-08-20 09:30 ET,BHP,BUY,111,91.01,2026-08-21 16:00 ET,94.9577,10102.11,2.32,2.43,433.45,4.29,4.163,mover,mover,mover
2026-08-20 09:30 ET,CDE,BUY,490,20.65,2026-08-21 16:00 ET,20.97,10118.5,6.32,6.48,144.0,1.42,4.163,mover,mover,mover
2026-08-20 09:30 ET,HDSN,BUY,1760,5.77,2026-08-21 16:00 ET,5.63,10155.2,22.7,23.08,-292.18,-2.88,4.163,mover,mover,mover
2026-08-20 09:30 ET,IAG,BUY,515,19.63,2026-08-21 16:00 ET,21.14,10109.45,6.64,6.82,764.19,7.56,4.163,mover,mover,mover
2026-08-20 09:30 ET,KGC,BUY,342,29.63,2026-08-21 16:00 ET,32.76,10133.46,4.41,4.56,1061.49,10.48,4.163,mover,mover,mover
2026-08-20 09:30 ET,NFGC,BUY,5842,1.75,2026-08-21 16:00 ET,1.84,10223.5,75.36,76.42,374.0,3.66,4.163,mover,mover,mover
2026-08-20 09:30 ET,WPM,BUY,70,144.54,2026-08-21 16:00 ET,157.78,10117.8,2.2,2.3,922.3,9.12,4.163,mover,mover,mover
2026-08-20 09:30 ET,ABUS,BUY,2084,4.92,2026-08-21 16:00 ET,5.21,10253.28,26.88,27.32,550.16,5.37,3.963,mover,mover,mover
2026-08-25 09:30 ET,AU,BUY,87,119.46,2026-08-26 16:00 ET,118.11,10393.02,2.25,2.35,-122.05,-1.17,4.163,mover,mover,mover
2026-08-25 09:30 ET,ERO,BUY,275,38.0,2026-08-26 16:00 ET,39.24,10450.0,3.55,3.68,333.77,3.19,4.163,mover,mover,mover
2026-08-25 09:30 ET,FCX,BUY,134,77.9,2026-08-26 16:00 ET,79.0,10438.6,2.39,2.5,142.51,1.37,4.163,mover,mover,mover
2026-08-25 09:30 ET,CNH,BUY,895,11.72,2026-08-26 16:00 ET,11.62,10489.4,11.55,11.78,-112.83,-1.08,3.963,mover,mover,mover
2026-08-25 09:30 ET,HMY,BUY,463,22.65,2026-08-26 16:00 ET,22.43,10486.95,5.97,6.13,-113.96,-1.09,3.963,mover,mover,mover
2026-08-25 09:30 ET,RHI,BUY,235,44.52,2026-08-26 16:00 ET,44.54,10462.2,3.03,3.15,-1.48,-0.01,3.963,mover,mover,mover
2026-08-25 09:30 ET,SUZ,BUY,1156,9.07,2026-08-26 16:00 ET,8.94,10484.92,14.91,15.19,-180.38,-1.72,3.963,mover,mover,mover
2026-08-25 09:30 ET,VALE,BUY,700,15.0,2026-08-26 16:00 ET,15.16,10500.0,9.03,9.23,93.74,0.89,3.963,mover,mover,mover
2026-08-25 09:30 ET,WPM,BUY,65,160.0,2026-08-26 16:00 ET,156.02,10400.0,2.19,2.28,-263.17,-2.53,3.963,mover,mover,mover
2026-08-25 09:30 ET,ABUS,BUY,1994,5.26,2026-08-26 16:00 ET,5.19,10488.44,25.72,26.14,-191.44,-1.83,3.763,mover,mover,mover
2026-08-27 09:30 ET,ACMR,BUY,129,80.97,2026-08-28 16:00 ET,74.42,10445.13,2.38,2.48,-849.81,-8.14,3.159,mover,mover,mover
2026-08-27 09:30 ET,GGB,BUY,2359,4.42,2026-08-28 16:00 ET,4.59,10426.78,30.43,30.91,339.69,3.26,3.159,mover,mover,mover
2026-08-27 09:30 ET,MT,BUY,138,75.12,2026-08-28 16:00 ET,74.39,10366.56,2.4,2.51,-105.65,-1.02,3.159,mover,mover,mover
2026-08-27 09:30 ET,MU,BUY,11,925.74,2026-08-28 16:00 ET,932.86,10183.14,2.02,2.12,74.18,0.73,3.159,mover,mover,mover
2026-08-27 09:30 ET,TX,BUY,189,55.2,2026-08-28 16:00 ET,55.83,10432.8,2.56,2.67,113.84,1.09,3.159,mover,mover,mover
2026-08-27 09:30 ET,ANET,BUY,54,190.9,2026-08-28 16:00 ET,195.38,10308.6,2.15,2.25,237.52,2.3,2.959,mover,mover,mover
2026-08-27 09:30 ET,ASML,BUY,6,1746.33,2026-08-28 16:00 ET,1696.16,10477.98,2.01,2.1,-305.13,-2.91,2.959,mover,mover,mover
2026-08-27 09:30 ET,DLO,BUY,673,15.6,2026-08-28 16:00 ET,15.03,10498.8,8.68,8.87,-401.16,-3.82,2.959,mover,mover,mover
2026-08-27 09:30 ET,GEN,BUY,362,28.89,2026-08-28 16:00 ET,31.02,10458.18,4.67,4.82,761.57,7.28,2.959,mover,mover,mover
2026-08-27 09:30 ET,LRCX,BUY,33,314.61,2026-08-28 16:00 ET,301.9,10382.13,2.09,2.18,-423.7,-4.08,2.959,mover,mover,mover
2026-09-04 09:30 ET,CABA,BUY,2864,3.63,2026-09-06 16:00 ET,3.47,10396.32,36.95,37.5,-532.69,-5.12,5.263,mover,mover,mover
2026-09-04 09:30 ET,ALEC,BUY,3833,2.7,2026-09-06 16:00 ET,2.46,10349.1,49.45,50.16,-1019.53,-9.85,5.063,mover,mover,mover
2026-09-04 09:30 ET,ATRC,BUY,194,52.88,2026-09-06 16:00 ET,51.52,10258.72,2.57,2.68,-269.09,-2.62,4.059,mover,mover,mover
2026-09-04 09:30 ET,BHC,BUY,1485,6.91,2026-09-06 16:00 ET,6.56,10261.35,19.16,19.48,-558.39,-5.44,5.063,mover,mover,mover
2026-09-04 09:30 ET,BMEA,BUY,5306,1.93,2026-09-06 16:00 ET,2.03,10240.58,68.45,69.41,392.74,3.84,5.063,mover,mover,mover
2026-09-04 09:30 ET,CRM,BUY,39,261.98,2026-09-06 16:00 ET,259.23,10217.22,2.11,2.2,-111.56,-1.09,4.059,mover,mover,mover
2026-09-04 09:30 ET,HRMY,BUY,238,42.93,2026-09-06 16:00 ET,42.25,10217.34,3.07,3.19,-168.1,-1.65,4.059,mover,mover,mover
2026-09-04 09:30 ET,OABI,BUY,2009,5.08,2026-09-06 16:00 ET,4.33,10205.72,25.92,26.32,-1558.99,-15.28,5.063,mover,mover,mover
2026-09-04 09:30 ET,OPK,BUY,5928,1.71,2026-09-06 16:00 ET,1.64,10136.88,76.47,77.53,-568.96,-5.61,5.063,mover,mover,mover
2026-09-04 09:30 ET,RVTY,BUY,76,132.45,2026-09-06 16:00 ET,130.22,10066.2,2.22,2.31,-174.01,-1.73,2.3,mover,mover,mover
2026-09-07 09:30 ET,ASND,BUY,37,267.96,2026-09-08 16:00 ET,271.0,9914.52,2.1,2.19,108.19,1.09,5.263,mover,mover,mover
2026-09-07 09:30 ET,HOOD,BUY,82,120.47,2026-09-08 16:00 ET,119.74,9878.54,2.24,2.33,-64.43,-0.65,5.263,mover,mover,mover
2026-09-07 09:30 ET,MRX,BUY,131,75.65,2026-09-08 16:00 ET,79.39,9910.15,2.38,2.49,485.07,4.89,5.263,mover,mover,mover
2026-09-07 09:30 ET,XP,BUY,508,19.67,2026-09-08 16:00 ET,19.0,9992.36,6.55,6.71,-353.62,-3.54,5.263,mover,mover,mover
2026-09-07 09:30 ET,ATRC,BUY,192,52.03,2026-09-08 16:00 ET,52.37,9989.76,2.57,2.68,60.03,0.6,2.3,mover,mover,mover
2026-09-07 09:30 ET,BMEA,BUY,5261,1.9,2026-09-08 16:00 ET,2.03,9995.9,67.87,68.83,547.23,5.47,5.063,mover,mover,mover
2026-09-07 09:30 ET,CYPH,BUY,4530,2.22,2026-09-08 16:00 ET,2.45,10056.6,58.44,59.28,924.18,9.19,5.063,mover,mover,mover
2026-09-07 09:30 ET,NVAX,BUY,966,10.5,2026-09-08 16:00 ET,10.18,10143.0,12.46,12.7,-334.28,-3.3,4.059,mover,mover,mover
2026-09-07 09:30 ET,RNXT,BUY,4304,2.35,2026-09-08 16:00 ET,2.39,10114.4,55.52,56.32,60.32,0.6,5.063,mover,mover,mover
2026-08-13 16:00 ET,2w_size,BUY,0,0.0,2026-08-13 16:00 ET,0.0,100000.0,0.0,0.0,0.0,0.0,0,io,no live 2w_size print (gap),io
2026-08-14 16:00 ET,2w_size,BUY,0,0.0,2026-08-14 16:00 ET,0.0,100000.0,0.0,0.0,3166.97,3.17,0,io,"live 2w_size day mark (mover list empty, S>=0)",io
2026-08-18 16:00 ET,2w_size,BUY,0,0.0,2026-08-18 16:00 ET,0.0,103511.27,0.0,0.0,2040.33,1.97,0,io,live 2w_size day mark (already on),io
2026-08-19 16:00 ET,2w_size,BUY,0,0.0,2026-08-19 16:00 ET,0.0,105551.6,0.0,0.0,4306.12,4.08,0,io,live 2w_size day mark (already on),io
2026-08-24 16:00 ET,2w_size,BUY,0,0.0,2026-08-24 16:00 ET,0.0,114447.59,0.0,0.0,0.0,0.0,0,io,no live 2w_size print (gap),io
2026-08-28 16:00 ET,2w_size,BUY,0,0.0,2026-08-28 16:00 ET,0.0,114541.37,0.0,0.0,0.0,0.0,0,io,no live 2w_size print (gap),io
2026-08-31 16:00 ET,2w_size,BUY,0,0.0,2026-08-31 16:00 ET,0.0,114541.37,0.0,0.0,260.41,0.23,0,io,live 2w_size day mark (already on),io
2026-09-01 16:00 ET,2w_size,BUY,0,0.0,2026-09-01 16:00 ET,0.0,114801.77,0.0,0.0,1547.55,1.35,0,io,live 2w_size day mark (already on),io
2026-09-02 16:00 ET,2w_size,BUY,0,0.0,2026-09-02 16:00 ET,0.0,116349.32,0.0,0.0,2219.04,1.91,0,io,live 2w_size day mark (already on),io
2026-09-03 16:00 ET,2w_size,BUY,0,0.0,2026-09-03 16:00 ET,0.0,118568.36,0.0,0.0,2360.92,1.99,0,io,live 2w_size day mark (already on),io
2026-09-08 16:00 ET,2w_size,BUY,0,0.0,2026-09-08 16:00 ET,0.0,119147.42,0.0,0.0,-6399.65,-5.37,0,io,live 2w_size day mark (already on),io
