date,sleeve,ticker,kind,reason,sector,industry,ab_score,ab_context,ab_kind,ab_trail,rank,bucket,px,per,held,min_hold,cash
2026-08-13,1d_top,AGEN,beyond,rank 11 on 1d_top — sleeve only takes 10,Healthcare,Biotechnology,7.0,"LAG,peers↑,ind↑,sec↑",backfill,"[{'d': '2026-08-07', 's': -1, 'c': 'LAG,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-10', 's': -2, 'c': 'LAG,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-11', 's': 4, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-12', 's': 1, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-13', 's': 7, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}]",11.0,top,7.0,,,,
2026-08-13,1d_top,ACHV,beyond,rank 12 on 1d_top — sleeve only takes 10,Healthcare,Biotechnology,7.0,"LEAD,peers↓,ind↑,sec↑",backfill,"[{'d': '2026-08-07', 's': 4, 'c': 'LEAD,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-10', 's': 7, 'c': 'LEAD,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-11', 's': 8, 'c': 'LEAD,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-12', 's': 7, 'c': 'LEAD,peers↓,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-13', 's': 7, 'c': 'LEAD,peers↓,ind↑,sec↑', 'k': 'backfill'}]",12.0,top,7.25,,,,
2026-08-13,1d_top,VOR,beyond,rank 13 on 1d_top — sleeve only takes 10,Healthcare,Biotechnology,9.0,"LAG,peers↑,ind↑,sec↑",backfill,"[{'d': '2026-08-07', 's': 5, 'c': 'LEAD,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-10', 's': 1, 'c': 'LEAD,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-11', 's': 6, 'c': 'LEAD,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-12', 's': 0, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-13', 's': 9, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}]",13.0,top,23.290000915527344,,,,
2026-08-13,1d_top,SGRY,beyond,rank 14 on 1d_top — sleeve only takes 10,Healthcare,Medical Care Facilities,9.0,"LEAD,peers↑,ind↑,sec↑",backfill,"[{'d': '2026-08-07', 's': 5, 'c': 'LAG,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-10', 's': 5, 'c': 'LAG,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-11', 's': -2, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-12', 's': -1, 'c': 'LAG,peers↑,ind↓,sec↑', 'k': 'backfill'}, {'d': '2026-08-13', 's': 9, 'c': 'LEAD,peers↑,ind↑,sec↑', 'k': 'backfill'}]",14.0,top,,,,,
2026-08-13,1d_top,WW,beyond,rank 15 on 1d_top — sleeve only takes 10,Healthcare,Medical Care Facilities,,,,"[{'d': '2026-08-07', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-10', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-11', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-12', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-13', 's': None, 'c': '', 'k': ''}]",15.0,top,,,,,
2026-08-13,1d_top,TGTX,beyond,rank 16 on 1d_top — sleeve only takes 10,Healthcare,Biotechnology,3.0,"LAG,peers↓,ind↑,sec↑",backfill,"[{'d': '2026-08-07', 's': 1, 'c': 'LAG,peers↓,ind↑', 'k': 'backfill'}, {'d': '2026-08-10', 's': 5, 'c': 'LEAD,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-11', 's': 8, 'c': 'LEAD,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-12', 's': 3, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-13', 's': 3, 'c': 'LAG,peers↓,ind↑,sec↑', 'k': 'backfill'}]",16.0,top,47.939998626708984,,,,
2026-08-13,1d_top,MBRX,beyond,rank 17 on 1d_top — sleeve only takes 10,Healthcare,Biotechnology,,,,"[{'d': '2026-08-07', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-10', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-11', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-12', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-13', 's': None, 'c': '', 'k': ''}]",17.0,top,,,,,
2026-08-13,1d_top,PROK,beyond,rank 18 on 1d_top — sleeve only takes 10,Healthcare,Biotechnology,-7.0,"LAG,peers↓,ind↑,sec↑",backfill,"[{'d': '2026-08-07', 's': -1, 'c': 'LEAD,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-10', 's': 4, 'c': 'LEAD,peers↓,ind↑', 'k': 'backfill'}, {'d': '2026-08-11', 's': 3, 'c': 'LEAD,peers↓,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-12', 's': -3, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-13', 's': -7, 'c': 'LAG,peers↓,ind↑,sec↑', 'k': 'backfill'}]",18.0,top,,,,,
2026-08-13,1d_top,IMNN,beyond,rank 19 on 1d_top — sleeve only takes 10,Healthcare,Biotechnology,,,,"[{'d': '2026-08-07', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-10', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-11', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-12', 's': None, 'c': '', 'k': ''}, {'d': '2026-08-13', 's': None, 'c': '', 'k': ''}]",19.0,top,1.5800000429153442,,,,
2026-08-13,1d_top,ABEO,beyond,rank 20 on 1d_top — sleeve only takes 10,Healthcare,Biotechnology,4.0,"LAG,peers↑,ind↑,sec↑",backfill,"[{'d': '2026-08-07', 's': 12, 'c': 'LEAD,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-10', 's': 12, 'c': 'LEAD,peers↑,ind↑', 'k': 'backfill'}, {'d': '2026-08-11', 's': 14, 'c': 'LEAD,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-12', 's': 11, 'c': 'LEAD,peers↑,ind↑,sec↑', 'k': 'backfill'}, {'d': '2026-08-13', 's': 4, 'c': 'LAG,peers↑,ind↑,sec↑', 'k': 'backfill'}]",20.0,top,6.349999904632568,,,,
