Ticker,n_peers,n_peers_present,perf_week,perf_month,perf_quarter,change,peer_med_week,peer_med_month,rs_week,rs_month,rs_quarter,beat_week_pct,peers,peers_used
A,8,8,9.24,5.32,25.75,1.72,5.345,6.785,3.8950000000000005,-1.4649999999999999,3.129999999999999,0.875,ABT|BIO|DHR|IDXX|IQV|MTD|TMO|WAT,ABT|BIO|DHR|IDXX|IQV|MTD|TMO|WAT
AA,10,9,-2.75,-6.1,-23.91,1.53,-1.36,1.4,-1.39,-7.5,-19.4,0.3333333333333333,BTU|CENX|CLF|FCX|KALU|NUE|RIO|STLD|VALE|X,BTU|CENX|CLF|FCX|KALU|NUE|RIO|STLD|VALE
AACG,10,10,-8.41,-15.39,-15.74,1.52,1.405,-3.045,-9.815,-12.345,-12.35,0.0,CHGG|COUR|EDU|GOTU|HOFT|LRN|NRDY|PRDO|TAL|UTI,CHGG|COUR|EDU|GOTU|HOFT|LRN|NRDY|PRDO|TAL|UTI
AAL,10,8,0.7,-7.9,-16.08,1.89,1.225,-6.445,-0.5250000000000001,-1.455,-3.5649999999999977,0.25,ALGT|ALK|ATSG|DAL|JBLU|LUV|MESA|RYAAY|SKYW|UAL,ALGT|ALK|DAL|JBLU|LUV|RYAAY|SKYW|UAL
AAME,10,10,7.69,0.0,-20.9,3.7,0.725,-1.425,6.965000000000001,1.425,-30.134999999999998,1.0,AFG|AFL|AIZ|ALL|CB|CINF|LNC|MET|PRU|TRV,AFG|AFL|AIZ|ALL|CB|CINF|LNC|MET|PRU|TRV
AAMI,10,9,-1.64,-1.4,9.45,1.49,-2.66,-8.4,1.0200000000000002,7.0,9.77,0.6666666666666666,APO|BEN|BLK|BX|CG|HLNE|IVZ|JHG|KKR|TROW,APO|BEN|BLK|BX|CG|HLNE|IVZ|KKR|TROW
AAOI,9,9,-5.06,-25.38,-41.4,1.36,-2.82,-6.38,-2.2399999999999998,-19.0,-18.04,0.2222222222222222,AMKR|CIEN|FN|IPGP|LITE|NOK|OFS|VIAV|WKHS,AMKR|CIEN|FN|IPGP|LITE|NOK|OFS|VIAV|WKHS
AAON,10,10,-0.12,-6.86,-42.69,1.15,-2.4299999999999997,-9.43,2.3099999999999996,2.5699999999999994,-34.614999999999995,0.7,CARR|GD|HON|IR|JCI|LECO|LII|TT|WHR|WNC,CARR|GD|HON|IR|JCI|LECO|LII|TT|WHR|WNC
AAP,10,10,-3.07,-26.3,-27.75,0.19,-3.045,-6.96,-0.02499999999999991,-19.34,-25.18,0.5,ABG|AN|AZO|GPC|KMX|LAD|MNRO|ORLY|PAG|SAH,ABG|AN|AZO|GPC|KMX|LAD|MNRO|ORLY|PAG|SAH
AAPG,0,0,-7.8,-15.55,-10.06,-0.19,,,,,,,,
AAPL,10,10,3.19,8.7,13.87,1.38,1.455,1.945,1.7349999999999999,6.754999999999999,1.4100000000000001,0.6,AMZN|DELL|GOOGL|HPQ|IBM|META|MSFT|NFLX|NVDA|SONY,AMZN|DELL|GOOGL|HPQ|IBM|META|MSFT|NFLX|NVDA|SONY
AARD,0,0,10.38,-10.01,44.76,7.38,,,,,,,,
