asof_date,ticker,n_fields,n_green,n_red,n_neutral,green_minus_red,green_pct,red_pct,val_EPS Y/Y TTM,color_EPS Y/Y TTM,val_EPS Q/Q,color_EPS Q/Q,val_Sales Y/Y TTM,color_Sales Y/Y TTM,val_Sales Q/Q,color_Sales Q/Q,val_EPS/Sales Surpr.,color_EPS/Sales Surpr.,val_ROA,color_ROA,val_ROE,color_ROE,val_ROIC,color_ROIC,val_Gross Margin,color_Gross Margin,val_Oper. Margin,color_Oper. Margin,val_Profit Margin,color_Profit Margin,val_Insider Trans,color_Insider Trans,val_Inst Trans,color_Inst Trans,val_SMA20,color_SMA20,val_SMA50,color_SMA50,val_SMA200,color_SMA200,val_Perf Week,color_Perf Week,val_Perf Month,color_Perf Month,val_Perf Quarter,color_Perf Quarter,val_RSI (14),color_RSI (14),val_Target Price,color_Target Price,val_Change %,color_Change %,val_Debt/Eq,color_Debt/Eq,val_PEG,color_PEG,val_P/E,color_P/E,val_Forward P/E,color_Forward P/E,key_color_score,flag_colors,status_colors
2026-08-18,DHT,83,37,4,42,33,0.4457831325301205,0.04819277108433735,148.77%,green,252.41%,green,39.42%,green,122.60%,green,4.02%3.15%,green,29.26%,green,39.18%,green,27.56%,green,59.47%,green,56.66%,green,65.60%,green,-0.16%,neutral,14.32%,neutral,3.99%,green,6.88%,green,18.82%,green,6.10%,green,7.94%,green,7.82%,green,59.09,neutral,21.34,green,2.17%,green,0.33,neutral,1.41,neutral,6.57,green,9.92,green,21,1,GOOD
2026-08-18,AEM,83,32,4,47,28,0.3855421686746988,0.04819277108433735,98.77%,green,50.19%,green,50.31%,green,35.04%,green,4.81%-0.48%,green,16.91%,green,22.97%,neutral,20.33%,neutral,61.34%,green,58.76%,green,40.44%,green,0.00%,neutral,0.03%,neutral,14.44%,green,18.48%,green,1.82%,green,2.86%,green,37.11%,green,4.31%,green,70.71,red,220.96,green,-0.97%,red,0.01,green,1.19,neutral,15.98,green,15.10,green,17,1,GOOD
2026-08-18,SLDE,83,30,3,50,27,0.3614457831325301,0.03614457831325301,-57.28%,red,90.44%,green,41.43%,green,47.86%,green,24.75%7.66%,green,20.86%,green,53.88%,green,45.21%,green,-,neutral,53.05%,green,40.02%,green,-13.35%,neutral,9.06%,neutral,6.38%,green,12.59%,green,22.20%,green,7.95%,green,5.80%,green,17.28%,green,62.18,neutral,26.00,green,3.06%,green,0.03,green,1.40,neutral,5.42,green,6.01,green,19,1,GOOD
2026-08-18,KNSA,83,31,5,47,26,0.37349397590361444,0.060240963855421686,1646.61%,green,33.30%,green,58.85%,green,55.36%,green,0.17%7.56%,green,10.36%,neutral,14.04%,neutral,12.24%,neutral,54.45%,green,11.92%,neutral,9.59%,neutral,-2.07%,neutral,8.03%,neutral,6.66%,green,21.92%,green,58.12%,green,2.17%,green,27.02%,green,48.19%,green,66.40,neutral,98.00,green,0.39%,green,0.01,green,0.71,green,80.82,red,38.75,neutral,15,1,GOOD
2026-08-18,ET,83,31,6,46,25,0.37349397590361444,0.07228915662650602,12.55%,neutral,85.28%,green,33.27%,green,78.43%,green,55.43%23.90%,green,3.87%,neutral,15.07%,neutral,5.02%,neutral,10.94%,neutral,9.62%,neutral,4.70%,neutral,0.00%,neutral,0.64%,neutral,4.41%,green,7.92%,green,15.17%,green,3.08%,green,5.62%,green,6.09%,green,67.88,neutral,24.51,green,2.29%,green,1.99,red,0.90,green,14.68,green,12.59,green,14,1,GOOD
2026-08-18,RELY,83,30,5,48,25,0.3614457831325301,0.060240963855421686,1992.92%,green,3025.84%,green,23.79%,neutral,20.23%,neutral,651.21%1.83%,green,22.32%,green,32.25%,green,26.42%,green,60.03%,green,10.36%,neutral,16.85%,neutral,-42.40%,red,2.93%,neutral,5.63%,green,11.34%,green,41.99%,green,7.75%,green,6.62%,green,18.66%,green,57.31,neutral,32.05,green,-3.27%,red,0.03,green,0.39,green,18.31,green,23.86,neutral,15,1,GOOD
2026-08-18,ERO,83,28,3,52,25,0.3373493975903614,0.03614457831325301,116.81%,green,24.55%,neutral,94.92%,green,73.88%,green,12.70%2.40%,green,15.85%,green,30.56%,green,17.90%,neutral,42.52%,neutral,35.85%,green,29.79%,green,0.00%,neutral,2.21%,neutral,8.52%,green,16.99%,green,18.06%,green,-9.17%,red,31.35%,green,23.39%,green,58.63,neutral,36.31,green,-5.56%,red,0.47,neutral,0.26,green,11.13,green,7.00,green,15,1,GOOD
2026-08-18,PAYS,83,29,5,49,24,0.3493975903614458,0.060240963855421686,125.24%,green,354.17%,green,46.84%,green,48.08%,green,83.33%7.18%,green,6.17%,neutral,30.82%,green,24.28%,neutral,51.68%,green,17.01%,neutral,15.67%,neutral,-3.44%,neutral,9.95%,neutral,25.71%,green,48.77%,green,121.76%,green,7.05%,green,52.25%,green,130.52%,green,84.64,red,13.10,red,4.00%,green,0.09,green,-,neutral,52.79,red,32.19,neutral,12,1,GOOD
2026-08-18,CGAU,83,29,5,49,24,0.3493975903614458,0.060240963855421686,770.13%,green,9.61%,neutral,43.50%,green,60.93%,green,-9.56%12.29%,red,23.52%,green,32.89%,green,28.88%,green,32.74%,neutral,26.71%,green,37.72%,green,0.00%,neutral,6.15%,neutral,11.63%,green,23.51%,green,27.65%,green,-1.85%,red,40.09%,green,24.74%,green,66.71,neutral,22.43,green,-2.92%,red,0.02,green,0.43,green,6.79,green,11.05,green,15,1,GOOD
2026-08-18,CNQ,83,27,4,52,23,0.3253012048192771,0.04819277108433735,43.68%,green,84.04%,green,18.88%,neutral,69.52%,green,3.70%11.69%,green,12.98%,neutral,26.80%,neutral,18.67%,neutral,29.37%,neutral,26.63%,green,26.21%,green,0.00%,neutral,-3.15%,neutral,6.10%,green,12.62%,green,19.96%,green,4.16%,green,12.83%,green,1.31%,green,68.83,neutral,51.68,green,0.65%,green,0.43,neutral,1.19,neutral,12.23,green,13.79,green,16,1,GOOD
