asof_date,ticker,n_fields_scored,n_green,n_red,n_neutral,green_minus_red,green_pct,red_pct,key_color_score,flag_analyst_last2,val_EPS Y/Y TTM,color_EPS Y/Y TTM,val_EPS Q/Q,color_EPS Q/Q,val_Sales Y/Y TTM,color_Sales Y/Y TTM,val_Sales Q/Q,color_Sales Q/Q,val_EPS/Sales Surpr.,color_EPS/Sales Surpr.,val_ROA,color_ROA,val_ROE,color_ROE,val_ROIC,color_ROIC,val_Gross Margin,color_Gross Margin,val_Oper. Margin,color_Oper. Margin,val_Profit Margin,color_Profit Margin,val_Insider Trans,color_Insider Trans,val_Inst Trans,color_Inst Trans,val_SMA20,color_SMA20,val_SMA50,color_SMA50,val_SMA200,color_SMA200,val_RSI (14),color_RSI (14),val_Target Price,color_Target Price,val_Debt/Eq,color_Debt/Eq,val_PEG,color_PEG,val_P/E,color_P/E,val_Forward P/E,color_Forward P/E,val_B19_analyst_last2,flag_B19_analyst_last2,status_B19_analyst_last2,flag_colors,status_colors
2026-08-30,CDNA,65,23,4,38,19,0.35384615384615387,0.06153846153846154,14,1,90.73%,green,1412.42%,green,34.41%,green,52.23%,green,59.41%15.69%,green,22.72%,green,29.49%,neutral,25.30%,green,70.11%,green,-0.40%,red,24.23%,green,-6.96%,neutral,1.25%,neutral,4.56%,green,29.83%,green,105.59%,green,64.63,neutral,52.33,green,0.05,green,0.74,green,24.00,neutral,36.75,neutral,#1 Aug-03-26 Upgrade [GOOD] Craig HallumHold → Buy$64 || #2 Jan-06-26 Downgrade [BAD] Craig HallumBuy → Hold$26,1,GOOD,1,GOOD
2026-08-30,CRON,65,23,4,38,19,0.35384615384615387,0.06153846153846154,11,1,276.99%,green,182.93%,green,37.46%,green,58.44%,green,800.00%19.93%,green,5.94%,neutral,6.51%,neutral,6.54%,neutral,44.99%,neutral,-2.19%,red,39.08%,green,0.00%,neutral,-0.47%,neutral,6.46%,green,15.01%,green,24.61%,green,63.62,neutral,3.52,green,0.00,green,-,neutral,18.35,green,29.82,neutral,#1 Jan-27-26 Initiated [GOOD] Canaccord GenuityBuy || #2 Nov-02-22 Initiated [NEUTRAL] BernsteinMkt Perform$3,1,GOOD,1,GOOD
2026-08-30,AUPH,65,22,3,40,19,0.3384615384615385,0.046153846153846156,15,-1,444.46%,green,79.16%,green,19.76%,neutral,18.87%,neutral,16.67%3.45%,green,48.52%,green,66.12%,green,47.53%,green,90.36%,green,45.15%,green,100.84%,green,11.75%,neutral,2.65%,neutral,2.81%,green,1.85%,green,5.27%,green,53.97,neutral,18.00,green,0.10,neutral,-,neutral,7.12,green,13.83,green,#1 Dec-03-25 Downgrade [BAD] Leerink PartnersOutperform → Market Perform$16 || #2 Nov-07-25 Upgrade [GOOD] JefferiesHold → Buy$21,-1,BAD,1,GOOD
2026-08-30,RELY,65,23,4,38,19,0.35384615384615387,0.06153846153846154,13,0,1992.92%,green,3025.84%,green,23.79%,neutral,20.23%,neutral,651.21%1.83%,green,22.32%,green,32.25%,green,26.42%,green,60.03%,green,10.36%,neutral,16.85%,neutral,-42.73%,red,3.78%,neutral,5.11%,green,10.92%,green,44.60%,green,59.81,neutral,32.15,green,0.03,green,0.40,green,19.11,green,24.92,neutral,#1 May-07-26 Reiterated [NEUTRAL] Monness Crespi & HardtBuy$30 → $33 || #2 Feb-10-26 Initiated [GOOD] BofA SecuritiesBuy$18,0,NEUTRAL,1,GOOD
2026-08-30,EVER,65,22,4,39,18,0.3384615384615385,0.06153846153846154,13,0,144.55%,green,37.21%,green,22.75%,neutral,24.55%,neutral,1.36%2.11%,green,39.31%,green,53.61%,green,44.48%,green,97.65%,green,11.00%,neutral,15.16%,neutral,-0.85%,neutral,4.21%,neutral,2.92%,green,3.66%,green,19.98%,green,53.47,neutral,29.50,green,0.01,green,17.86,red,8.35,green,11.25,green,#1 Aug-24-26 Resumed [NEUTRAL] JP MorganOverweight$29 || #2 Sep-22-25 Downgrade [BAD] Raymond JamesStrong Buy → Outperform$30,0,NEUTRAL,1,GOOD
2026-08-30,ERO,65,20,2,43,18,0.3076923076923077,0.03076923076923077,13,1,116.81%,green,24.55%,neutral,94.92%,green,73.88%,green,12.70%2.40%,green,15.85%,green,30.56%,green,17.90%,neutral,42.52%,neutral,35.85%,green,29.79%,green,0.00%,neutral,0.17%,neutral,10.39%,green,30.46%,green,35.72%,green,64.71,neutral,36.76,red,0.47,neutral,0.30,green,13.11,green,8.33,green,#1 Jul-16-26 Upgrade [GOOD] BofA SecuritiesNeutral → Buy$34 || #2 Apr-14-26 Downgrade [BAD] GoldmanBuy → Neutral$31,1,GOOD,1,GOOD
2026-08-30,FUTU,65,22,4,39,18,0.3384615384615385,0.06153846153846154,14,-1,39.64%,green,43.54%,green,44.47%,green,35.05%,green,11.72%16.86%,green,4.55%,neutral,30.94%,green,28.32%,green,94.52%,green,69.06%,green,42.92%,green,0.00%,neutral,4.41%,neutral,10.45%,green,19.16%,green,-10.47%,red,64.37,neutral,154.28,green,0.73,red,0.77,green,12.28,green,9.94,green,#1 May-26-26 Downgrade [BAD] GoldmanBuy → Neutral$102.13 || #2 May-22-26 Downgrade [BAD] JP MorganOverweight → Neutral$87,-1,BAD,1,GOOD
2026-08-30,PLTR,65,25,8,32,17,0.38461538461538464,0.12307692307692308,14,1,285.33%,green,221.57%,green,78.92%,green,92.83%,green,18.98%6.80%,green,31.68%,green,38.42%,green,30.21%,green,84.80%,green,42.80%,green,49.00%,green,-1.80%,neutral,2.95%,neutral,8.93%,green,29.60%,green,23.07%,green,69.28,neutral,200.88,green,0.02,green,1.23,neutral,159.21,red,81.64,red,#1 Aug-04-26 Upgrade [GOOD] Deutsche BankHold → Buy$200 || #2 Jul-02-26 Upgrade [GOOD] DA DavidsonNeutral → Buy$175,1,GOOD,1,GOOD
2026-08-30,TFPM,65,21,4,40,17,0.3230769230769231,0.06153846153846154,14,1,133.15%,green,173.00%,green,50.70%,green,37.33%,green,18.94%0.01%,green,18.64%,green,20.15%,neutral,16.36%,neutral,70.51%,green,64.33%,green,84.32%,green,0.00%,neutral,-0.39%,neutral,4.49%,green,12.14%,green,2.57%,green,60.40,neutral,41.86,green,0.10,neutral,1.27,neutral,17.09,green,21.96,neutral,#1 Jun-12-26 Upgrade [GOOD] Canaccord GenuityHold → Buy || #2 Jun-25-25 Downgrade [BAD] BMO Capital MarketsOutperform → Market Perform,1,GOOD,1,GOOD
2026-08-30,IBKR,65,20,3,42,17,0.3076923076923077,0.046153846153846156,8,0,31.49%,green,36.62%,green,15.77%,neutral,21.38%,neutral,7.81%5.47%,green,0.53%,neutral,20.99%,neutral,18.68%,neutral,95.31%,green,86.66%,green,9.97%,neutral,-0.17%,neutral,0.06%,neutral,4.49%,green,3.95%,green,22.42%,green,57.33,neutral,109.42,green,7.72,red,1.64,neutral,38.16,neutral,30.16,neutral,#1 Aug-27-26 Initiated [NEUTRAL] Raymond JamesMkt Perform || #2 Jul-07-26 Initiated [NEUTRAL] China RenaissanceHold,0,NEUTRAL,1,GOOD
2026-08-30,MU,65,24,7,34,17,0.36923076923076925,0.1076923076923077,16,1,701.44%,green,1372.09%,green,166.98%,green,345.72%,green,20.36%15.44%,green,47.50%,green,66.64%,green,47.38%,green,72.60%,green,65.75%,green,55.91%,green,-7.67%,neutral,-1.14%,neutral,1.30%,green,-2.32%,red,58.54%,green,50.68,neutral,1575.35,green,0.06,green,0.03,green,21.12,neutral,6.00,green,#1 Aug-21-26 Initiated [GOOD] BMO Capital MarketsOutperform$1300 || #2 Aug-14-26 Upgrade [GOOD] New StreetNeutral → Buy$1250,1,GOOD,1,GOOD
2026-08-30,ANET,65,23,7,35,16,0.35384615384615387,0.1076923076923077,14,1,24.40%,neutral,35.96%,green,32.57%,green,37.69%,green,15.14%7.26%,green,20.10%,green,31.48%,green,27.33%,green,63.00%,green,43.14%,green,38.37%,green,-2.97%,neutral,0.41%,neutral,0.51%,green,8.26%,green,29.86%,green,54.58,neutral,249.97,green,0.00,green,1.29,neutral,61.60,red,37.39,neutral,#1 Jul-15-26 Upgrade [GOOD] Erste GroupHold → Buy || #2 May-15-26 Upgrade [GOOD] Raymond JamesMkt Perform → Outperform$164,1,GOOD,1,GOOD
