date,score,route,cash,equity,open,filled_am,filled_pm,exits,gap
2026-08-13,8.525,io,9979.08,99830.14,9,0,9,0,
2026-08-14,5.5,io,9979.08,101741.9,9,0,0,0,
2026-08-17,2.25,io,9979.08,102385.06,9,0,0,0,
2026-08-18,-6.2,io,10246.56,102442.16,9,0,9,9,
2026-08-19,-7.2,io,10246.56,107185.56,9,0,0,0,
2026-08-20,1.125,io,10246.56,109844.03,9,0,0,0,
2026-08-21,3.25,io,11394.01,112058.14,9,0,9,9,
2026-08-24,-5.175,io,11394.01,111058.1,9,0,0,0,io source missing (no stock_book file)
2026-08-25,1.8,io,11394.01,112297.55,9,0,0,0,io source missing (no stock_book file)
2026-08-26,2.025,io,111357.16,111357.16,0,0,0,9,io source missing (no stock_book file)
2026-08-27,,io,117.0,111275.6,8,0,8,0,
2026-08-28,0.75,io,117.0,111353.64,8,0,0,0,io source missing (no stock_book file)
2026-08-30,,io,117.0,111353.64,8,0,0,0,
2026-08-31,-5.85,io,167.6,110343.99,6,0,6,8,
2026-09-01,-6.3,io,167.6,110872.01,6,0,0,0,
2026-09-02,-3.825,io,167.6,111864.86,6,0,0,0,
2026-09-03,-0.9,io,112634.64,112634.64,0,0,0,6,
