dt,date,clock,side,source,ticker,shares,price,fees,pnl,hold
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,BTSG,83,60.22999954223633,2.24,,1d
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,DVN,112,44.38999938964844,2.33,,1d
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,EOG,35,141.41000366210938,2.1,,1d
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,INO,5553,0.8999999761581421,66.64,,1d
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,SLS,404,12.359999656677246,5.21,,1d
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,TGTX,104,47.939998626708984,2.3,,1d
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,TMDX,55,89.63999938964844,2.15,,1d
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,TNDM,216,23.1299991607666,2.79,,1d
2026-08-13 16:00 ET,2026-08-13,16:00 ET,BUY,io,VOR,214,23.290000915527344,2.76,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,BTSG,83,61.71,2.29,118.31,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,DVN,112,45.85,2.39,158.8,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,EOG,35,142.61,2.14,37.75,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,INO,5553,1.09,72.6,915.83,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,SLS,404,12.78,5.32,159.15,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,TGTX,104,48.74,2.36,78.54,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,TMDX,55,88.58,2.2,-62.65,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,TNDM,216,22.72,2.86,-94.21,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,SELL,io,VOR,214,23.03,2.84,-61.24,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,DAVE,15,334.57000732421875,2.04,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,DVN,111,45.849998474121094,2.32,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,FOUR,112,45.369998931884766,2.33,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,INDI,1087,4.710000038146973,14.02,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,RUN,502,10.1899995803833,6.48,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,TBCH,401,12.75,5.17,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,TLN,14,362.739990234375,2.03,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,VST,34,148.1300048828125,2.09,,1d
2026-08-14 16:00 ET,2026-08-14,16:00 ET,BUY,io,WOLF,161,31.790000915527344,2.47,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,DAVE,15,341.43,2.09,98.77,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,DVN,111,47.57,2.38,186.22,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,FOUR,112,44.35,2.38,-118.95,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,INDI,1087,4.71,14.24,-28.26,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,RUN,502,9.83,6.6,-193.8,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,TBCH,401,12.24,5.28,-214.96,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,TLN,14,356.92,2.08,-85.59,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,VST,34,146.11,2.14,-72.91,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,SELL,io,WOLF,161,34.96,2.54,505.35,1d
2026-08-17 09:30 ET,2026-08-17,09:30 ET,BUY,mover,SMJF,495,10.1,6.39,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,DNN,1608,3.190000057220459,20.74,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,DVN,107,47.56999969482422,2.31,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,ELF,54,93.66000366210938,2.15,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,EOG,35,146.14999389648438,2.1,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,FANG,24,206.2899932861328,2.06,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,HNST,1090,4.7,14.06,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,NB,1065,4.809999942779541,13.74,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,TGB,585,8.770000457763672,7.55,,1d
2026-08-17 16:00 ET,2026-08-17,16:00 ET,BUY,io,TMC,1360,3.7699999809265137,17.54,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,DNN,1608,3.15,21.05,-106.11,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,DVN,107,47.83,2.37,23.14,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,ELF,54,92.51,2.2,-66.45,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,EOG,35,148.7,2.15,85.0,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,FANG,24,210.02,2.11,85.35,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,HNST,1090,4.75,14.28,26.16,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,NB,1065,4.53,13.95,-325.89,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,mover,SMJF,495,10.88,6.51,373.2,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,TGB,585,8.36,7.68,-255.08,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,SELL,io,TMC,1360,3.92,17.81,168.65,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,AOS,83,60.86000061035156,2.24,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,APA,120,42.369998931884766,2.35,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,AVXL,1589,3.200000047683716,20.5,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,COP,39,129.72000122070312,2.11,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,CYPH,6328,0.8050000071525574,69.92,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,MLYS,191,26.610000610351562,2.56,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,MUR,144,35.18000030517578,2.42,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,OBE,438,11.609999656677246,5.65,,1d
2026-08-18 16:00 ET,2026-08-18,16:00 ET,BUY,io,OXY,85,59.79999923706055,2.25,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,AOS,83,63.8,2.3,239.48,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,APA,120,43.45,2.41,124.84,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,AVXL,1589,3.39,20.8,260.61,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,COP,39,130.58,2.16,29.27,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,CYPH,6328,1.07,82.74,1524.26,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,MLYS,191,26.95,2.64,59.74,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,MUR,144,36.87,2.49,238.45,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,OBE,438,11.7,5.76,28.01,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,SELL,io,OXY,85,60.09,2.3,20.1,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,AOS,83,63.79999923706055,2.24,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,CYPH,4996,1.0700000524520874,64.45,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,MLYS,198,26.950000762939453,2.58,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,MUR,145,36.869998931884766,2.42,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,NEE,62,85.26879119873047,2.18,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,OBE,457,11.7,5.9,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,STE,22,236.91000366210938,2.06,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,SYK,15,339.9800109863281,2.04,,1d
2026-08-19 16:00 ET,2026-08-19,16:00 ET,BUY,io,TBPH,314,16.989999771118164,4.05,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,AOS,83,62.43,2.29,-118.24,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,CYPH,4996,1.19,65.33,469.74,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,MLYS,198,25.75,2.66,-242.84,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,MUR,145,38.28,2.49,199.54,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,NEE,62,84.3954,2.23,-58.56,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,OBE,457,12.11,6.02,175.45,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,STE,22,235.74,2.11,-29.91,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,SYK,15,327.7,2.08,-188.32,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,SELL,io,TBPH,314,16.95,4.15,-20.75,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,ABUS,1042,4.92,13.44,,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,AG,245,20.55,3.16,,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,BHP,55,91.01,2.15,,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,CDE,245,20.65,3.16,,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,HDSN,880,5.77,11.35,,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,IAG,257,19.63,3.32,,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,KGC,171,29.63,2.5,,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,NFGC,2920,1.75,37.67,,1d
2026-08-20 09:30 ET,2026-08-20,09:30 ET,BUY,mover,WPM,35,144.54,2.1,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,AUPH,310,17.270000457763672,4.0,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,CABA,1681,3.19,21.68,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,CRMD,651,8.229999542236328,8.4,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,EDIT,1824,2.94,23.53,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,ELF,54,98.45999908447266,2.15,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,HL,257,20.81601905822754,3.32,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,MOS,229,23.350000381469727,2.95,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,SUZ,631,8.5,8.14,,1d
2026-08-20 16:00 ET,2026-08-20,16:00 ET,BUY,io,TEM,80,66.65,2.23,,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,ABUS,1042,4.77,13.65,-183.39,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,AG,245,21.19,3.24,150.4,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,AUPH,310,16.65,4.09,-200.29,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,BHP,55,93.63,2.21,139.74,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,CABA,1681,3.13,22.01,-144.55,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,CDE,245,21.11,3.24,106.3,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,CRMD,651,8.2,8.55,-36.48,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,EDIT,1824,3.11,23.88,262.67,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,ELF,54,101.94,2.21,183.56,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,HDSN,880,5.57,11.54,-198.89,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,HL,257,20.716,3.4,-32.42,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,IAG,257,20.5,3.4,216.87,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,KGC,171,31.43,2.57,302.73,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,MOS,229,24.41,3.04,236.75,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,NFGC,2920,1.75,38.19,-75.86,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,SUZ,631,8.78,8.29,160.25,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,io,TEM,80,72.69,2.29,478.68,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,SELL,mover,WPM,35,150.25,2.15,195.6,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,BUY,io,CRMD,665,8.199999809265137,8.58,,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,BUY,io,GSHD,75,72.5199966430664,2.21,,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,BUY,io,HCA,12,429.19000244140625,2.03,,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,BUY,io,HOOD,50,108.12999725341797,2.14,,1d
2026-08-21 16:00 ET,2026-08-21,16:00 ET,BUY,io,INSP,87,62.36000061035156,2.25,,1d
