date,equity,cash,core_n,tac_io_n,tac_n,core_mv,tac_mv,route,score,predict,open_held,open_cash,open_equity,yday_equity,overnight_delta,session_delta,overnight_names
2026-08-13,99830.06,9917.52,9,0,0,0,0,io,8.525,UP,0,100000.0,100000.0,100000.0,0.0,-169.94,
2026-08-14,101850.19,0.79,9,0,1,0,0,io,5.5,UP,9,9917.52,99991.61,99830.06,161.55,1858.58,BTSG×166 IREN×223 TPG×183 TGTX×208 SLS×809 HIMS×347 INO×11111 TNDM×432 VOR×429
2026-08-17,103218.85,1246.69,18,0,0,0,0,io,2.25,UP,10,0.79,102197.31,101850.19,347.12,1021.54,BTSG×166 IREN×223 TPG×183 TGTX×208 SLS×809 HIMS×347 INO×11111 TNDM×432 VOR×429 ANGX×2294
2026-08-18,103416.36,93954.35,9,0,0,0,0,hold,-6.2,DOWN,18,1246.69,102009.46,103218.85,-1209.39,1406.9,BTSG×166 IREN×223 TPG×183 TGTX×208 SLS×809 HIMS×347 INO×11111 TNDM×432 VOR×429 DVN×22 EOG×7 FANG×5 TMC×285 TGB×122 ELF×11 DNN×337 HNST×229 NB×224
2026-08-19,103598.34,93954.35,9,0,0,0,0,hold,-7.2,DOWN,9,93954.35,103560.49,103416.36,144.13,37.85,DVN×22 EOG×7 FANG×5 TMC×285 TGB×122 ELF×11 DNN×337 HNST×229 NB×224
2026-08-20,105475.82,4.87,0,0,11,0,0,mover,1.125,UP,9,93954.35,103591.66,103598.34,-6.68,1884.16,DVN×22 EOG×7 FANG×5 TMC×285 TGB×122 ELF×11 DNN×337 HNST×229 NB×224
2026-08-21,111436.33,1.37,0,0,11,0,0,mover,3.25,UP,11,4.87,108851.06,105475.82,3375.24,2585.26,AG×503 BHP×113 CDE×501 HDSN×1794 IAG×527 KGC×349 NFGC×5918 WPM×71 ABUS×2105 AEM×50 MRVI×27
2026-08-24,112522.35,112522.35,0,0,0,0,0,hold,-5.175,DOWN,11,1.37,114109.41,111436.33,2673.08,-1587.06,AU×91 AUPH×631 AEM×50 ARCT×976 AUTL×4400 CRDL×5631 CRSP×181 CYPH×8233 FUTU×94 GMAB×323 BTBT×2
2026-08-25,112418.83,11353.9,6,0,0,0,0,io,1.8,UP,0,112522.35,112522.35,112522.35,-0.0,-103.51,
2026-08-26,112045.44,1.32,6,0,2,0,0,io,2.025,UP,6,11353.9,112429.09,112418.83,10.26,-383.66,MOS×695 OCUL×1551 INSP×276 CRMD×1971 RZLT×3368 HCA×39
2026-08-27,110835.16,1118.65,9,0,0,0,0,io,,,8,1.32,111876.99,112045.44,-168.45,-1041.83,MOS×695 OCUL×1551 INSP×276 CRMD×1971 RZLT×3368 HCA×39 AVBP×360 FLNC×10
2026-08-28,108477.87,9711.68,4,0,2,0,0,io,0.75,FLAT,9,1118.65,111190.88,110835.16,355.72,-2713.01,MOS×695 OCUL×1551 INSP×276 CRMD×1971 RZLT×3368 HCA×39 RRC×81 CRK×231 SLI×1280
2026-08-31,110611.29,10787.03,4,0,0,0,0,hold,-5.85,DOWN,6,9711.68,108906.81,108477.87,428.94,1704.48,RRC×81 CRK×231 SLI×1280 MOS×3720 SEDG×33 GRRR×1
2026-09-01,113268.79,21087.18,1,0,0,0,0,hold,-6.3,DOWN,4,10787.03,110312.99,110611.29,-298.3,2955.79,RRC×81 CRK×231 SLI×1280 MOS×3720
2026-09-02,116939.41,116939.41,0,0,0,0,0,hold,-3.825,DOWN,1,21087.18,112971.18,113268.79,-297.61,3968.23,MOS×3720
2026-09-03,116813.25,11641.34,5,0,0,0,0,io,-0.9,FLAT,0,116939.41,116939.41,116939.41,0.0,-126.16,
2026-09-04,111127.73,2.34,0,0,12,0,0,mover,2.25,UP,5,11641.34,116057.95,116813.25,-755.3,-4930.22,ATRC×401 HRMY×502 CABA×6048 VSTM×2637 RVTY×161
2026-09-08,108616.66,108616.66,0,0,0,0,0,hold,-11.475,DOWN,12,2.34,110546.57,111127.73,-581.16,-1929.91,CABA×3193 ALEC×4293 BHC×1677 BMEA×6006 OABI×2282 OPK×6779 VIR×1004 ATRC×219 CRM×44 HRMY×264 HQ×1 EOSE×1
2026-09-09,108616.66,108616.66,0,0,0,0,0,hold,-13.95,DOWN,0,108616.66,108616.66,108616.66,-0.0,0.0,
2026-09-10,108616.66,108616.66,0,0,0,0,0,hold,-13.275,DOWN,0,108616.66,108616.66,108616.66,-0.0,0.0,
2026-09-11,108616.66,108616.66,0,0,0,0,0,io,0.5,FLAT,0,108616.66,108616.66,108616.66,-0.0,0.0,
