date,reason,side,ticker
2026-08-14,io cash/size,BUY,TLN
2026-08-14,io cash/size,BUY,VST
2026-08-14,io cash/size,BUY,NRG
2026-08-14,io cash/size,BUY,DAVE
2026-08-14,io cash/size,BUY,SLG
2026-08-14,io cash/size,BUY,MARA
2026-08-14,io cash/size,BUY,LDI
2026-08-14,io cash/size,BUY,BTBT
2026-08-14,io cash/size,BUY,BETR
2026-08-19,io cash/size,BUY,STE
2026-08-19,io cash/size,BUY,DHR
2026-08-19,io cash/size,BUY,SYK
2026-08-19,io cash/size,BUY,INMD
2026-08-20,cash/size,BUY,IAG
2026-08-20,cash/size,BUY,KGC
2026-08-21,cash/size,BUY,AU
2026-08-21,cash/size,BUY,AUPH
2026-08-21,cash/size,BUY,AEM
2026-08-21,cash/size,BUY,ARCT
2026-08-21,cash/size,BUY,AUTL
2026-08-21,cash/size,BUY,CRDL
2026-08-21,cash/size,BUY,CRSP
2026-08-24,HTB $2.36,SELL,ALEC
2026-08-24,HTB $2.04,SELL,AMTX
2026-08-25,cash/size,BUY,HMY
2026-08-25,cash/size,BUY,RHI
2026-08-26,already held,BUY,AU
2026-08-26,already held,BUY,ERO
2026-08-26,already held,BUY,FCX
2026-08-26,no 09:30 open,BUY,AEM
2026-08-26,no 09:30 open,BUY,ALM
2026-08-26,no 09:30 open,BUY,DFDV
2026-08-26,no 09:30 open,BUY,GFI
2026-08-27,HTB $3.51,SELL,BGS
2026-08-27,HTB $0.76,SELL,EVTL
2026-08-27,HTB $4.88,SELL,NUS
2026-08-28,HTB $2.68,SELL,IHRT
2026-08-28,HTB $2.64,SELL,NCMI
2026-08-31,HTB $4.62,SELL,RWT
2026-09-01,HTB $2.67,SELL,AMC
2026-09-01,HTB $3.02,SELL,BDN
2026-09-01,HTB $2.02,SELL,BHR
2026-09-01,io cash/size,BUY,OKE
2026-09-01,io cash/size,BUY,FTI
2026-09-01,io cash/size,BUY,DK
2026-09-01,io cash/size,BUY,MTDR
2026-09-02,HTB $2.14,SELL,AIIO
2026-09-02,HTB $4.81,SELL,ASPN
