cash_after,cash_after_exit,cash_before,entry_date,entry_dt,entry_px,exit_date,exit_dt,exit_px,exit_reason,fee_in,fee_out,last_px,notional,pnl,reason,ret_pct,shares,side,sleeve,ticker
0.79,10775.47,9917.52,2026-08-14,2026-08-14 09:30 ET,4.31,2026-08-17,2026-08-17 16:00 ET,4.71,mover 1d done,29.59,30.06,4.6,9887.14,857.95,"ripper continuation (yday liquid, not exploded)",8.68,2294,BUY,ripper_long,ANGX
89999.33,11121.1,100000.0,2026-08-13,2026-08-13 16:00 ET,60.22999954223633,2026-08-18,2026-08-18 16:00 ET,59.5,io 3d done,2.49,2.59,60.380001068115234,9998.18,-126.26,io robust:3d_size,-1.26,166,BUY,io_core,BTSG
80014.98,20484.11,89999.33,2026-08-13,2026-08-13 16:00 ET,44.7599983215332,2026-08-18,2026-08-18 16:00 ET,42.0,io 3d done,2.88,2.99,44.900001525878906,9981.48,-621.35,io robust:3d_size,-6.23,223,BUY,io_core,IREN
70016.98,30001.12,80014.98,2026-08-13,2026-08-13 16:00 ET,54.619998931884766,2026-08-18,2026-08-18 16:00 ET,52.02,io 3d done,2.54,2.65,51.77000045776367,9995.46,-480.99,io robust:3d_size,-4.81,183,BUY,io_core,TPG
60042.77,40452.4,70016.98,2026-08-13,2026-08-13 16:00 ET,47.939998626708984,2026-08-18,2026-08-18 16:00 ET,50.26,io 3d done,2.68,2.8,49.279998779296875,9971.52,477.08,io robust:3d_size,4.78,208,BUY,io_core,TGTX
50033.1,51039.65,60042.77,2026-08-13,2026-08-13 16:00 ET,12.359999656677246,2026-08-18,2026-08-18 16:00 ET,13.1,io 3d done,10.44,10.66,13.0,9999.24,577.57,io robust:3d_size,5.78,809,BUY,io_core,SLS
40045.43,60539.37,50033.1,2026-08-13,2026-08-13 16:00 ET,28.770000457763672,2026-08-18,2026-08-18 16:00 ET,27.39,io 3d done,4.48,4.61,28.610000610351562,9983.19,-487.95,io robust:3d_size,-4.89,347,BUY,io_core,HIMS
29912.2,73727.28,40045.43,2026-08-13,2026-08-13 16:00 ET,0.8999999761581421,2026-08-18,2026-08-18 16:00 ET,1.2,io 3d done,133.33,145.28,1.149999976158142,9999.9,3054.69,io robust:3d_size,30.55,11111,BUY,io_core,INO
19914.47,83972.92,29912.2,2026-08-13,2026-08-13 16:00 ET,23.1299991607666,2026-08-18,2026-08-18 16:00 ET,23.73,io 3d done,5.57,5.73,22.2549991607666,9992.16,247.9,io robust:3d_size,2.48,432,BUY,io_core,TNDM
9917.52,93954.35,19914.47,2026-08-13,2026-08-13 16:00 ET,23.290000915527344,2026-08-18,2026-08-18 16:00 ET,23.28,io 3d done,5.53,5.69,23.010000228881836,9991.41,-15.51,io robust:3d_size,-0.16,429,BUY,io_core,VOR
