Ticker,sector,industry,size,market_cap_m,avg_vol_k,liquid,rebound,at_low,s_join,s_sector,s_general,s_news,score_1d,score_3d,score_1w,score_2w,score_1m,reasons,bulls,bears,flags
LX,Financial,Credit Services,micro,181.65,2183.62,True,False,True,0.16517283703426694,0.55,0.275,0.0,0.16781049296199343,0.2310691348137068,0.2493277766654201,0.2542829617764481,0.2875864185171335,join=+0.17; sector=+0.55; gen=+0.28,2,0,
XPEV,Consumer Cyclical,Auto Manufacturers,mid,9304.75,7136.98,True,False,False,0.16517283703426694,-0.6,0.275,0.0,-0.004689507038006566,-0.04393086518629322,-0.05067222333457987,0.07928296177644813,0.10758641851713346,join=+0.17; sector=-0.60; gen=+0.28,2,0,
HUYA,Communication Services,Entertainment,micro,179.35,936.97,True,False,True,0.16517283703426694,0.275,0.275,0.0,0.12656049296199343,0.1560691348137068,0.17432777666542013,0.07928296177644813,0.10758641851713346,join=+0.17; sector=+0.28; gen=+0.28,2,0,
TAL,Consumer Defensive,Education & Training Services,mid,3925.56,4146.1,True,False,False,0.17982322469885384,0.6,0.0825,0.0,0.16118812864459883,0.21767928987954158,0.23842045111448423,0.26131514785544985,0.09741161234942691,join=+0.18; sector=+0.60; gen=+0.08,2,0,
VNET,Technology,Information Technology Services,mid,2202.93,5658.96,True,False,False,0.16517283703426694,0.275,0.0825,0.0,0.10731049296199344,0.14306913481370678,0.16432777666542014,0.16678296177644814,0.19008641851713348,join=+0.17; sector=+0.28; gen=+0.08,2,0,
EH,Industrials,Aerospace & Defense,small,336.14,1095.83,True,False,False,0.16517283703426694,0.275,0.275,0.0,0.12656049296199343,0.1560691348137068,0.17432777666542013,0.16678296177644814,0.20758641851713347,join=+0.17; sector=+0.28; gen=+0.28,2,0,
RLX,Consumer Defensive,Tobacco,small,1736.73,2702.26,True,False,False,0.16517283703426694,0.6,0.275,0.0,0.1753104929619934,0.2310691348137068,0.2493277766654201,0.2542829617764481,0.10758641851713346,join=+0.17; sector=+0.60; gen=+0.28,2,0,
BILI,Communication Services,Internet Content & Information,mid,5912.23,2924.44,True,False,False,0.16517283703426694,0.275,0.0825,0.0,0.10731049296199344,0.1368191348137068,0.15682777666542014,0.07928296177644813,0.09008641851713348,join=+0.17; sector=+0.28; gen=+0.08,2,0,
NIO,Consumer Cyclical,Auto Manufacturers,large,10560.86,31401.67,True,False,False,0.16517283703426694,-0.6,0.275,0.0,-0.004689507038006566,-0.04393086518629322,-0.05067222333457987,0.07928296177644813,0.10758641851713346,join=+0.17; sector=-0.60; gen=+0.28,2,0,
EDU,Consumer Defensive,Education & Training Services,mid,8854.78,689.11,True,False,False,0.16517283703426694,0.6,0.0825,0.0,0.15606049296199342,0.21181913481370682,0.23182777666542012,0.2542829617764481,0.09008641851713348,join=+0.17; sector=+0.60; gen=+0.08,2,0,
IQ,Communication Services,Entertainment,small,726.31,6449.35,True,False,False,0.16517283703426694,0.275,0.0825,0.0,0.10731049296199344,0.1368191348137068,0.15682777666542014,0.07928296177644813,0.09008641851713348,join=+0.17; sector=+0.28; gen=+0.08,2,0,
HSAI,Consumer Cyclical,Auto Parts,large,19063.56,1819.82,True,False,False,0.16517283703426694,-0.6,0.55,0.0,0.022810492961993438,-0.01643086518629322,-0.02567222333457987,0.07928296177644813,0.1325864185171335,join=+0.17; sector=-0.60; gen=+0.55,2,0,
JD,Consumer Cyclical,Internet Retail,large,35133.77,8882.91,True,False,True,0.16517283703426694,-0.6,0.0825,0.0,-0.02393950703800657,-0.06318086518629323,-0.06817222333457987,0.07928296177644813,0.09008641851713348,join=+0.17; sector=-0.60; gen=+0.08,2,0,
LU,Financial,Credit Services,small,1257.81,1117.08,True,False,True,0.16517283703426694,0.55,0.275,0.0,0.16781049296199343,0.2310691348137068,0.2493277766654201,0.2542829617764481,0.2875864185171335,join=+0.17; sector=+0.55; gen=+0.28,2,0,
WRD,Technology,Software - Application,small,1925.57,2681.42,True,False,False,0.16517283703426694,0.275,0.55,0.0,0.15406049296199342,0.18981913481370677,0.20682777666542013,0.16678296177644814,0.23258641851713346,join=+0.17; sector=+0.28; gen=+0.55,2,0,
RERE,Consumer Cyclical,Internet Retail,small,616.45,1101.69,True,False,False,0.16517283703426694,-0.6,0.0825,0.0,-0.02393950703800657,-0.06318086518629323,-0.06817222333457987,0.07928296177644813,0.09008641851713348,join=+0.17; sector=-0.60; gen=+0.08,2,0,
SY,Healthcare,Health Information Services,micro,189.91,519.66,True,False,False,0.16517283703426694,-0.6,0.55,0.0,0.022810492961993438,-0.01643086518629322,0.12432777666542012,0.07928296177644813,0.1325864185171335,join=+0.17; sector=-0.60; gen=+0.55,2,0,
MNSO,Consumer Cyclical,Specialty Retail,mid,3353.38,669.46,True,False,True,0.16517283703426694,-0.6,0.0825,0.0,-0.02393950703800657,-0.06318086518629323,-0.06817222333457987,0.07928296177644813,0.09008641851713348,join=+0.17; sector=-0.60; gen=+0.08,2,0,
JKS,Technology,Solar,small,838.34,736.51,True,False,False,0.16517283703426694,0.275,0.0825,0.0,0.10731049296199344,0.14306913481370678,0.16432777666542014,0.16678296177644814,0.19008641851713348,join=+0.17; sector=+0.28; gen=+0.08,2,0,
ATAT,Consumer Cyclical,Lodging,mid,4007.95,953.13,True,False,False,0.16517283703426694,-0.6,0.0825,0.0,-0.02393950703800657,-0.06318086518629323,-0.06817222333457987,0.07928296177644813,0.09008641851713348,join=+0.17; sector=-0.60; gen=+0.08,2,0,
PDD,Consumer Cyclical,Internet Retail,large,124533.26,8636.82,True,False,False,0.16517283703426694,-0.6,0.0825,0.0,-0.02393950703800657,-0.06318086518629323,-0.06817222333457987,0.07928296177644813,0.09008641851713348,join=+0.17; sector=-0.60; gen=+0.08,2,0,
ZTO,Industrials,Integrated Freight & Logistics,large,12739.93,1660.25,True,False,True,0.17982322469885384,0.275,0.0825,0.0,0.11243812864459884,0.14267928987954157,0.16342045111448422,0.17381514785544983,0.19741161234942695,join=+0.18; sector=+0.28; gen=+0.08,2,0,
HLP,Basic Materials,Steel,micro,94.92,1881.97,True,False,False,0.17982322469885384,0.62,0.0825,0.0,0.16418812864459884,0.21767928987954158,0.23842045111448423,0.26131514785544985,0.2974116123494269,join=+0.18; sector=+0.62; gen=+0.08,2,0,
TME,Communication Services,Internet Content & Information,mid,5282.99,9886.17,True,False,False,0.16517283703426694,0.275,0.275,0.0,0.12656049296199343,0.1560691348137068,0.17432777666542013,0.07928296177644813,0.10758641851713346,join=+0.17; sector=+0.28; gen=+0.28,2,0,
LI,Consumer Cyclical,Auto Manufacturers,large,10554.69,4332.08,True,True,True,0.16517283703426694,-0.6,0.0825,0.0,0.12606049296199343,0.08681913481370676,0.08182777666542013,0.22928296177644814,0.24008641851713347,join=+0.17; sector=-0.60; gen=+0.08; rebound_floor,2,0,
KC,Technology,Software - Application,mid,3396.22,1517.75,True,False,False,0.16517283703426694,0.275,0.55,0.0,0.15406049296199342,0.18981913481370677,0.20682777666542013,0.16678296177644814,0.23258641851713346,join=+0.17; sector=+0.28; gen=+0.55,2,0,
YMM,Technology,Software - Application,mid,8215.41,8736.42,True,False,True,0.16517283703426694,0.275,0.0825,0.0,0.10731049296199344,0.14306913481370678,0.16432777666542014,0.16678296177644814,0.19008641851713348,join=+0.17; sector=+0.28; gen=+0.08,2,0,
BABA,Consumer Cyclical,Internet Retail,mega,301717.99,11761.48,True,False,False,0.16517283703426694,-0.6,0.0825,0.0,-0.02393950703800657,-0.06318086518629323,-0.06817222333457987,0.07928296177644813,0.09008641851713348,join=+0.17; sector=-0.60; gen=+0.08,2,0,
DQ,Technology,Solar,small,1004.22,962.44,True,False,False,0.16517283703426694,0.275,0.0825,0.0,0.10731049296199344,0.14306913481370678,0.16432777666542014,0.16678296177644814,0.19008641851713348,join=+0.17; sector=+0.28; gen=+0.08,2,0,
KN,Technology,Electronic Components,mid,3358.38,1051.02,True,False,False,0.08310786342254811,0.275,0.55,0.0,0.12533775219789184,0.15699314536901926,0.16989853854014664,0.1273917744428231,0.19155393171127405,sector=+0.28; gen=+0.55,1,0,
CCO,Communication Services,Advertising Agencies,small,1191.28,8194.29,True,False,False,0.09065046157998141,0.275,0.55,0.0,0.1279776615529935,0.1537601846319926,0.16579270771099164,0.04351222155839107,0.09532523078999071,sector=+0.28; gen=+0.55,1,0,
KNF,Basic Materials,Building Materials,mid,3786.69,636.02,True,False,False,0.08310786342254811,0.62,0.0825,0.0,0.13033775219789184,0.17899314536901925,0.19489853854014666,0.2148917744428231,0.24905393171127407,sector=+0.62; gen=+0.08,1,0,
KMPR,Financial,Insurance - Property & Casualty,small,1615.67,1127.63,True,False,False,0.08310786342254811,0.55,0.275,0.0,0.13908775219789185,0.19824314536901924,0.21239853854014665,0.2148917744428231,0.24655393171127407,sector=+0.55; gen=+0.28,1,0,
KNSA,Healthcare,Drug Manufacturers - Specialty & Generic,mid,6024.23,754.17,True,False,False,0.09065046157998141,-0.6,0.0825,0.0,-0.0500223384470065,-0.09298981536800743,0.04829270771099164,0.04351222155839107,0.052825230789990706,sector=-0.60; gen=+0.08,1,0,
KNTK,Energy,Oil & Gas Midstream,mid,8739.67,1017.56,True,False,False,0.09065046157998141,0.65,0.0825,0.0,0.1374776615529935,0.19451018463199257,0.22829270771099164,0.21851222155839106,0.2528252307899907,sector=+0.65; gen=+0.08,1,0,
KNX,Industrials,Trucking,large,11799.0,4136.63,True,False,False,0.09065046157998141,0.275,0.275,0.0,0.10047766155299351,0.12626018463199257,0.14079270771099164,0.13101222155839107,0.1703252307899907,sector=+0.28; gen=+0.28,1,0,
KMT,Industrials,Tools & Accessories,mid,2378.04,1286.95,True,False,False,0.08310786342254811,0.275,0.55,0.0,0.12533775219789184,0.15074314536901925,0.16239853854014663,0.1273917744428231,0.19155393171127405,sector=+0.28; gen=+0.55,1,0,
CDXS,Healthcare,Biotechnology,micro,170.68,1093.18,True,False,False,0.08310786342254811,-0.6,0.55,0.0,-0.005912247802108153,-0.049256854630980756,0.08739853854014665,0.039891774442823096,0.09155393171127406,sector=-0.60; gen=+0.55,1,0,
CECO,Industrials,Pollution & Treatment Controls,mid,4650.44,962.68,True,False,False,0.09065046157998141,0.275,0.55,0.0,0.1279776615529935,0.1537601846319926,0.16579270771099164,0.13101222155839107,0.1953252307899907,sector=+0.28; gen=+0.55,1,0,
KGC,Basic Materials,Gold,large,32740.22,8351.47,True,False,False,0.09065046157998141,0.62,0.275,0.0,0.1522276615529935,0.20126018463199258,0.21579270771099163,0.21851222155839106,0.2703252307899907,sector=+0.62; gen=+0.28,1,0,
