Ticker,sector,industry,size,market_cap_m,avg_vol_k,liquid,rebound,at_low,s_join,s_sector,s_general,s_news,s_ab,s_peer,s_opp,score_1d,score_3d,score_1w,score_2w,score_1m,reasons,bulls,bears,flags
ERO,Basic Materials,Copper,mid,3629.12,1203.36,True,True,True,0.9866142981514303,0.0,0.23375,0.0,0.703905603936621,-0.35125528845053056,0.4,0.7228190590722208,0.7506226870376442,0.7844330850794052,0.8211653710424339,0.8549757690841949,"join=+0.99; gen1d=+0.23; ab=+0.70; LAG,peers↑,ind↑; peer=-0.35; mid_opp=+0.40; rebound_floor",12,1,
SM,Energy,Oil & Gas E&P,mid,9040.84,3926.13,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.809301070201781,0.7685906407313016,0.46,0.8600471114748771,0.8699946941029522,0.8899130014700165,0.898745287433045,0.9186635948001092,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.81; LEAD,peers↑,ind↑; peer=+0.77; mid_opp=+0.46",13,1,
ET,Energy,Oil & Gas Midstream,large,72997.96,9133.75,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.8482836399575129,0.11141058184477556,-0.16999999999999998,0.10835674213650498,0.11869415046213733,0.13939210922431622,0.14822439518734482,0.1689223539495236,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.85; LEAD,peers↑,ind↑; peer=+0.11",10,1,
PR,Energy,Oil & Gas E&P,large,20006.55,9771.71,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.8482836399575129,0.5746078209444022,-0.11,0.2609961899564303,0.27133359828206266,0.29203155704424155,0.30086384300727015,0.32156180176944893,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.85; LEAD,peers↑,ind↑; peer=+0.57",12,1,
ALM,Basic Materials,Other Industrial Metals & Mining,mid,4904.17,6226.29,True,False,False,0.9866142981514303,0.0,0.4675,0.0,0.703905603936621,0.0,0.52,0.851770116762327,0.8608737447277504,0.8946841427695114,0.9484164287325401,0.982226826774301,join=+0.99; gen1d=+0.47; ab=+0.70; ind↓; mid_opp=+0.52,10,0,
RRC,Energy,Oil & Gas E&P,mid,9529.45,3054.62,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.703905603936621,-0.5758623912857893,0.6000000000000001,0.7048076385051691,0.7137012664705925,0.7315116645123536,0.7403439504753822,0.7581543485171431,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.70; LAG,peers↑,ind↑; peer=-0.58; mid_opp=+0.60",10,0,
HBM,Basic Materials,Copper,large,12342.1,5396.39,True,False,False,0.9866142981514303,0.0,0.4675,0.0,0.8482836399575129,0.197375320224904,-0.16999999999999998,0.23733968981253067,0.24788709813816306,0.2845850569003419,0.3383173428633705,0.37501530162554925,"join=+0.99; gen1d=+0.47; ab=+0.85; LEAD,peers↑,ind↑; peer=+0.20",11,1,
NESR,Energy,Oil & Gas Equipment & Services,mid,3339.18,2221.73,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.46211715726000974,0.0,0.4,0.559533005093174,0.5660087485918314,0.5789833777000601,0.5878156636630888,0.6007902927713176,join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.46; ind↓; mid_opp=+0.40,9,1,
FCX,Basic Materials,Copper,large,99512.28,13893.29,True,False,False,0.9866142981514303,0.0,0.4675,0.30950692121263845,0.809301070201781,-0.06988589031642894,-0.16999999999999998,0.25151853556849074,0.23382049528742826,0.2511683873817342,0.2925203964962573,0.30986828859056315,"join=+0.99; gen1d=+0.47; news=+0.31; ev=finviz_digest; ab=+0.81; LAG,peers↑,ind↑; peer=-0.07",11,2,
UGP,Energy,Oil & Gas Refining & Marketing,mid,7070.12,3674.67,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.809301070201781,0.5070493954440615,0.46,0.8077388624174291,0.8176864450455041,0.8376047524125685,0.846437038375597,0.8663553457426612,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.81; LEAD,peers↑,ind↑; peer=+0.51; mid_opp=+0.46",10,1,
MTDR,Energy,Oil & Gas E&P,mid,7303.35,1976.78,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.8482836399575129,0.6636872157603774,0.52,0.9088120689196253,0.9191494772452578,0.9398474360074366,0.9486797219704652,0.969377680732644,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.85; LEAD,peers↑,ind↑; peer=+0.66; mid_opp=+0.52",11,1,
EXE,Energy,Oil & Gas E&P,large,22128.18,3621.87,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.6351489523872873,-0.7048503251536282,0.06999999999999999,0.1318208888442678,0.14002695029419787,0.15646221530497223,0.16529450126800088,0.18172976627877518,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.64; LAG,peers↑,ind↑; peer=-0.70; mid_opp=+0.07",11,0,
PBR-A,Energy,Oil & Gas Integrated,large,46799.05,7821.56,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.8482836399575129,0.04871141753641437,-0.05,0.21581690927483277,0.22615431760046512,0.246852276362644,0.2556845623256726,0.2763825210878514,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.85; LEAD,peers↑,ind↑",10,1,
CMBT,Energy,Oil & Gas Midstream,mid,5137.46,1179.21,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.7615941559557649,-0.07920872120070022,0.4,0.6185605105269728,0.6280310240125877,0.6469951930947316,0.6558274790577603,0.6747916481399041,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.76; LAG,peers↑,ind↑; peer=-0.08; mid_opp=+0.40",10,3,earn_gate
ARIS,Basic Materials,Gold,mid,4103.23,1505.51,True,False,False,0.9866142981514303,0.0,0.070125,0.0,0.703905603936621,0.0,0.4,0.699980116762327,0.7408737447277504,0.7746841427695114,0.79951642873254,0.833326826774301,join=+0.99; gen1d=+0.07; ab=+0.70; ind↑; mid_opp=+0.40,11,2,
HCC,Basic Materials,Coking Coal,mid,5517.25,767.23,True,False,False,0.9866142981514303,0.0,0.070125,0.0,0.809301070201781,0.7813199089523143,0.4,0.8825929651190798,0.9245405477471548,0.960458855114219,0.9852911410772477,1.0212094484443117,"join=+0.99; gen1d=+0.07; ab=+0.81; LEAD,peers↑,ind↑; peer=+0.78; mid_opp=+0.40",11,2,
DVN,Energy,Oil & Gas E&P,large,54400.5,13012.02,True,False,False,0.9866142981514303,-0.8,0.070125,0.8336546070121552,0.809301070201781,0.40688708184613037,-0.16999999999999998,0.3661200514508817,0.30103871944786287,0.27093775039419776,0.24642385207674017,0.216322883023075,"join=+0.99; sector1d=-0.80; gen1d=+0.07; news=+0.83; ev=hormuz_energy_risk; ab=+0.81; LEAD,peers↑,ind↑; peer=+0.41",11,2,
NEM,Basic Materials,Gold,large,134229.96,8048.59,True,False,False,0.9866142981514303,0.0,0.070125,-0.5124156062544919,0.703905603936621,-0.3341565541912506,-0.16999999999999998,-0.06495509563954617,0.022055936888781547,0.08661127130581209,0.13194018151902037,0.1964955159360509,"join=+0.99; gen1d=+0.07; news=-0.51; ev=fed_rate_path; ab=+0.70; LAG,peers↑,ind↑; peer=-0.33",11,2,
KGC,Basic Materials,Gold,large,36684.47,8293.31,True,False,False,0.9866142981514303,0.0,0.23375,0.0,0.809301070201781,0.24961294893685848,0.03,0.4193415731159885,0.44819915574406355,0.4841174631111278,0.5208497490741565,0.5567680564412207,"join=+0.99; gen1d=+0.23; ab=+0.81; LEAD,peers↑,ind↑; peer=+0.25",10,1,
EOG,Energy,Oil & Gas E&P,large,80397.06,3435.36,True,False,False,0.9866142981514303,-0.8,0.070125,0.9086976584311126,0.703905603936621,0.026243972364486685,-0.11,0.3424033258430024,0.2695141645496257,0.23280270308551998,0.20528708271130408,0.16857562124719833,"join=+0.99; sector1d=-0.80; gen1d=+0.07; news=+0.91; ev=hormuz_energy_risk,finviz_digest; ab=+0.70; LEAD,peers↑,ind↑",12,1,
CRK,Energy,Oil & Gas E&P,mid,4027.0,2481.69,True,False,False,0.9866142981514303,-0.8,0.070125,0.0,0.5545997223493823,-0.7400658711195035,0.6799999999999999,0.7146404721416164,0.7220410412911675,0.7368653217011838,0.7456976076642123,0.7605218880742286,"join=+0.99; sector1d=-0.80; gen1d=+0.07; ab=+0.55; LAG,peers↑,ind↑; peer=-0.74; mid_opp=+0.68",9,0,short_caution
BKV,Energy,Oil & Gas E&P,mid,2862.9,845.77,True,False,False,0.9866142981514303,-0.8,0.23375,0.0,0.703905603936621,0.0,0.6000000000000001,0.833070116762327,0.8288737447277504,0.8466841427695114,0.8674164287325401,0.8852268267743011,join=+0.99; sector1d=-0.80; gen1d=+0.23; ab=+0.70; ind↑; mid_opp=+0.60,9,1,short_caution
