Ticker,sector,industry,size,market_cap_m,avg_vol_k,liquid,rebound,at_low,s_join,s_sector,s_general,s_news,s_ab,s_peer,s_opp,s_heat_raw,s_heat,s_sector_1d,s_sector_3d,s_sector_1w,s_sector_2w,s_sector_1m,s_general_1d,s_general_3d,s_general_1w,s_general_2w,s_general_1m,core_1d,core_3d,core_1w,core_2w,core_1m,score_1d,score_3d,score_1w,score_2w,score_1m,reasons,bulls,bears,flags
ERO,Basic Materials,Copper,mid,4092.73,1293.32,True,False,False,0.9866142981514303,-0.32,0.0,0.0,0.9828450291725761,0.7920373612395393,0.4,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.6371890336205963,0.7330152201958957,0.8041746080276825,0.8526781025722818,0.9310888321236337,1.0371890336205962,1.1330152201958956,1.2041746080276825,1.2526781025722817,1.3310888321236338,"join=+0.99; sector1d=-0.32; ab=+0.98; LEAD,peers↑,ind↑,sec↑; peer=+0.79; mid_opp=+0.40",13,2,
NEM,Basic Materials,Gold,large,138665.91,8171.82,True,False,False,0.9866142981514303,-0.32,0.0,-0.5124156062544919,0.5545997223493823,-0.3452140341355209,-0.16999999999999998,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.07300590589123279,0.19359336081476364,0.27965057594821097,0.3416741206332673,0.43671057513521705,-0.09699409410876719,0.023593360814763653,0.10965057594821098,0.1716741206332673,0.26671057513521707,"join=+0.99; sector1d=-0.32; news=-0.51; ev=fed_rate_path; ab=+0.55; LAG,peers↑,ind↑,sec↑; peer=-0.35",13,2,
KGC,Basic Materials,Gold,large,38339.28,8565.02,True,False,False,0.9866142981514303,-0.32,0.0,0.0,0.9051482536448665,0.21413397614340718,-0.05,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.4725486511372511,0.558944456973862,0.6234469449659722,0.667070357721112,0.7381710253815315,0.4225486511372511,0.5089444569738619,0.5734469449659721,0.617070357721112,0.6881710253815314,"join=+0.99; sector1d=-0.32; ab=+0.91; LEAD,peers↑,ind↑,sec↑; peer=+0.21",12,1,
HCC,Basic Materials,Coking Coal,mid,5555.83,761.21,True,False,False,0.9866142981514303,-0.32,0.0,0.0,0.8798266996519848,-0.4270229350852739,0.4,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.3084499386761461,0.38611215098900065,0.4453659854396058,0.4841839685850931,0.54950614389337,0.7084499386761461,0.7861121509890007,0.8453659854396058,0.8841839685850932,0.9495061438933701,"join=+0.99; sector1d=-0.32; ab=+0.88; LAG,peers↑,ind↑,sec↑; peer=-0.43; mid_opp=+0.40",12,2,
ARIS,Basic Materials,Gold,mid,4260.1,1527.45,True,False,False,0.9866142981514303,-0.32,0.0,0.0,0.8482836399575129,0.0,0.4,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.40298335364259996,0.4850875297486974,0.5461379587626065,0.5876723741502545,0.6549891222853728,0.8029833536426,0.8850875297486974,0.9461379587626065,0.9876723741502546,1.054989122285373,"join=+0.99; sector1d=-0.32; ab=+0.85; ind↑,sec↑; mid_opp=+0.40",12,2,
B,Basic Materials,Gold,large,77356.36,11015.83,True,False,False,0.9866142981514303,-0.32,0.0,0.0,0.7615941559557649,-0.5352682346432502,-0.05,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.2459998075409782,0.31895114936838537,0.37331895349825905,0.41018606957992243,0.4701680987179494,0.19599980754097818,0.2689511493683854,0.32331895349825907,0.36018606957992244,0.4201680987179494,"join=+0.99; sector1d=-0.32; ab=+0.76; LAG,peers↑,ind↑,sec↑; peer=-0.54",12,1,
SQM,Basic Materials,Specialty Chemicals,large,11179.95,1075.27,True,False,False,0.9866142981514303,-0.32,0.0,0.0,0.809301070201781,0.0249947929684207,-0.05,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.39719379812907507,0.478503304166215,0.5383554095738832,0.5796774622940497,0.6456886389547865,0.3471937981290751,0.428503304166215,0.4883554095738832,0.5296774622940497,0.5956886389547864,"join=+0.99; sector1d=-0.32; ab=+0.81; LEAD,peers↑,ind↓,sec↑",12,1,
ALM,Basic Materials,Other Industrial Metals & Mining,mid,5261.89,6401.81,True,False,False,0.9866142981514303,-0.32,0.0,0.0,0.8482836399575129,0.0,0.52,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.40298335364259996,0.4850875297486974,0.5461379587626065,0.5876723741502545,0.6549891222853728,0.9229833536426,1.0050875297486974,1.0661379587626065,1.1076723741502545,1.1749891222853728,"join=+0.99; sector1d=-0.32; ab=+0.85; ind↑,sec↑; mid_opp=+0.52",10,1,
SSRM,Basic Materials,Gold,mid,7766.9,3160.78,True,False,False,0.9866142981514303,-0.32,0.0,-0.5124156062544919,0.6351489523872873,0.12558348027729027,0.28,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.21239287989507466,0.3411529018818421,0.43323881808762704,0.4994105174253934,0.6010629887958909,0.4923928798950747,0.6211529018818421,0.713238818087627,0.7794105174253934,0.881062988795891,"join=+0.99; sector1d=-0.32; news=-0.51; ev=fed_rate_path; ab=+0.64; LEAD,peers↑,ind↑,sec↑; peer=+0.13; mid_opp=+0.28",12,2,
HBM,Basic Materials,Copper,large,13319.16,5406.14,True,False,False,0.9866142981514303,-0.32,0.0,0.0,0.971872745913509,0.498174426229455,-0.16999999999999998,0.0,0.0,-0.32,-0.32,-0.32,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0,0.5621704146059472,0.6540117016490632,0.722787694380388,0.769095039253825,0.8448815583437789,0.3921704146059472,0.4840117016490632,0.552787694380388,0.599095039253825,0.6748815583437788,"join=+0.99; sector1d=-0.32; ab=+0.97; LEAD,peers↑,ind↑,sec↑; peer=+0.50",12,2,
