Ticker,sector,industry,size,market_cap_m,avg_vol_k,relvol,change_pct,gap_pct,news_time,liquid,rebound,at_low,s_join,s_sector,s_sector_essay,s_general,s_news,s_ab,s_ab_intrinsic,s_peer,s_opp,s_opp_raw,s_heat_raw,s_heat,green,green_rank,relvol,lb_cond,lb_region,lb_zero_red,lb_blue,lb_alarm,lb_fade,lb_tags,lb_setups,lb_points,d_market,d_parent,d_child,d_company,d_setup,d_flow,src_join_tone,src_sector_tone,src_gen_tone,src_news_tone,src_digest_tone,src_judge_tone,src_ab_tone,src_peer_tone,src_heat_tone,src_vol_tone,src_catal_tone,domain_cond,domain_region,domain_white,domain_name_white,domain_blue,domain_alarm,parent_conflict,child_abs_tone,child_rel_tone,child_d1,child_w1,child_residual,group_label,group_themes,group_strength,company_strength,company_direct,company_materiality,company_fresh,company_price_confirmed,company_summary,company_sources,setup_strength,flow_strength,decision_lane,bull_eligible,bear_eligible,bull_rank,bear_rank,bull_decision,bear_decision,decision_blockers,parent_trace,child_trace,company_trace,setup_trace,flow_trace,s_sector_1d,s_sector_3d,s_sector_1w,s_sector_2w,s_sector_1m,s_general_1d,s_general_3d,s_general_1w,s_general_2w,s_general_1m,core_1d,core_3d,core_1w,core_2w,core_1m,score_1d,score_3d,score_1w,score_2w,score_1m,reasons,bulls,bears,flags
B,Basic Materials,Gold,large,74439.7,11050.11,0.03,-0.92,-0.99,2026-08-26 06:30:00,True,False,False,0.9866142981514303,-0.75,-0.55,-0.070125,0.0,-0.35835739835078595,0.12435300177159621,-0.2867302913888035,0.0,-0.05,0.0,0.0,False,0.11384220280394695,0.03,bad,neutral,False,False,True,True,,tag_factor:alarm|heat=bad,15,bad,bad,bad,neutral,good,bad,good,bad,bad,missing,good,missing,good,bad,bad,neutral,missing,bad,bad,False,False,False,False,False,bad,neutral,-3.65,-3.14,-1.9,Gold,Commodities Metals/Gold,-0.5,0.3,True,normal,False,False,direct normal digest (stale/undated): Gold price surge on Fed rate cut bets lifts Barrick Mining (B) 8.21%,finviz_digest,0.75,0.157,blocked,False,True,-0.193,15.2867,BLOCK BUY — HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; flow RED; direct catalyst lacks price confirmation; 🚨 alarm; featured fade; legacy Cond red; v2 domain region red | market=HARD_RED; parent=RED; child=RED/rel=YELLOW; company=YELLOW(0.30); setup=GREEN; flow=RED,"SELL/AVOID — market=HARD_RED; red domains=parent,child,flow",HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; flow RED; direct catalyst lacks price confirmation; 🚨 alarm; featured fade; legacy Cond red; v2 domain region red,"tape d1=-1.5% w1=-1.2% | essay=-0.55 (bad) | judge=good (context, not a second vote)",tape d1=-3.6% w1=-3.1% | vs parent=-1.9% (neutral) | Commodities Metals/Gold w1=-3.1% vs parent=-1.9%,direct normal digest (stale/undated): Gold price surge on Fed rate cut bets lifts Barrick Mining (B) 8.21% | price confirmation=no (change=-0.92% gap=-0.99% rvol=0.03),"intrinsic AB=+0.12 | intrinsic labels=+0.75 (mom=uptrend, ext=neutral, profit=yes, earnings=inline) | join/weather remains visible but is not counted again here",peer=-0.29 | change=-0.92% gap=-0.99% | rvol=0.03 (premarket: low rvol is not a veto),-0.75,-0.7,-0.2,-0.2,-0.2,-0.070125,-0.070125,-0.06375,0.0,0.0,-0.10915169208728558,-0.09627069414473621,-0.017195556148723326,0.003636729814305281,0.012201867810318179,-0.10915169208728558,-0.09627069414473621,-0.017195556148723326,0.003636729814305281,0.012201867810318179,"join=+0.99; sector1d=-0.75; gen1d=-0.07; ab=-0.36; LAG,peers↓,ind↓,sec↓; peer=-0.29; 🚨; cond=bad; lane=blocked; blocked=HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; flow RED; direct catalyst lacks price confirmation; 🚨 alarm; featured fade; legacy Cond red; v2 domain region red",14,1,
DVN,Energy,Oil & Gas E&P,large,52811.0,12491.05,0.01,1.39,0.84,2026-08-18 05:21:26,True,False,False,0.9866142981514303,0.327,0.527,-0.070125,0.0,0.9051482536448665,0.9051482536448665,0.1604757660806807,-0.05,-0.05,0.0,0.0,False,0.6840794392923258,0.01,good,good,False,False,False,False,,,16,bad,good,bad,neutral,good,good,good,good,bad,missing,missing,missing,good,good,bad,neutral,missing,good,neutral,False,True,False,False,False,bad,neutral,-0.52,-3.59,-1.47,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",-0.5,0.0,False,none,False,False,no direct company event,,1.0,0.78,blocked,False,False,1.18,3.0,BLOCK BUY — HARD_RED market closes ordinary/group longs; child industry/theme RED | market=HARD_RED; parent=GREEN; child=RED/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=HARD_RED; red domains=child,HARD_RED market closes ordinary/group longs; child industry/theme RED,"tape conflict d1=+0.1% w1=-2.1% | essay=+0.53 (good) | judge=good (context, not a second vote)",tape d1=-0.5% w1=-3.6% | vs parent=-1.5% (neutral) | Energy Traditional/Oil E&P w1=-3.6% vs parent=-1.5% | Commodities Energy/Oil (commodity) w1=-3.7% vs parent=-2.1%,no direct company event | price confirmation=no (change=+1.39% gap=+0.84% rvol=0.01),"intrinsic AB=+0.91 | intrinsic labels=+1.00 (mom=uptrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=+0.16 | change=+1.39% gap=+0.84% | rvol=0.01 (premarket: low rvol is not a veto),0.327,0.31,0.242,-0.2,0.22499999999999998,-0.070125,-0.070125,-0.06375,0.0,0.0,0.40386593240552443,0.4630819868680303,0.4967472379039563,0.44685952386698485,0.5656947749029108,0.35386593240552444,0.4130819868680303,0.4467472379039563,0.39685952386698486,0.5156947749029107,"join=+0.99; sector1d=+0.33; gen1d=-0.07; ab=+0.91; LEAD,peers↓,ind↓,sec↑; peer=+0.16; cond=good; lane=blocked; blocked=HARD_RED market closes ordinary/group longs; child industry/theme RED",16,2,
REGN,Healthcare,Biotechnology,large,81952.17,893.91,0.0,0.23,2.68,2026-08-21 04:39:00,True,False,False,0.9866142981514303,-0.55,-0.55,-0.070125,0.0,0.35835739835078595,0.703905603936621,-0.30950692121263845,0.0,-0.16999999999999998,0.0,0.0,False,0.34515492509652596,0.0,bad,bad,False,False,True,True,continuation,tag_factor:alarm|heat=bad,10,bad,bad,bad,neutral,good,neutral,good,bad,bad,missing,missing,missing,good,bad,bad,missing,missing,bad,bad,False,True,False,False,False,bad,neutral,-2.98,-2.67,-0.49,Biotechnology,,-0.5,0.0,False,none,False,False,no direct company event,,1.0,0.545,blocked,False,True,0.195,14.3095,BLOCK BUY — HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; 🚨 alarm; featured fade; legacy Cond red; legacy region red; v2 domain region red | market=HARD_RED; parent=RED; child=RED/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,"SELL/AVOID — market=HARD_RED; red domains=parent,child",HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; 🚨 alarm; featured fade; legacy Cond red; legacy region red; v2 domain region red,"tape d1=-0.8% w1=-2.2% | essay=-0.55 (bad) | judge=good (context, not a second vote)",tape d1=-3.0% w1=-2.7% | vs parent=-0.5% (neutral),no direct company event | price confirmation=no (change=+0.23% gap=+2.68% rvol=0.00),"intrinsic AB=+0.70 | intrinsic labels=+1.25 (mom=uptrend, ext=neutral, profit=yes, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=-0.31 | change=+0.23% gap=+2.68% | rvol=0.00 (premarket: low rvol is not a veto),-0.55,0.0,0.0,0.0,0.0,-0.070125,-0.070125,-0.06375,0.0,0.0,0.08547168112334042,0.1835198270329055,0.2109292609629498,0.23576154692597842,0.26266098085602274,0.08547168112334042,0.1835198270329055,0.2109292609629498,0.23576154692597842,0.26266098085602274,"join=+0.99; sector1d=-0.55; gen1d=-0.07; ab=+0.36; LAG,peers↓,ind↓,sec↓; peer=-0.31; 🚨; cond=bad; continuation; lane=blocked; blocked=HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; 🚨 alarm; featured fade; legacy Cond red; legacy region red; v2 domain region red",15,4,
SSB,Financial,Banks - Regional,large,10230.81,827.38,0.04,-0.45,-0.45,2026-08-25 09:03:00,True,False,False,0.9866142981514303,0.45,0.25,-0.070125,0.0,0.5545997223493823,0.703905603936621,-0.10090542267905561,-0.05,-0.05,0.0,0.0,False,0.4801028659405857,0.04,good,neutral,False,False,False,False,,,15,bad,good,neutral,neutral,good,neutral,good,good,bad,missing,missing,missing,good,bad,neutral,neutral,missing,neutral,neutral,False,True,False,False,False,neutral,neutral,0.22,0.21,-0.74,Banks - Regional,,0.0,0.0,False,none,False,False,no direct company event,,1.0,0.45,blocked,False,False,1.5,2.1009,BLOCK BUY — HARD_RED market closes ordinary/group longs | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,NO BEAR — market=HARD_RED,HARD_RED market closes ordinary/group longs,tape mixed d1=+0.3% w1=+0.9% | essay=+0.25 (good),tape mixed d1=+0.2% w1=+0.2% | vs parent=-0.7% (neutral),no direct company event | price confirmation=no (change=-0.45% gap=-0.45% rvol=0.04),"intrinsic AB=+0.70 | intrinsic labels=+0.75 (mom=uptrend, ext=neutral, profit=yes, earnings=inline) | join/weather remains visible but is not counted again here",peer=-0.10 | change=-0.45% gap=-0.45% | rvol=0.04 (premarket: low rvol is not a veto),0.45,0.44,0.45,0.2,0.2,-0.070125,-0.070125,-0.06375,0.0,0.0,0.27625256182970603,0.33786313097925713,0.3795974113892734,0.368429697352302,0.4032539777623182,0.22625256182970604,0.28786313097925714,0.3295974113892734,0.31842969735230203,0.3532539777623182,"join=+0.99; sector1d=+0.45; gen1d=-0.07; ab=+0.55; LAG,peers↓,ind↓,sec↑; peer=-0.10; cond=good; lane=blocked; blocked=HARD_RED market closes ordinary/group longs",15,3,
CB,Financial,Insurance - Property & Casualty,large,130759.14,1831.66,0.0,-0.29,-0.41,2026-08-13 10:00:00,True,False,False,0.9866142981514303,0.45,0.25,-0.070125,0.0,0.0,0.0,-0.1979758979240478,-0.05,-0.05,0.0,0.0,False,0.2628794667424608,0.0,neutral,neutral,False,False,False,False,,,12,bad,good,neutral,neutral,neutral,neutral,good,good,bad,missing,missing,missing,neutral,bad,neutral,missing,missing,neutral,neutral,False,True,False,False,False,neutral,neutral,0.39,0.6,-0.35,Insurance - Property & Casualty,,0.0,0.0,False,none,False,False,no direct company event,,0.625,0.401,blocked,False,False,0.876,2.198,BLOCK BUY — HARD_RED market closes ordinary/group longs; setup YELLOW | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=YELLOW; flow=YELLOW,NO BEAR — market=HARD_RED,HARD_RED market closes ordinary/group longs; setup YELLOW,tape mixed d1=+0.3% w1=+0.9% | essay=+0.25 (good),tape mixed d1=+0.4% w1=+0.6% | vs parent=-0.3% (neutral),no direct company event | price confirmation=no (change=-0.29% gap=-0.41% rvol=0.00),"intrinsic AB=+0.00 | intrinsic labels=+0.50 (mom=mixed, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=-0.20 | change=-0.29% gap=-0.41% | rvol=0.00 (premarket: low rvol is not a veto),0.45,0.44,0.45,0.2,0.2,-0.070125,-0.070125,-0.06375,0.0,0.0,0.11818853619336206,0.1742531081194193,0.2048953940824479,0.1937276800454765,0.2174599660085051,0.06818853619336206,0.1242531081194193,0.1548953940824479,0.14372768004547648,0.1674599660085051,join=+0.99; sector1d=+0.45; gen1d=-0.07; peer=-0.20; cond=neutral; lane=blocked; blocked=HARD_RED market closes ordinary/group longs; setup YELLOW,13,1,
PR,Energy,Oil & Gas E&P,large,19163.3,9950.4,0.01,0.79,3.04,2026-08-06 19:04:34,True,False,False,0.9866142981514303,0.327,0.527,-0.070125,0.0,0.809301070201781,0.8798266996519848,-0.2665302510345473,-0.16999999999999998,-0.16999999999999998,0.0,0.0,False,0.5097950391062214,0.01,neutral,neutral,False,False,False,False,,,14,bad,good,bad,neutral,good,neutral,good,good,bad,missing,missing,missing,good,bad,bad,neutral,missing,neutral,neutral,False,True,False,False,False,bad,neutral,-0.52,-3.59,-1.47,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",-0.5,0.0,False,none,False,False,no direct company event,,1.0,0.567,blocked,False,True,0.767,13.2665,BLOCK BUY — HARD_RED market closes ordinary/group longs; child industry/theme RED | market=HARD_RED; parent=GREEN; child=RED/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,SELL/AVOID — market=HARD_RED; red domains=child,HARD_RED market closes ordinary/group longs; child industry/theme RED,"tape conflict d1=+0.1% w1=-2.1% | essay=+0.53 (good) | judge=good (context, not a second vote)",tape d1=-0.5% w1=-3.6% | vs parent=-1.5% (neutral) | Energy Traditional/Oil E&P w1=-3.6% vs parent=-1.5% | Commodities Energy/Oil (commodity) w1=-3.7% vs parent=-2.1%,no direct company event | price confirmation=no (change=+0.79% gap=+3.04% rvol=0.01),"intrinsic AB=+0.88 | intrinsic labels=+1.25 (mom=uptrend, ext=neutral, profit=yes, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=-0.27 | change=+0.79% gap=+3.04% | rvol=0.01 (premarket: low rvol is not a veto),0.327,0.31,0.242,-0.2,0.22499999999999998,-0.070125,-0.070125,-0.06375,0.0,0.0,0.2945029331217074,0.3527605157497824,0.38450882311684664,0.3346211090798753,0.4515394164469394,0.1245029331217074,0.18276051574978242,0.21450882311684666,0.16462110907987532,0.2815394164469394,"join=+0.99; sector1d=+0.33; gen1d=-0.07; ab=+0.81; LAG,peers↓,ind↓,sec↑; peer=-0.27; cond=neutral; lane=blocked; blocked=HARD_RED market closes ordinary/group longs; child industry/theme RED",15,3,
ARIS,Basic Materials,Gold,mid,4133.82,1542.18,0.05,-1.19,-1.19,2026-08-04 19:00:00,True,False,False,0.9866142981514303,-0.75,-0.55,-0.070125,0.0,0.24491866240370913,0.46211715726000974,0.0,0.0,0.52,0.0,0.0,False,0.41051098685171317,0.05,bad,neutral,False,False,True,True,,tag_factor:alarm|heat=bad,13,bad,bad,bad,neutral,good,neutral,good,bad,bad,missing,missing,missing,good,neutral,bad,neutral,missing,bad,bad,False,True,False,False,False,bad,neutral,-3.65,-3.14,-1.9,Gold,Commodities Metals/Gold,-0.5,0.0,False,none,False,False,no direct company event,,0.981,0.3,blocked,False,True,-0.069,14.0,BLOCK BUY — HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; 🚨 alarm; featured fade; legacy Cond red; v2 domain region red | market=HARD_RED; parent=RED; child=RED/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,"SELL/AVOID — market=HARD_RED; red domains=parent,child",HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; 🚨 alarm; featured fade; legacy Cond red; v2 domain region red,"tape d1=-1.5% w1=-1.2% | essay=-0.55 (bad) | judge=good (context, not a second vote)",tape d1=-3.6% w1=-3.1% | vs parent=-1.9% (neutral) | Commodities Metals/Gold w1=-3.1% vs parent=-1.9%,no direct company event | price confirmation=no (change=-1.19% gap=-1.19% rvol=0.05),"intrinsic AB=+0.46 | intrinsic labels=+1.00 (mom=uptrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=+0.00 | change=-1.19% gap=-1.19% | rvol=0.05 (premarket: low rvol is not a veto),-0.75,-0.7,-0.2,-0.2,-0.2,-0.070125,-0.070125,-0.06375,0.0,0.0,0.0990133813790989,0.11792713992919322,0.209067799140296,0.2299000851033246,0.2505307443144274,0.0990133813790989,0.11792713992919322,0.209067799140296,0.2299000851033246,0.2505307443144274,"join=+0.99; sector1d=-0.75; gen1d=-0.07; ab=+0.24; ind↓,sec↓; 🚨; cond=bad; lane=blocked; blocked=HARD_RED market closes ordinary/group longs; parent sector RED; child industry/theme RED; 🚨 alarm; featured fade; legacy Cond red; v2 domain region red",15,1,
IBN,Financial,Banks - Regional,large,108509.89,6841.52,0.0,1.2,1.27,2026-07-20 09:58:00,True,False,False,0.9866142981514303,0.45,0.25,-0.070125,0.0,0.9253462253117412,0.8798266996519848,0.17020230840646233,-0.05,-0.05,0.0,0.0,True,0.694054277289878,0.0,good,good,False,False,False,False,,,15,bad,good,neutral,neutral,good,good,good,good,bad,missing,missing,missing,good,good,neutral,missing,missing,good,good,False,True,False,False,False,neutral,neutral,0.22,0.21,-0.74,Banks - Regional,,0.0,0.0,False,none,False,False,no direct company event,,1.0,0.785,blocked,False,False,2.035,2.0,BLOCK BUY — HARD_RED market closes ordinary/group longs | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=HARD_RED,HARD_RED market closes ordinary/group longs,tape mixed d1=+0.3% w1=+0.9% | essay=+0.25 (good),tape mixed d1=+0.2% w1=+0.2% | vs parent=-0.7% (neutral),no direct company event | price confirmation=no (change=+1.20% gap=+1.27% rvol=0.00),"intrinsic AB=+0.88 | intrinsic labels=+1.00 (mom=uptrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=+0.17 | change=+1.20% gap=+1.27% | rvol=0.00 (premarket: low rvol is not a veto),0.45,0.44,0.45,0.2,0.2,-0.070125,-0.070125,-0.06375,0.0,0.0,0.4231607337873994,0.4884787679665741,0.5376279784358374,0.5264602643988661,0.5686994748681294,0.3731607337873994,0.4384787679665741,0.48762797843583744,0.4764602643988661,0.5186994748681294,"join=+0.99; sector1d=+0.45; gen1d=-0.07; ab=+0.93; LEAD,peers↑,ind↓,sec↑; peer=+0.17; cond=good; lane=blocked; blocked=HARD_RED market closes ordinary/group longs",13,2,
EXE,Energy,Oil & Gas E&P,large,22901.51,3607.62,0.0,0.78,0.81,2026-08-26 10:38:55,True,False,False,0.9866142981514303,0.327,0.527,-0.070125,0.0,0.9051482536448665,0.9051482536448665,0.3485128504458946,0.06999999999999999,0.06999999999999999,0.0,0.0,True,0.7467584674140638,0.0,good,good,False,False,False,False,,,14,bad,good,bad,neutral,good,good,good,good,bad,missing,missing,missing,good,good,bad,missing,missing,good,neutral,False,True,False,False,False,bad,neutral,-0.52,-3.59,-1.47,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",-0.5,0.0,False,none,False,False,no direct company event,,1.0,0.874,blocked,False,False,1.274,3.0,BLOCK BUY — HARD_RED market closes ordinary/group longs; child industry/theme RED | market=HARD_RED; parent=GREEN; child=RED/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=HARD_RED; red domains=child,HARD_RED market closes ordinary/group longs; child industry/theme RED,"tape conflict d1=+0.1% w1=-2.1% | essay=+0.53 (good) | judge=good (context, not a second vote)",tape d1=-0.5% w1=-3.6% | vs parent=-1.5% (neutral) | Energy Traditional/Oil E&P w1=-3.6% vs parent=-1.5% | Commodities Energy/Oil (commodity) w1=-3.7% vs parent=-2.1%,no direct company event | price confirmation=no (change=+0.78% gap=+0.81% rvol=0.00),"intrinsic AB=+0.91 | intrinsic labels=+0.50 (mom=mixed, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=+0.35 | change=+0.78% gap=+0.81% | rvol=0.00 (premarket: low rvol is not a veto),0.327,0.31,0.242,-0.2,0.22499999999999998,-0.070125,-0.070125,-0.06375,0.0,0.0,0.4414733492785672,0.5006894037410731,0.5343546547769991,0.4844669407400276,0.6033021917759536,0.5114733492785671,0.570689403741073,0.604354654776999,0.5544669407400276,0.6733021917759535,"join=+0.99; sector1d=+0.33; gen1d=-0.07; ab=+0.91; LEAD,peers↓,ind↓,sec↑; peer=+0.35; mid_opp=+0.07; cond=good; lane=blocked; blocked=HARD_RED market closes ordinary/group longs; child industry/theme RED",16,2,
ALL,Financial,Insurance - Property & Casualty,large,65237.35,1755.5,0.0,-0.99,-1.52,2026-08-28 09:38:35,True,False,False,0.9866142981514303,0.45,0.25,-0.070125,0.0,0.703905603936621,0.5545997223493823,-0.14093069123397034,-0.05,-0.05,0.0,0.0,False,0.5165297369513604,0.0,good,neutral,False,False,False,False,,,13,bad,good,neutral,neutral,good,bad,good,good,bad,missing,missing,missing,good,bad,neutral,missing,missing,neutral,neutral,False,False,False,False,False,neutral,neutral,0.39,0.6,-0.35,Insurance - Property & Casualty,,0.0,0.0,False,none,False,False,no direct company event,,1.0,0.23,blocked,False,False,0.93,3.1409,BLOCK BUY — HARD_RED market closes ordinary/group longs; flow RED | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=RED,NO BEAR — market=HARD_RED; red domains=flow,HARD_RED market closes ordinary/group longs; flow RED,tape mixed d1=+0.3% w1=+0.9% | essay=+0.25 (good),tape mixed d1=+0.4% w1=+0.6% | vs parent=-0.3% (neutral),no direct company event | price confirmation=no (change=-0.99% gap=-1.52% rvol=0.00),"intrinsic AB=+0.55 | intrinsic labels=+1.25 (mom=uptrend, ext=neutral, profit=yes, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=-0.14 | change=-0.99% gap=-1.52% | rvol=0.00 (premarket: low rvol is not a veto),0.45,0.44,0.45,0.2,0.2,-0.070125,-0.070125,-0.06375,0.0,0.0,0.3055739785155328,0.36867760648095627,0.41339800452271735,0.40223029048574593,0.4400406885275069,0.2555739785155328,0.3186776064809563,0.36339800452271737,0.35223029048574594,0.3900406885275069,"join=+0.99; sector1d=+0.45; gen1d=-0.07; ab=+0.70; LAG,peers↑,ind↑,sec↑; peer=-0.14; cond=good; lane=blocked; blocked=HARD_RED market closes ordinary/group longs; flow RED",13,2,
