Ticker,sector,industry,size,market_cap_m,avg_vol_k,atr_pct,relvol,change_pct,gap_pct,news_time,liquid,rebound,at_low,s_join,s_sector,s_sector_essay,s_general,s_news,s_ab,s_ab_intrinsic,s_peer,s_opp,s_opp_raw,s_heat_raw,s_heat,green,green_rank,relvol,lb_cond,lb_region,lb_zero_red,lb_blue,lb_alarm,lb_fade,lb_tags,lb_setups,lb_points,d_market,d_parent,d_child,d_company,d_setup,d_flow,src_join_tone,src_sector_tone,src_gen_tone,src_news_tone,src_digest_tone,src_judge_tone,src_ab_tone,src_peer_tone,src_heat_tone,src_vol_tone,src_catal_tone,domain_cond,domain_region,domain_white,domain_name_white,domain_blue,domain_alarm,parent_conflict,child_abs_tone,child_rel_tone,child_d1,child_w1,child_residual,group_label,group_themes,group_strength,company_strength,company_direct,company_materiality,company_fresh,company_price_confirmed,company_summary,company_sources,setup_strength,flow_strength,decision_lane,bull_eligible,bear_eligible,bull_rank,bear_rank,bull_decision,bear_decision,decision_blockers,parent_trace,child_trace,company_trace,setup_trace,flow_trace,s_sector_1d,s_sector_3d,s_sector_1w,s_sector_2w,s_sector_1m,s_general_1d,s_general_3d,s_general_1w,s_general_2w,s_general_1m,core_1d,core_3d,core_1w,core_2w,core_1m,score_1d,score_3d,score_1w,score_2w,score_1m,reasons,bulls,bears,flags
AR,Energy,Oil & Gas E&P,large,12045.46,4284.75,2.7054619703930576,0.65,2.83,1.57,2026-08-12 16:15:00,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.7615941559557649,0.6351489523872873,-0.5374941538135404,0.03,0.03,0.0,0.0,False,0.4035714334312182,0.65,neutral,neutral,False,False,True,False,,,14,bad,good,neutral,neutral,good,bad,good,good,bad,missing,missing,missing,good,bad,neutral,bad,missing,neutral,neutral,False,False,False,True,False,neutral,neutral,-0.11,1.51,0.53,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,0.943,0.431,blocked,False,False,-0.426,3.5375,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=RED,NO BEAR — market=HARD_RED; red domains=flow,HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.1% w1=+1.5% | vs parent=+0.5% (neutral) | Energy Traditional/Oil E&P w1=+1.5% vs parent=+0.5% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+2.83% gap=+1.57% rvol=0.65),"intrinsic AB=+0.64 | intrinsic labels=+0.50 (mom=uptrend, ext=neutral, profit=yes, earnings=miss) | join/weather remains visible but is not counted again here",peer=-0.54 | change=+2.83% gap=+1.57% | rvol=0.65,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.21070362400440476,0.26591993749001963,0.3050081065721636,0.3337603925351922,0.37213456161733605,0.24070362400440476,0.29591993749001966,0.3350081065721636,0.3637603925351922,0.4021345616173361,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.76; LAG,peers↑,ind↑,sec↑; peer=-0.54; 🚨; cond=neutral; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm",14,2,
DVN,Energy,Oil & Gas E&P,large,56441.0,11836.54,2.533619177548236,0.7,3.18,0.64,2026-09-15 07:03:26,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.9540452601799488,0.8798266996519848,0.09347630396922774,-0.16999999999999998,-0.16999999999999998,0.0,0.0,False,0.6780452874335356,0.7,good,good,False,False,False,False,,,17,bad,good,neutral,neutral,good,good,good,good,bad,missing,missing,missing,good,good,neutral,neutral,missing,good,good,False,True,False,False,False,neutral,neutral,-0.11,1.51,0.53,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,1.0,0.747,blocked,False,False,2.297,2.0,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=HARD_RED,HARD_RED: no company / child-outperform / lookback clock,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.1% w1=+1.5% | vs parent=+0.5% (neutral) | Energy Traditional/Oil E&P w1=+1.5% vs parent=+0.5% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+3.18% gap=+0.64% rvol=0.70),"intrinsic AB=+0.88 | intrinsic labels=+1.00 (mom=uptrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=+0.09 | change=+3.18% gap=+0.64% | rvol=0.70,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.3850104916170044,0.44215131614486114,0.48508850731148867,0.5138407932745174,0.5560639844411448,0.21501049161700442,0.27215131614486116,0.3150885073114887,0.3438407932745174,0.3860639844411448,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.95; LEAD,peers↑,ind↑,sec↑; peer=+0.09; cond=good; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock",16,4,
PBR,Energy,Oil & Gas Integrated,large,81027.17,17656.76,2.847955902618282,1.45,2.96,0.14,2026-09-14 20:33:28,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.971872745913509,0.9540452601799488,-0.09099757442556408,-0.16999999999999998,-0.16999999999999998,0.0,0.0,False,0.6224964898797918,1.45,good,neutral,False,False,True,False,,,15,bad,good,neutral,neutral,good,neutral,good,good,bad,missing,missing,missing,good,bad,neutral,neutral,missing,neutral,neutral,False,True,False,True,False,neutral,neutral,-0.48,3.3,2.32,Oil & Gas Integrated,"Energy Traditional/Oil / Majors, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,1.0,0.655,blocked,False,False,0.505,2.091,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,NO BEAR — market=HARD_RED,HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.5% w1=+3.3% | vs parent=+2.3% (neutral) | Energy Traditional/Oil / Majors w1=+0.9% vs parent=-0.1% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+2.96% gap=+0.14% rvol=1.45),"intrinsic AB=+0.95 | intrinsic labels=+1.00 (mom=uptrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=-0.09 | change=+2.96% gap=+0.14% | rvol=1.45,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.35257258737143604,0.40989168675662835,0.45318542763792713,0.4819377136009557,0.5245174544822546,0.18257258737143606,0.23989168675662836,0.28318542763792715,0.31193771360095573,0.35451745448225463,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.97; LAG,peers↑,ind↑,sec↑; peer=-0.09; 🚨; cond=good; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm",14,3,
EXE,Energy,Oil & Gas E&P,large,21850.27,3403.82,2.5958889595253236,0.63,1.05,0.33,2026-09-10 02:15:00,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.8482836399575129,0.7615941559557649,-0.8086531532028882,0.11,0.11,0.0,0.0,False,0.342081594968685,0.63,neutral,neutral,False,False,False,False,,,14,bad,good,neutral,neutral,good,bad,good,good,bad,missing,missing,missing,good,bad,neutral,bad,missing,neutral,neutral,False,False,False,False,False,neutral,neutral,-0.11,1.51,0.53,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,1.0,0.296,blocked,False,False,0.996,3.8087,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; flow RED | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=RED,NO BEAR — market=HARD_RED; red domains=flow,HARD_RED: no company / child-outperform / lookback clock; flow RED,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.1% w1=+1.5% | vs parent=+0.5% (neutral) | Energy Traditional/Oil E&P w1=+1.5% vs parent=+0.5% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+1.05% gap=+0.33% rvol=0.63),"intrinsic AB=+0.76 | intrinsic labels=+0.50 (mom=mixed, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=-0.81 | change=+1.05% gap=+0.33% | rvol=0.63,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.1781441951269722,0.23422740345260454,0.2750493622147834,0.30380164817781197,0.34390960693999084,0.2881441951269722,0.34422740345260455,0.38504936221478336,0.41380164817781195,0.45390960693999083,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.85; LAG,peers↑,ind↑,sec↑; peer=-0.81; mid_opp=+0.11; cond=neutral; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; flow RED",15,3,
PR,Energy,Oil & Gas E&P,large,20474.08,9940.41,2.6595744680851063,0.71,2.88,0.59,2026-08-06 19:04:34,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.9051482536448665,0.8482836399575129,-0.23431472530594444,-0.16999999999999998,-0.16999999999999998,0.0,0.0,False,0.5524826088301175,0.71,good,neutral,False,False,True,False,,,15,bad,good,neutral,neutral,good,neutral,good,good,bad,missing,missing,missing,good,bad,neutral,neutral,missing,neutral,neutral,False,True,False,True,False,neutral,neutral,-0.11,1.51,0.53,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,1.0,0.583,blocked,False,False,0.433,2.2343,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,NO BEAR — market=HARD_RED,HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.1% w1=+1.5% | vs parent=+0.5% (neutral) | Energy Traditional/Oil E&P w1=+1.5% vs parent=+0.5% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+2.88% gap=+0.59% rvol=0.71),"intrinsic AB=+0.85 | intrinsic labels=+1.25 (mom=uptrend, ext=neutral, profit=yes, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=-0.23 | change=+2.88% gap=+0.59% | rvol=0.71,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.3072280341281994,0.36387988859070525,0.40583913962663126,0.43459142558965985,0.47583667662558576,0.1372280341281994,0.19387988859070526,0.23583913962663128,0.26459142558965987,0.3058366766255858,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.91; LAG,peers↑,ind↑,sec↑; peer=-0.23; 🚨; cond=good; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm",15,4,
PBR-A,Energy,Oil & Gas Integrated,large,53348.47,7424.99,2.654415518121491,1.51,2.73,0.26,2026-09-14 20:33:28,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.9253462253117412,0.8798266996519848,-0.08665710155761215,-0.16999999999999998,-0.16999999999999998,0.0,0.0,False,0.6084344739685198,1.51,good,good,False,False,False,False,,"pair:vol=good|ab=good,pair:gen=bad|vol=good",16,bad,good,neutral,neutral,good,good,good,good,bad,missing,missing,missing,good,bad,neutral,good,missing,good,good,False,True,False,True,False,neutral,neutral,-0.48,3.3,2.32,Oil & Gas Integrated,"Energy Traditional/Oil / Majors, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,1.0,0.657,blocked,False,False,2.207,2.0867,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; v2 domain alarm | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=HARD_RED,HARD_RED: no company / child-outperform / lookback clock; v2 domain alarm,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.5% w1=+3.3% | vs parent=+2.3% (neutral) | Energy Traditional/Oil / Majors w1=+0.9% vs parent=-0.1% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+2.73% gap=+0.26% rvol=1.51),"intrinsic AB=+0.88 | intrinsic labels=+1.00 (mom=uptrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=-0.09 | change=+2.73% gap=+0.26% | rvol=1.51,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.3418090517945845,0.39866288597375915,0.44102609644302254,0.4697783824060512,0.5114275928753146,0.1718090517945845,0.22866288597375917,0.27102609644302256,0.2997783824060512,0.3414275928753146,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.93; LAG,peers↑,ind↑,sec↑; peer=-0.09; cond=good; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; v2 domain alarm",14,4,
MGY,Energy,Oil & Gas E&P,mid,6771.37,4631.12,2.9741077676696994,0.64,3.46,0.36,2026-09-10 16:16:00,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.9413755384972874,0.9051482536448665,-0.18774620586828536,0.2,0.4,0.0,0.0,False,0.5800812102601441,0.64,neutral,neutral,False,False,True,False,,,14,bad,good,neutral,neutral,good,bad,good,good,bad,missing,missing,missing,good,bad,neutral,bad,missing,neutral,neutral,False,False,False,True,False,neutral,neutral,-0.11,1.51,0.53,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,1.0,0.606,blocked,False,False,-0.194,3.1877,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=RED,NO BEAR — market=HARD_RED; red domains=flow,HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.1% w1=+1.5% | vs parent=+0.5% (neutral) | Energy Traditional/Oil E&P w1=+1.5% vs parent=+0.5% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+3.46% gap=+0.36% rvol=0.64),"intrinsic AB=+0.91 | intrinsic labels=+0.75 (mom=uptrend, ext=neutral, profit=yes, earnings=inline) | join/weather remains visible but is not counted again here",peer=-0.19 | change=+3.46% gap=+0.36% | rvol=0.64,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.3255985592288364,0.38261268653986646,0.42529648327284086,0.45404876923586945,0.49601856596884386,0.5255985592288364,0.5826126865398664,0.6252964832728409,0.6540487692358694,0.6960185659688438,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.94; LAG,peers↑,ind↑,sec↑; peer=-0.19; mid_opp=+0.20; 🚨; cond=neutral; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm",14,1,
EQT,Energy,Oil & Gas E&P,large,33342.63,7213.64,2.645403377110694,0.7,0.18,0.81,2026-09-07 14:39:00,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.703905603936621,0.5545997223493823,-0.4198418366689064,0.06999999999999999,0.06999999999999999,0.0,0.0,False,0.423559355139715,0.7,good,neutral,False,False,True,False,,,15,bad,good,neutral,neutral,good,neutral,good,good,bad,missing,missing,missing,good,bad,neutral,neutral,missing,neutral,neutral,False,True,False,True,False,neutral,neutral,-0.11,1.51,0.53,Oil & Gas E&P,"Energy Traditional/Oil E&P, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,0.777,0.49,blocked,False,False,0.117,2.4198,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,NO BEAR — market=HARD_RED,HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.1% w1=+1.5% | vs parent=+0.5% (neutral) | Energy Traditional/Oil E&P w1=+1.5% vs parent=+0.5% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+0.18% gap=+0.81% rvol=0.70),"intrinsic AB=+0.55 | intrinsic labels=+0.00 (mom=mixed, ext=neutral, profit=yes, earnings=miss) | join/weather remains visible but is not counted again here",peer=-0.42 | change=+0.18% gap=+0.81% | rvol=0.70,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.2198119494285456,0.2744513773939691,0.3123857754357301,0.34113806139875874,0.37835845944051977,0.2898119494285456,0.3444513773939691,0.3823857754357301,0.41113806139875875,0.4483584594405198,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.70; LAG,peers↑,ind↑,sec↑; peer=-0.42; mid_opp=+0.07; 🚨; cond=good; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; 🚨 alarm; v2 domain alarm",13,3,
LNG,Energy,Oil & Gas Midstream,large,56335.77,1987.47,2.808226711148587,0.45,-0.55,-0.28,2026-09-10 02:15:00,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.5545997223493823,0.5545997223493823,0.15621046576861827,-0.05,-0.05,0.0,0.0,False,0.5658081620898103,0.45,good,neutral,False,False,False,False,,,15,bad,good,bad,neutral,good,bad,good,good,bad,missing,missing,missing,good,good,bad,bad,missing,bad,neutral,False,False,False,True,False,bad,neutral,-0.51,-1.57,-2.55,Oil & Gas Midstream,Energy Traditional/Oil / Majors,-0.5,0.0,False,none,False,False,no direct company event,,1.0,0.378,blocked,False,True,0.528,14.0,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; child industry/theme RED; flow RED; v2 domain alarm | market=HARD_RED; parent=GREEN; child=RED/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=RED,"SELL/AVOID — market=HARD_RED; red domains=child,flow",HARD_RED: no company / child-outperform / lookback clock; child industry/theme RED; flow RED; v2 domain alarm,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape d1=-0.5% w1=-1.6% | vs parent=-2.5% (neutral) | Energy Traditional/Oil / Majors w1=+0.9% vs parent=-0.1%,no direct company event | price confirmation=no (change=-0.55% gap=-0.28% rvol=0.45),"intrinsic AB=+0.55 | intrinsic labels=+1.25 (mom=uptrend, ext=neutral, profit=yes, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=+0.16 | change=-0.55% gap=-0.28% | rvol=0.45,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.29769593951924084,0.3508423086687919,0.3857905890788082,0.4145428750418368,0.44877715545185304,0.24769593951924085,0.3008423086687919,0.3357905890788082,0.3645428750418368,0.39877715545185305,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.55; LEAD,peers↓,ind↓,sec↑; peer=+0.16; cond=good; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; child industry/theme RED; flow RED; v2 domain alarm",13,3,
EC,Energy,Oil & Gas Integrated,large,37580.76,2351.4,2.899343544857768,0.55,3.04,-0.34,2026-09-15 12:36:00,True,False,False,0.9866142981514303,0.17049999999999998,0.3305,-0.09549749999999999,0.0,0.9640275800758169,0.9413755384972874,-0.16230192857878759,-0.11,-0.11,0.0,0.0,False,0.5961133165494865,0.55,neutral,neutral,False,False,True,False,,,14,bad,good,neutral,neutral,good,bad,good,good,bad,missing,missing,missing,good,bad,neutral,bad,missing,neutral,neutral,False,False,False,True,False,neutral,neutral,-0.48,3.3,2.32,Oil & Gas Integrated,"Energy Traditional/Oil / Majors, Commodities Energy/Oil (commodity)",0.0,0.0,False,none,False,False,no direct company event,,1.0,0.619,blocked,False,False,-0.181,3.1623,BLOCK BUY — HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm | market=HARD_RED; parent=GREEN; child=YELLOW/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=RED,NO BEAR — market=HARD_RED; red domains=flow,HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm,"tape mixed d1=-0.8% w1=+1.0% | essay=+0.33 (good) | judge=good (context, not a second vote)",tape conflict d1=-0.5% w1=+3.3% | vs parent=+2.3% (neutral) | Energy Traditional/Oil / Majors w1=+0.9% vs parent=-0.1% | Commodities Energy/Oil (commodity) w1=+2.4% vs parent=+4.3%,no direct company event | price confirmation=no (change=+3.04% gap=-0.34% rvol=0.55),"intrinsic AB=+0.94 | intrinsic labels=+1.25 (mom=uptrend, ext=neutral, profit=yes, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=-0.16 | change=+3.04% gap=-0.34% | rvol=0.55,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,0.17049999999999998,-0.09549749999999999,-0.07905,-0.070125,0.0,0.0,0.33635042508136836,0.39359107280818373,0.43672791037272873,0.4654801963357573,0.5079030339003023,0.22635042508136838,0.28359107280818374,0.32672791037272875,0.35548019633575734,0.39790303390030235,"join=+0.99; sector1d=+0.17; gen1d=-0.10; ab=+0.96; LAG,peers↑,ind↑,sec↑; peer=-0.16; 🚨; cond=neutral; lane=blocked; blocked=HARD_RED: no company / child-outperform / lookback clock; flow RED; 🚨 alarm; v2 domain alarm",12,3,
