Ticker,sector,industry,size,market_cap_m,avg_vol_k,atr_pct,relvol,change_pct,gap_pct,news_time,liquid,rebound,at_low,s_join,s_sector,s_sector_essay,s_general,s_news,s_ab,s_ab_intrinsic,s_peer,s_opp,s_opp_raw,s_heat_raw,s_heat,green,green_rank,relvol,lb_cond,lb_region,lb_zero_red,lb_blue,lb_alarm,lb_fade,lb_tags,lb_setups,lb_points,d_market,d_parent,d_child,d_company,d_setup,d_flow,src_join_tone,src_sector_tone,src_gen_tone,src_news_tone,src_digest_tone,src_judge_tone,src_ab_tone,src_peer_tone,src_heat_tone,src_vol_tone,src_catal_tone,domain_cond,domain_region,domain_white,domain_name_white,domain_blue,domain_alarm,parent_conflict,child_abs_tone,child_rel_tone,child_d1,child_w1,child_residual,group_label,group_themes,group_strength,company_strength,company_direct,company_materiality,company_fresh,company_price_confirmed,company_summary,company_sources,setup_strength,flow_strength,decision_lane,bull_eligible,bear_eligible,bull_rank,bear_rank,bull_decision,bear_decision,decision_blockers,parent_trace,child_trace,company_trace,setup_trace,flow_trace,s_sector_1d,s_sector_3d,s_sector_1w,s_sector_2w,s_sector_1m,s_general_1d,s_general_3d,s_general_1w,s_general_2w,s_general_1m,core_1d,core_3d,core_1w,core_2w,core_1m,score_1d,score_3d,score_1w,score_2w,score_1m,reasons,bulls,bears,flags
MGNI,Communication Services,Advertising Agencies,mid,3630.07,2646.13,4.069537732121692,0.0,0.0,0.0,2026-09-21 08:30:00,True,False,False,0.9866142981514303,0.3135,0.3135,-0.357,0.0,0.8482836399575129,0.8482836399575129,0.7680785634920665,0.2,0.4,0.064,0.016,False,0.8676588338670032,0.0,good,good,True,False,True,True,"first_crack,crowded",tag_context:first_crack,17,neutral,good,good,neutral,good,good,good,good,neutral,missing,missing,missing,good,good,good,missing,missing,good,good,True,True,False,True,False,good,neutral,2.89,2.66,-0.81,Advertising Agencies,,0.5,0.0,False,none,False,False,no direct company event,,1.0,0.884,blocked,False,False,2.484,0.0,BLOCK BUY — 🚨 alarm; featured fade; v2 domain alarm | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=YELLOW,🚨 alarm; featured fade; v2 domain alarm,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+2.9% w1=+2.7% | vs parent=-0.8% (neutral),no direct company event | price confirmation=no (change=+0.00% gap=+0.00% rvol=0.00),"intrinsic AB=+0.85 | intrinsic labels=+1.00 (mom=uptrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=+0.77 | change=+0.00% gap=+0.00% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.357,0.0,0.0,-0.425,-0.459,0.5028703384659632,0.5919177467915956,0.6348857055537744,0.626887991516803,0.6671359502789819,0.7028703384659631,0.7919177467915957,0.8348857055537744,0.826887991516803,0.8671359502789819,"join=+0.99; sector1d=+0.31; gen1d=-0.36; ab=+0.85; LEAD,peers↓,ind↓,sec↑; peer=+0.77; mid_opp=+0.20; 🚨; ⚪; cond=good; first_crack,crowded; lane=blocked; blocked=🚨 alarm; featured fade; v2 domain alarm",10,1,
MTCH,Communication Services,Internet Content & Information,mid,9912.01,3373.2,2.6401111625752662,0.0,0.05,0.05,2026-09-18 17:36:38,True,False,False,0.9866142981514303,0.3135,0.3135,-0.357,0.0,0.24491866240370913,0.46211715726000974,-0.1805005038603668,0.2,0.4,0.0,0.0,False,0.3503441522315909,0.0,good,good,False,False,True,True,first_crack,tag_context:first_crack,15,neutral,good,good,neutral,good,neutral,good,good,neutral,missing,missing,missing,good,bad,good,missing,missing,neutral,good,True,True,False,True,False,good,neutral,3.04,4.23,0.76,Internet Content & Information,,0.5,0.0,False,none,False,False,no direct company event,,0.981,0.41,blocked,False,False,1.291,0.1805,BLOCK BUY — 🚨 alarm; featured fade; v2 domain alarm | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,NO BEAR — market=YELLOW,🚨 alarm; featured fade; v2 domain alarm,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+3.0% w1=+4.2% | vs parent=+0.8% (neutral),no direct company event | price confirmation=no (change=+0.05% gap=+0.05% rvol=0.00),"intrinsic AB=+0.46 | intrinsic labels=+1.00 (mom=uptrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=-0.18 | change=+0.05% gap=+0.05% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.357,0.0,0.0,-0.425,-0.459,0.14631328060702553,0.22932703915711988,0.2602276983682226,0.2522299843312512,0.28041064354235407,0.34631328060702554,0.4293270391571199,0.46022769836822264,0.4522299843312512,0.4804106435423541,"join=+0.99; sector1d=+0.31; gen1d=-0.36; ab=+0.24; LAG,peers↓,ind↓,sec↑; peer=-0.18; mid_opp=+0.20; 🚨; cond=good; first_crack; lane=blocked; blocked=🚨 alarm; featured fade; v2 domain alarm",10,1,
CNK,Communication Services,Entertainment,mid,4201.8,2398.89,2.9793103448275864,0.0,0.0,0.0,2026-09-21 17:29:27,True,False,False,0.9866142981514303,0.3135,0.3135,-0.1785,0.0,0.9051482536448665,0.9051482536448665,0.6661280098692032,0.2,0.4,0.112,0.028,False,0.8526301872218333,0.0,good,good,True,False,True,True,"first_crack,crowded",tag_context:first_crack,17,neutral,good,good,neutral,good,good,good,good,neutral,missing,missing,missing,good,good,good,missing,missing,good,good,True,True,False,True,False,good,neutral,2.48,2.01,-1.46,Entertainment,,0.5,0.0,False,none,False,False,no direct company event,,1.0,0.833,blocked,False,False,2.433,0.0,BLOCK BUY — 🚨 alarm; featured fade; v2 domain alarm | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=YELLOW,🚨 alarm; featured fade; v2 domain alarm,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+2.5% w1=+2.0% | vs parent=-1.5% (neutral),no direct company event | price confirmation=no (change=+0.00% gap=+0.00% rvol=0.00),"intrinsic AB=+0.91 | intrinsic labels=+0.50 (mom=uptrend, ext=neutral, profit=thin, earnings=beat) | join/weather remains visible but is not counted again here",peer=+0.67 | change=+0.00% gap=+0.00% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.1785,0.0,0.0,-0.2125,-0.2295,0.5229763811632289,0.5983124356257348,0.6424176866616609,0.6514199726246894,0.6941652236606153,0.7229763811632288,0.7983124356257347,0.8424176866616608,0.8514199726246894,0.8941652236606152,"join=+0.99; sector1d=+0.31; gen1d=-0.18; ab=+0.91; LEAD,peers↓,ind↓,sec↑; peer=+0.67; mid_opp=+0.20; 🚨; ⚪; cond=good; first_crack,crowded; lane=blocked; blocked=🚨 alarm; featured fade; v2 domain alarm",10,2,
IMAX,Communication Services,Entertainment,mid,2969.7,1261.36,3.120960295475531,0.0,0.2,0.2,2026-09-08 15:21:00,True,False,False,0.9866142981514303,0.3135,0.3135,-0.05354999999999999,0.0,0.9253462253117412,0.9253462253117412,0.6462020097094116,0.2,0.4,0.0,0.0,False,0.852720844390861,0.0,good,good,True,False,True,True,"first_crack,crowded",tag_context:first_crack,17,neutral,good,good,neutral,good,good,good,good,neutral,missing,missing,missing,good,good,good,missing,missing,good,good,True,True,False,False,False,good,neutral,2.48,2.01,-1.46,Entertainment,,0.5,0.0,False,none,False,False,no direct company event,,1.0,0.823,blocked,False,False,2.423,0.0,BLOCK BUY — 🚨 alarm; featured fade | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=YELLOW,🚨 alarm; featured fade,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+2.5% w1=+2.0% | vs parent=-1.5% (neutral),no direct company event | price confirmation=no (change=+0.20% gap=+0.20% rvol=0.00),"intrinsic AB=+0.93 | intrinsic labels=+0.75 (mom=uptrend, ext=neutral, profit=thin, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=+0.65 | change=+0.20% gap=+0.20% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.05354999999999999,0.0,0.0,-0.06375,-0.06885,0.5060366740479892,0.571578708227164,0.6160879186964273,0.6369902046594559,0.6810914151287194,0.7060366740479893,0.7715787082271639,0.8160879186964274,0.836990204659456,0.8810914151287195,"join=+0.99; sector1d=+0.31; gen1d=-0.05; ab=+0.93; LEAD,peers↓,ind↓,sec↑; peer=+0.65; mid_opp=+0.20; 🚨; ⚪; cond=good; first_crack,crowded; lane=blocked; blocked=🚨 alarm; featured fade",8,1,squeeze_candidate
FOX,Communication Services,Entertainment,large,25802.72,1431.81,2.7288428324697755,0.0,0.0,0.0,2026-09-18 10:41:11,True,False,False,0.9866142981514303,0.3135,0.3135,-0.05354999999999999,0.0,0.8798266996519848,0.9253462253117412,-0.061173520364161856,0.03,0.03,0.0,0.0,False,0.6017558258130844,0.0,good,good,False,False,True,True,first_crack,tag_context:first_crack,15,neutral,good,good,neutral,good,neutral,good,good,neutral,missing,missing,missing,good,bad,good,missing,missing,neutral,good,True,True,False,True,False,good,neutral,2.48,2.01,-1.46,Entertainment,,0.5,0.0,False,none,False,False,no direct company event,,1.0,0.469,blocked,False,False,1.369,0.0612,BLOCK BUY — 🚨 alarm; featured fade; v2 domain alarm | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,NO BEAR — market=YELLOW,🚨 alarm; featured fade; v2 domain alarm,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+2.5% w1=+2.0% | vs parent=-1.5% (neutral),no direct company event | price confirmation=no (change=+0.00% gap=+0.00% rvol=0.00),"intrinsic AB=+0.93 | intrinsic labels=+0.75 (mom=uptrend, ext=neutral, profit=thin, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=-0.06 | change=+0.00% gap=+0.00% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.05354999999999999,0.0,0.0,-0.06375,-0.06885,0.35318168661833543,0.41826852554091254,0.46186734549698083,0.48276963146000945,0.5259604514160778,0.3831816866183354,0.44826852554091257,0.49186734549698086,0.5127696314600094,0.5559604514160779,"join=+0.99; sector1d=+0.31; gen1d=-0.05; ab=+0.88; LAG,peers↓,ind↓,sec↑; peer=-0.06; 🚨; cond=good; first_crack; lane=blocked; blocked=🚨 alarm; featured fade; v2 domain alarm",7,1,
FOXA,Communication Services,Entertainment,large,26025.74,5822.14,2.616679418515685,0.0,0.86,0.86,2026-09-18 10:41:11,True,False,False,0.9866142981514303,0.3135,0.3135,-0.05354999999999999,0.0,0.703905603936621,0.703905603936621,0.1768702402552764,0.03,0.03,0.0,0.0,False,0.6224633807811093,0.0,good,good,True,False,True,True,"first_crack,crowded",tag_context:first_crack,17,neutral,good,good,neutral,good,good,good,good,neutral,missing,missing,missing,good,good,good,missing,missing,good,good,True,True,False,True,False,good,neutral,2.48,2.01,-1.46,Entertainment,,0.5,0.0,False,none,False,False,no direct company event,,1.0,0.788,blocked,False,False,2.388,0.0,BLOCK BUY — 🚨 alarm; featured fade; v2 domain alarm | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=YELLOW,🚨 alarm; featured fade; v2 domain alarm,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+2.5% w1=+2.0% | vs parent=-1.5% (neutral),no direct company event | price confirmation=no (change=+0.86% gap=+0.86% rvol=0.00),"intrinsic AB=+0.70 | intrinsic labels=+0.75 (mom=uptrend, ext=neutral, profit=thin, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=+0.18 | change=+0.86% gap=+0.86% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.05354999999999999,0.0,0.0,-0.06375,-0.06885,0.3568101648133821,0.4201377927788056,0.46021819082056664,0.48112047678359526,0.5207928748253563,0.38681016481338215,0.4501377927788056,0.4902181908205666,0.5111204767835953,0.5507928748253563,"join=+0.99; sector1d=+0.31; gen1d=-0.05; ab=+0.70; LEAD,peers↓,ind↓,sec↑; peer=+0.18; 🚨; ⚪; cond=good; first_crack,crowded; lane=blocked; blocked=🚨 alarm; featured fade; v2 domain alarm",7,1,squeeze_candidate
RDDT,Communication Services,Internet Content & Information,large,30360.17,5888.62,4.892268694550063,0.02,-0.59,-0.53,2026-09-21 13:40:00,True,False,False,0.9866142981514303,0.3135,0.3135,-0.357,0.0,0.6351489523872873,0.6351489523872873,0.18170950490918847,0.06999999999999999,0.06999999999999999,0.0,0.0,False,0.6011575851493021,0.02,good,good,True,False,False,False,crowded,,19,neutral,good,good,neutral,good,neutral,good,good,neutral,missing,missing,missing,good,good,good,neutral,missing,neutral,good,True,True,False,True,False,good,neutral,3.04,4.23,0.76,Internet Content & Information,,0.5,0.0,False,none,False,False,no direct company event,,0.88,0.391,blocked,False,False,3.171,0.0,BLOCK BUY — v2 domain alarm | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,NO BEAR — market=YELLOW,v2 domain alarm,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+3.0% w1=+4.2% | vs parent=+0.8% (neutral),no direct company event | price confirmation=no (change=-0.59% gap=-0.53% rvol=0.02),"intrinsic AB=+0.64 | intrinsic labels=+0.25 (mom=downtrend, ext=neutral, profit=yes, earnings=big_beat) | join/weather remains visible but is not counted again here",peer=+0.18 | change=-0.59% gap=-0.53% | rvol=0.02 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.357,0.0,0.0,-0.425,-0.459,0.3163128548568312,0.4032289163067613,0.44193418131753565,0.4339364672805642,0.4699217322913386,0.3863128548568312,0.4732289163067613,0.5119341813175357,0.5039364672805642,0.5399217322913386,"join=+0.99; sector1d=+0.31; gen1d=-0.36; ab=+0.64; LEAD,peers↓,ind↓,sec↑; peer=+0.18; mid_opp=+0.07; ⚪; cond=good; crowded; lane=blocked; blocked=v2 domain alarm",10,2,
BZ,Communication Services,Internet Content & Information,mid,5650.37,5744.78,4.362880886426593,0.0,0.0,0.0,2026-09-22 03:20:00,True,False,False,0.9866142981514303,0.3135,0.3135,-0.05354999999999999,0.0,0.7615941559557649,0.7615941559557649,-0.7423190274547227,0.2,0.5599999999999999,0.0,0.0,False,0.33529647555082415,0.0,good,good,False,False,True,True,first_crack,tag_context:first_crack,15,neutral,good,good,neutral,neutral,neutral,good,good,neutral,missing,missing,missing,good,bad,good,missing,missing,neutral,good,True,True,False,False,False,good,neutral,3.04,4.23,0.76,Internet Content & Information,,0.5,0.0,False,none,False,False,no direct company event,,0.818,0.129,blocked,False,False,0.647,0.7423,BLOCK BUY — setup YELLOW; 🚨 alarm; featured fade | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=YELLOW; flow=YELLOW,NO BEAR — market=YELLOW,setup YELLOW; 🚨 alarm; featured fade,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+3.0% w1=+4.2% | vs parent=+0.8% (neutral),no direct company event | price confirmation=no (change=+0.00% gap=+0.00% rvol=0.00),"intrinsic AB=+0.76 | intrinsic labels=-0.25 (mom=downtrend, ext=neutral, profit=yes, earnings=inline) | join/weather remains visible but is not counted again here",peer=-0.74 | change=+0.00% gap=+0.00% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.05354999999999999,0.0,0.0,-0.06375,-0.06885,0.1873944492761683,0.2512989627617832,0.29253313184392715,0.3134354178069557,0.3542615868890996,0.3873944492761683,0.4512989627617832,0.49253313184392716,0.5134354178069558,0.5542615868890997,"join=+0.99; sector1d=+0.31; gen1d=-0.05; ab=+0.76; LAG,peers↑,ind↓,sec↑; peer=-0.74; mid_opp=+0.20; 🚨; cond=good; first_crack; lane=blocked; blocked=setup YELLOW; 🚨 alarm; featured fade",11,3,
QNST,Communication Services,Advertising Agencies,small,985.31,893.7,4.40324449594438,0.0,0.0,0.0,2026-08-14 20:01:13,True,False,False,0.9866142981514303,0.3135,0.3135,-0.05354999999999999,0.0,0.6351489523872873,0.6351489523872873,-0.7282542059818115,0.2,0.44,0.0,0.0,False,0.29783634818563537,0.0,good,good,False,False,True,True,first_crack,tag_context:first_crack,15,neutral,good,good,neutral,good,neutral,good,good,neutral,missing,missing,missing,good,bad,good,missing,missing,neutral,good,True,True,False,False,False,good,neutral,2.89,2.66,-0.81,Advertising Agencies,,0.5,0.0,False,none,False,False,no direct company event,,0.818,0.136,blocked,False,False,0.854,0.7283,BLOCK BUY — 🚨 alarm; featured fade | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=YELLOW,NO BEAR — market=YELLOW,🚨 alarm; featured fade,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+2.9% w1=+2.7% | vs parent=-0.8% (neutral),no direct company event | price confirmation=no (change=+0.00% gap=+0.00% rvol=0.00),"intrinsic AB=+0.64 | intrinsic labels=+0.00 (mom=mixed, ext=neutral, profit=thin, earnings=beat) | join/weather remains visible but is not counted again here",peer=-0.73 | change=+0.00% gap=+0.00% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.05354999999999999,0.0,0.0,-0.06375,-0.06885,0.15859611267863116,0.22123617412856128,0.25994143913933565,0.2808437251023642,0.31914099011313857,0.3585961126786312,0.4212361741285613,0.45994143913933566,0.48084372510236423,0.5191409901131385,"join=+0.99; sector1d=+0.31; gen1d=-0.05; ab=+0.64; LAG,peers↑,ind↓,sec↑; peer=-0.73; mid_opp=+0.20; 🚨; cond=good; first_crack; lane=blocked; blocked=🚨 alarm; featured fade",9,2,
CARG,Communication Services,Internet Content & Information,mid,2954.57,1066.23,3.4368405185408495,0.0,0.0,0.0,2026-09-03 08:50:00,True,False,False,0.9866142981514303,0.3135,0.3135,-0.1785,0.0,0.703905603936621,0.703905603936621,0.5597712580014516,0.2,0.6000000000000001,0.112,0.028,False,0.7500970533631678,0.0,good,good,True,False,True,True,"first_crack,crowded",tag_context:first_crack,17,neutral,good,good,neutral,good,good,good,good,neutral,missing,missing,missing,good,good,good,missing,missing,good,good,True,True,False,True,False,good,neutral,3.04,4.23,0.76,Internet Content & Information,,0.5,0.0,False,none,False,False,no direct company event,,0.852,0.78,blocked,False,False,2.232,0.0,BLOCK BUY — 🚨 alarm; featured fade; v2 domain alarm | market=YELLOW; parent=GREEN; child=GREEN/rel=YELLOW; company=YELLOW(0.00); setup=GREEN; flow=GREEN,NO BEAR — market=YELLOW,🚨 alarm; featured fade; v2 domain alarm,tape d1=+2.7% w1=+3.5% | essay=+0.31 (good),tape d1=+3.0% w1=+4.2% | vs parent=+0.8% (neutral),no direct company event | price confirmation=no (change=+0.00% gap=+0.00% rvol=0.00),"intrinsic AB=+0.70 | intrinsic labels=+0.00 (mom=downtrend, ext=neutral, profit=yes, earnings=beat) | join/weather remains visible but is not counted again here",peer=+0.56 | change=+0.00% gap=+0.00% | rvol=0.00 (premarket: low rvol is not a veto),0.3135,0.3135,0.3135,0.3135,0.3135,-0.1785,0.0,0.0,-0.2125,-0.2295,0.45139436836261726,0.5247179963280406,0.5647983943698017,0.5738006803328304,0.6125210783745914,0.6513943683626173,0.7247179963280406,0.7647983943698018,0.7738006803328303,0.8125210783745913,"join=+0.99; sector1d=+0.31; gen1d=-0.18; ab=+0.70; LEAD,peers↓,ind↓,sec↑; peer=+0.56; mid_opp=+0.20; 🚨; ⚪; cond=good; first_crack,crowded; lane=blocked; blocked=🚨 alarm; featured fade; v2 domain alarm",9,2,
