Ticker,sector,industry,size,index,geo,beta,short,liq,rvol,vol,profit,lev,style,mom,ext,range,earn,earnsurp,analyst,themes,n_themes
A,Healthcare,Diagnostics & Research,large,sp500,US,mid,low,high,normal,mid,yes,mid,blend,mixed,neutral,mid,past,beat,strong_buy,,0
AA,Basic Materials,Aluminum,large,none,US,high,low,high,quiet,high,thin,mid,value,mixed,neutral,high,past,miss,strong_buy,,0
AACB,Financial,Shell Companies,micro,none,US,low,low,low,quiet,low,unknown,low,unknown,uptrend,neutral,top,unknown,unknown,unknown,,0
AACG,Consumer Defensive,Education & Training Services,micro,none,ADR-China,mid,low,low,normal,high,no,high,blend,downtrend,neutral,deep_low,past,unknown,strong_buy,,0
AACI,Financial,Shell Companies,small,none,US,unknown,low,low,quiet,low,unknown,low,unknown,uptrend,neutral,top,unknown,unknown,unknown,,0
AACO,Financial,Shell Companies,small,none,US,unknown,unknown,low,quiet,low,unknown,low,unknown,uptrend,neutral,low,unknown,unknown,unknown,,0
AACP,Financial,Shell Companies,micro,none,US,unknown,low,low,quiet,low,unknown,unknown,unknown,uptrend,neutral,breakout,unknown,unknown,unknown,,0
AADX,Industrials,Aerospace & Defense,mid,none,US,unknown,unknown,high,quiet,high,no,high,growth,uptrend,neutral,high,unknown,unknown,unknown,theme:defense,1
AAL,Industrials,Airlines,mid,none,US,high,mid,high,hot,mid,thin,unknown,growth,uptrend,neutral,high,past,beat,buy,,0
AAME,Financial,Insurance - Life,micro,none,US,low,low,low,normal,high,thin,mid,blend,downtrend,washed,deep_low,unknown,unknown,unknown,,0
AAMI,Financial,Asset Management,mid,rut,US,high,low,mid,quiet,mid,yes,high,growth,uptrend,neutral,top,past,big_beat,hold,,0
AAOI,Technology,Communication Equipment,large,rut,US,high,mid,high,normal,high,no,low,growth,uptrend,neutral,high,past,big_miss,buy,theme:optics_transceiver,1
AAON,Industrials,Building Products & Equipment,large,none,US,high,mid,high,normal,high,thin,mid,growth,uptrend,neutral,high,past,big_beat,strong_buy,,0
AAP,Consumer Cyclical,Auto Parts,mid,rut,US,mid,high,high,quiet,mid,thin,high,growth,uptrend,neutral,high,past,big_beat,hold,,0
AAPG,Healthcare,Biotechnology,small,none,ADR-China,low,unknown,low,hot,high,no,high,growth,downtrend,neutral,deep_low,past,big_beat,strong_buy,,0
AAPL,Technology,Consumer Electronics,mega,djia|ndx|sp500,US,mid,low,high,normal,mid,yes,mid,blend,uptrend,neutral,high,past,inline,strong_buy,,0
AARD,Healthcare,Biotechnology,micro,rut,US,high,mid,low,quiet,high,unknown,low,blend,downtrend,washed,deep_low,past,miss,buy,,0
AAT,Real Estate,REIT - Diversified,small,rut,US,mid,low,low,normal,mid,thin,high,blend,uptrend,extended,top,past,big_miss,sell,,0
AAUC,Basic Materials,Gold,mid,none,ADR-Canada,low,low,mid,hot,mid,no,mid,growth,mixed,neutral,high,past,big_beat,hold,,0
AB,Financial,Asset Management,mid,none,US,low,low,mid,normal,low,unknown,low,blend,downtrend,neutral,deep_low,past,inline,hold,,0
ABAT,Industrials,Waste Management,small,rut,US,mid,high,mid,normal,high,no,low,growth,mixed,neutral,deep_low,past,big_miss,strong_buy,theme:copper_metals,1
ABBV,Healthcare,Drug Manufacturers - General,mega,sp500,US,low,low,high,quiet,mid,thin,unknown,value,uptrend,neutral,high,past,inline,strong_buy,,0
ABCB,Financial,Banks - Regional,mid,rut,US,mid,low,mid,normal,low,yes,low,value,uptrend,neutral,breakout,past,inline,strong_buy,,0
ABCL,Healthcare,Biotechnology,small,none,ADR-Canada,mid,high,mid,quiet,high,no,low,growth,uptrend,neutral,mid,past,beat,strong_buy,,0
ABEO,Healthcare,Biotechnology,small,rut,US,high,extreme,low,normal,mid,yes,low,growth,uptrend,neutral,mid,past,beat,strong_buy,,0
ABEV,Consumer Defensive,Beverages - Brewers,large,none,ADR-Brazil,low,low,mid,quiet,mid,yes,low,value,uptrend,neutral,top,past,beat,hold,,0
ABG,Consumer Cyclical,Auto & Truck Dealerships,mid,rut,US,low,mid,mid,quiet,mid,thin,high,value,mixed,neutral,low,past,inline,hold,,0
ABLV,Consumer Cyclical,Specialty Retail,micro,none,ADR-China,high,low,low,quiet,high,no,high,blend,uptrend,neutral,mid,unknown,unknown,unknown,,0
ABM,Industrials,Specialty Business Services,mid,rut,US,low,mid,mid,hot,mid,thin,high,value,uptrend,extended,high,past,inline,buy,theme:data_center_power,1
ABNB,Consumer Cyclical,Travel Services,large,ndx|sp500,US,mid,low,high,quiet,mid,yes,mid,blend,mixed,neutral,mid,past,miss,buy,,0
ABOS,Healthcare,Biotechnology,micro,none,US,low,low,low,quiet,high,unknown,mid,blend,mixed,neutral,mid,past,beat,strong_buy,,0
ABR,Real Estate,REIT - Mortgage,small,rut,US,mid,high,mid,quiet,high,thin,high,growth,downtrend,neutral,deep_low,past,big_miss,sell,,0
ABSI,Healthcare,Biotechnology,small,rut,US,high,high,mid,normal,high,no,low,blend,uptrend,neutral,top,past,inline,strong_buy,,0
ABT,Healthcare,Medical Devices,large,sp500,US,low,low,high,normal,mid,yes,mid,value,downtrend,neutral,deep_low,past,inline,strong_buy,,0
ABTC,Financial,Capital Markets,small,none,US,high,low,mid,quiet,high,no,low,growth,downtrend,neutral,deep_low,past,big_miss,strong_buy,,0
ABTS,Financial,Capital Markets,micro,none,ADR-Hong Kong,high,low,low,quiet,high,no,low,growth,mixed,neutral,deep_low,unknown,unknown,unknown,,0
ABUS,Healthcare,Biotechnology,small,rut,US,low,mid,low,quiet,mid,yes,low,growth,downtrend,neutral,mid,past,big_beat,strong_buy,,0
ABVC,Healthcare,Biotechnology,micro,none,US,low,low,low,quiet,high,unknown,low,blend,downtrend,neutral,deep_low,unknown,unknown,unknown,,0
ABVE,Consumer Defensive,Packaged Foods,micro,none,ADR-Canada,low,mid,low,quiet,high,unknown,unknown,unknown,downtrend,washed,deep_low,unknown,unknown,unknown,,0
ABVX,Healthcare,Biotechnology,mid,none,ADR-France,mid,low,high,quiet,high,unknown,low,blend,downtrend,neutral,high,past,big_beat,strong_buy,,0
ABX,Financial,Insurance - Life,small,rut,US,low,high,low,normal,mid,yes,mid,growth,uptrend,neutral,top,past,inline,strong_buy,,0
ACA,Industrials,Engineering & Construction,mid,rut,US,mid,low,mid,normal,mid,thin,mid,blend,uptrend,neutral,top,past,beat,strong_buy,,0
ACAA,Financial,Shell Companies,small,none,US,unknown,low,low,quiet,low,unknown,low,unknown,uptrend,neutral,high,unknown,unknown,unknown,,0
ACAD,Healthcare,Biotechnology,mid,rut,US,mid,mid,mid,quiet,mid,yes,low,growth,downtrend,neutral,deep_low,past,big_miss,strong_buy,,0
ACB,Healthcare,Drug Manufacturers - Specialty & Generic,micro,none,ADR-Canada,low,mid,low,normal,high,no,low,growth,downtrend,neutral,deep_low,past,big_miss,buy,,0
ACCL,Industrials,Consulting Services,micro,none,ADR-Hong Kong,unknown,low,low,quiet,high,yes,low,blend,mixed,neutral,deep_low,unknown,unknown,unknown,,0
ACCO,Industrials,Business Equipment & Supplies,small,rut,US,mid,mid,low,normal,mid,thin,high,value,uptrend,neutral,top,past,big_beat,strong_buy,,0
ACCS,Communication Services,Advertising Agencies,micro,none,US,low,low,low,quiet,high,no,low,growth,downtrend,neutral,deep_low,past,miss,strong_buy,,0
ACDC,Energy,Oil & Gas Equipment & Services,small,rut,US,high,mid,mid,quiet,high,no,high,growth,uptrend,neutral,mid,past,miss,sell,,0
ACEL,Consumer Cyclical,Gambling,small,rut,US,mid,low,low,normal,mid,thin,high,blend,uptrend,neutral,top,past,miss,strong_buy,,0
ACET,Healthcare,Biotechnology,micro,none,US,high,mid,low,normal,high,unknown,low,growth,mixed,neutral,deep_low,past,big_beat,strong_buy,,0
ACFN,Technology,Scientific & Technical Instruments,micro,none,US,low,low,low,normal,high,yes,low,blend,downtrend,neutral,deep_low,past,unknown,buy,,0
ACGC,Financial,Shell Companies,micro,none,US,unknown,low,low,hot,low,unknown,unknown,unknown,downtrend,neutral,deep_low,unknown,unknown,unknown,,0
ACGL,Financial,Insurance - Diversified,large,sp500,ADR-Bermuda,low,low,high,normal,mid,yes,low,value,downtrend,neutral,mid,past,inline,buy,,0
ACH,Healthcare,Medical Distribution,micro,rut,US,high,mid,low,normal,high,no,unknown,growth,uptrend,neutral,deep_low,past,big_beat,hold,,0
ACHC,Healthcare,Medical Care Facilities,mid,none,US,low,extreme,mid,quiet,high,no,high,value,mixed,neutral,high,past,big_beat,buy,,0
ACHR,Industrials,Aerospace & Defense,mid,rut,US,high,mid,high,quiet,high,no,low,blend,downtrend,neutral,deep_low,past,beat,strong_buy,theme:defense,1
ACHV,Healthcare,Biotechnology,small,none,US,high,mid,low,normal,high,unknown,high,growth,uptrend,neutral,top,past,big_beat,strong_buy,,0
ACI,Consumer Defensive,Grocery Stores,mid,none,US,low,mid,high,normal,mid,thin,high,blend,downtrend,neutral,deep_low,past,beat,buy,,0
ACIC,Financial,Insurance - Property & Casualty,small,rut,US,low,low,low,normal,mid,yes,mid,growth,downtrend,neutral,low,past,miss,hold,,0
ACIU,Healthcare,Biotechnology,micro,none,ADR-Switzerland,high,mid,low,normal,high,no,low,growth,downtrend,neutral,low,past,inline,strong_buy,theme:semiconductor_equip,1
ACIW,Technology,Software - Infrastructure,mid,rut,US,mid,low,mid,normal,mid,yes,mid,blend,mixed,neutral,mid,past,big_beat,strong_buy,,0
ACLS,Technology,Semiconductor Equipment & Materials,mid,rut,US,high,mid,high,normal,high,yes,low,growth,uptrend,neutral,top,past,inline,hold,theme:semiconductor_equip,1
ACM,Industrials,Engineering & Construction,mid,none,US,mid,mid,high,quiet,mid,thin,high,value,downtrend,neutral,deep_low,past,inline,strong_buy,,0
ACMR,Technology,Semiconductor Equipment & Materials,mid,rut,US,high,mid,high,hot,high,thin,low,growth,uptrend,extreme,top,past,big_beat,strong_buy,theme:hbm_memory|theme:semiconductor_equip,2
ACN,Technology,Information Technology Services,large,sp500,ADR-Ireland,mid,low,high,quiet,mid,yes,low,value,downtrend,neutral,deep_low,past,inline,strong_buy,,0
ACNB,Financial,Banks - Regional,small,rut,US,mid,low,low,normal,mid,yes,mid,growth,uptrend,neutral,top,past,beat,buy,,0
ACNT,Basic Materials,Chemicals,micro,rut,US,low,mid,low,quiet,mid,thin,low,blend,mixed,neutral,mid,past,unknown,strong_buy,,0
ACOG,Healthcare,Biotechnology,micro,none,US,high,low,low,normal,high,no,low,growth,downtrend,neutral,deep_low,past,beat,strong_buy,,0
ACON,Healthcare,Health Information Services,micro,none,US,mid,mid,low,quiet,high,no,low,growth,downtrend,neutral,deep_low,past,inline,strong_buy,theme:ai_capex,1
ACP,Financial,Closed-End Fund - Debt,small,none,US,low,low,low,quiet,low,unknown,unknown,unknown,downtrend,neutral,low,unknown,unknown,unknown,,0
ACR,Real Estate,REIT - Mortgage,micro,rut,US,mid,low,low,normal,mid,thin,high,growth,downtrend,neutral,deep_low,past,big_miss,buy,,0
ACRE,Real Estate,REIT - Mortgage,micro,rut,US,mid,low,low,normal,mid,no,high,growth,downtrend,neutral,mid,past,miss,hold,,0
ACRS,Healthcare,Biotechnology,small,rut,US,mid,mid,low,normal,high,no,low,blend,mixed,neutral,high,past,inline,strong_buy,,0
ACRV,Healthcare,Biotechnology,micro,none,US,high,mid,low,quiet,high,unknown,low,blend,downtrend,neutral,deep_low,past,beat,strong_buy,,0
ACT,Financial,Insurance - Specialty,mid,rut,US,low,mid,mid,quiet,mid,yes,low,value,mixed,neutral,high,past,inline,hold,,0
