Ticker,sector,industry,size,index,geo,beta,short,liq,rvol,vol,profit,lev,style,mom,ext,range,earn,earnsurp,analyst,themes,n_themes,rsi,sma20,q_mom,instown,peg,sales_g,roe,div
A,Healthcare,Diagnostics & Research,large,sp500,US,mid,low,high,normal,mid,yes,mid,blend,uptrend,neutral,top,past,beat,strong_buy,,0,mid,above,up,high,rich,slow,good,some
AA,Basic Materials,Aluminum,large,none,US,high,low,high,quiet,mid,thin,mid,value,mixed,neutral,low,past,miss,strong_buy,,0,mid,above,down,high,cheap,slow,good,some
AAC-U,Financial,Shell Companies,small,none,US,unknown,unknown,low,quiet,low,unknown,unknown,unknown,uptrend,neutral,mid,unknown,unknown,unknown,,0,mid,above,unknown,high,unknown,unknown,unknown,unknown
AACB,Financial,Shell Companies,micro,none,US,low,low,low,quiet,low,unknown,low,unknown,uptrend,neutral,top,unknown,unknown,unknown,,0,mid,above,flat,high,unknown,unknown,thin,unknown
AACG,Consumer Defensive,Education & Training Services,micro,none,ADR-China,mid,low,low,quiet,high,no,high,blend,downtrend,neutral,deep_low,past,unknown,strong_buy,,0,mid,below,down,low,unknown,slow,none,unknown
AACI,Financial,Shell Companies,small,none,US,unknown,low,low,quiet,low,unknown,low,unknown,uptrend,neutral,breakout,unknown,unknown,unknown,,0,overbought,above,flat,mid,unknown,unknown,unknown,unknown
AACO,Financial,Shell Companies,small,none,US,unknown,unknown,low,quiet,low,unknown,low,unknown,uptrend,neutral,breakout,unknown,unknown,unknown,,0,mid,above,flat,mid,unknown,unknown,unknown,unknown
AACP,Financial,Shell Companies,micro,none,US,unknown,low,low,quiet,low,unknown,low,unknown,uptrend,neutral,top,unknown,unknown,unknown,,0,mid,above,flat,mid,unknown,unknown,unknown,unknown
AADX,Industrials,Aerospace & Defense,mid,none,US,unknown,low,mid,normal,high,no,mid,growth,downtrend,washed,deep_low,past,big_miss,strong_buy,theme:defense,1,oversold,below,unknown,mid,unknown,fast,none,unknown
AAL,Industrials,Airlines,mid,none,US,high,mid,high,quiet,mid,no,unknown,growth,downtrend,neutral,mid,past,big_beat,buy,,0,mid,below,down,high,cheap,slow,unknown,unknown
AAME,Financial,Insurance - Life,micro,none,US,low,low,low,hot,high,thin,mid,blend,downtrend,neutral,deep_low,unknown,unknown,unknown,,0,mid,below,down,low,unknown,slow,thin,unknown
AAMI,Financial,Asset Management,mid,rut,US,high,low,mid,quiet,mid,yes,high,growth,uptrend,neutral,top,past,big_beat,hold,,0,overbought,above,up,high,unknown,fast,good,some
AAOI,Technology,Communication Equipment,mid,none,US,high,mid,high,quiet,high,no,low,growth,mixed,neutral,mid,past,big_beat,strong_buy,,0,mid,below,down,mid,unknown,fast,none,unknown
AAON,Industrials,Building Products & Equipment,mid,none,US,high,mid,mid,quiet,high,thin,mid,growth,downtrend,neutral,deep_low,past,big_beat,strong_buy,,0,oversold,below,down,high,cheap,fast,good,some
AAP,Consumer Cyclical,Auto Parts,mid,rut,US,mid,high,mid,quiet,high,thin,high,growth,downtrend,neutral,deep_low,past,big_beat,hold,,0,oversold,below,down,high,cheap,shrink,thin,some
AAPG,Healthcare,Biotechnology,small,none,ADR-China,low,unknown,low,quiet,mid,no,high,growth,mixed,neutral,deep_low,past,big_miss,strong_buy,theme:biotech,1,mid,above,down,low,unknown,fast,none,unknown
AAPL,Technology,Consumer Electronics,mega,djia|ndx|sp500,US,mid,low,high,quiet,mid,yes,mid,blend,uptrend,neutral,top,past,beat,buy,,0,mid,above,flat,mid,rich,slow,good,some
AARD,Healthcare,Biotechnology,micro,none,US,high,low,low,quiet,high,unknown,low,blend,downtrend,neutral,deep_low,past,big_beat,buy,theme:biotech,1,mid,below,up,mid,unknown,unknown,none,unknown
AAT,Real Estate,REIT - Diversified,small,rut,US,mid,low,low,normal,low,thin,high,blend,mixed,neutral,mid,past,miss,sell,,0,mid,below,flat,high,unknown,shrink,thin,high
AAUC,Basic Materials,Gold,mid,none,ADR-Canada,low,low,mid,quiet,mid,no,mid,growth,mixed,neutral,mid,past,big_beat,strong_buy,,0,mid,above,down,mid,cheap,fast,none,unknown
AB,Financial,Asset Management,mid,none,US,low,low,mid,normal,low,unknown,low,blend,mixed,neutral,deep_low,past,inline,hold,theme:ai_capex,1,mid,above,flat,low,fair,unknown,good,high
ABAT,Industrials,Waste Management,small,rut,US,mid,high,mid,normal,high,no,low,growth,mixed,neutral,deep_low,past,big_miss,strong_buy,,0,mid,above,down,mid,unknown,fast,none,unknown
ABBV,Healthcare,Drug Manufacturers - General,mega,sp500,US,low,low,high,quiet,mid,thin,unknown,blend,uptrend,neutral,top,past,inline,strong_buy,,0,mid,above,up,high,cheap,slow,good,some
ABCB,Financial,Banks - Regional,mid,rut,US,mid,low,mid,quiet,low,yes,mid,value,mixed,neutral,high,past,inline,buy,,0,mid,below,flat,high,unknown,slow,thin,some
ABCL,Healthcare,Biotechnology,mid,none,ADR-Canada,high,high,mid,quiet,high,no,low,growth,uptrend,extreme,top,past,miss,strong_buy,theme:biotech,1,mid,above,up,mid,unknown,fast,none,unknown
ABEO,Healthcare,Biotechnology,small,rut,US,high,extreme,low,quiet,high,no,low,growth,mixed,neutral,mid,past,big_miss,strong_buy,theme:biotech,1,mid,below,flat,mid,unknown,fast,none,unknown
ABEV,Consumer Defensive,Beverages - Brewers,large,none,ADR-Brazil,low,low,mid,normal,mid,yes,low,value,downtrend,neutral,mid,past,beat,hold,,0,mid,below,down,low,fair,slow,good,high
ABG,Consumer Cyclical,Auto & Truck Dealerships,mid,rut,US,low,mid,mid,quiet,mid,thin,high,value,downtrend,neutral,mid,past,beat,hold,,0,mid,below,up,high,fair,slow,good,unknown
ABLV,Consumer Cyclical,Specialty Retail,micro,none,ADR-China,high,low,low,quiet,high,no,high,blend,uptrend,neutral,mid,unknown,unknown,unknown,,0,overbought,above,up,low,unknown,shrink,none,unknown
ABM,Industrials,Specialty Business Services,mid,rut,US,low,low,mid,quiet,mid,thin,high,value,uptrend,neutral,high,later,inline,buy,,0,mid,below,up,high,fair,slow,thin,some
ABNB,Consumer Cyclical,Travel Services,large,ndx|sp500,US,mid,low,high,normal,mid,yes,mid,blend,uptrend,neutral,top,past,beat,buy,,0,overbought,above,up,mid,fair,slow,good,unknown
ABOS,Healthcare,Biotechnology,micro,rut,US,low,mid,low,quiet,high,unknown,mid,blend,uptrend,neutral,high,past,big_miss,strong_buy,theme:biotech,1,mid,above,up,mid,unknown,unknown,none,unknown
ABR,Real Estate,REIT - Mortgage,small,rut,US,mid,high,mid,normal,mid,thin,high,growth,downtrend,neutral,deep_low,past,big_beat,hold,theme:housing,1,mid,below,down,mid,unknown,shrink,thin,high
ABSI,Healthcare,Biotechnology,small,rut,US,high,extreme,mid,quiet,high,no,low,blend,mixed,neutral,high,past,miss,strong_buy,theme:biotech,1,mid,below,up,high,unknown,shrink,none,unknown
ABT,Healthcare,Medical Devices,large,sp500,US,low,low,high,quiet,mid,yes,mid,blend,uptrend,neutral,mid,past,inline,strong_buy,,0,mid,above,up,high,fair,slow,good,some
ABTC,Financial,Capital Markets,small,none,US,high,high,mid,hot,high,no,mid,growth,mixed,neutral,deep_low,past,big_miss,strong_buy,theme:crypto,1,mid,above,down,low,unknown,fast,none,unknown
ABTS,Financial,Capital Markets,micro,none,ADR-Hong Kong,high,low,low,quiet,high,no,low,growth,mixed,neutral,deep_low,unknown,unknown,unknown,theme:crypto,1,mid,above,up,low,unknown,fast,none,unknown
ABUS,Healthcare,Biotechnology,small,rut,US,low,mid,mid,hot,mid,yes,low,growth,uptrend,neutral,top,past,big_miss,strong_buy,theme:biotech,1,mid,above,up,high,unknown,fast,good,unknown
ABVC,Healthcare,Biotechnology,micro,none,US,low,low,low,quiet,high,unknown,low,blend,downtrend,neutral,deep_low,unknown,unknown,unknown,theme:biotech,1,mid,below,down,low,unknown,shrink,none,unknown
ABVX,Healthcare,Biotechnology,mid,none,ADR-France,mid,mid,high,quiet,mid,unknown,low,blend,downtrend,neutral,mid,later,big_beat,strong_buy,theme:biotech,1,mid,below,down,mid,unknown,unknown,none,unknown
ABX,Financial,Insurance - Life,small,rut,US,low,high,low,quiet,mid,yes,mid,growth,mixed,neutral,high,past,beat,strong_buy,,0,mid,above,up,mid,cheap,fast,thin,some
ACA,Industrials,Engineering & Construction,mid,rut,US,mid,low,high,quiet,low,thin,mid,blend,uptrend,neutral,top,past,miss,hold,,0,mid,above,up,high,rich,slow,thin,some
ACAA,Financial,Shell Companies,small,none,US,unknown,low,low,quiet,low,unknown,low,unknown,uptrend,neutral,high,unknown,unknown,unknown,,0,mid,above,flat,mid,unknown,unknown,unknown,unknown
ACAD,Healthcare,Biotechnology,mid,rut,US,mid,mid,mid,normal,mid,yes,low,growth,uptrend,neutral,top,past,big_beat,strong_buy,theme:biotech,1,mid,above,up,high,unknown,slow,good,unknown
ACB,Healthcare,Drug Manufacturers - Specialty & Generic,micro,none,ADR-Canada,low,mid,low,quiet,mid,no,low,growth,uptrend,neutral,low,past,big_beat,buy,,0,overbought,above,up,low,unknown,shrink,none,unknown
ACCL,Industrials,Consulting Services,micro,none,ADR-Hong Kong,unknown,low,low,quiet,mid,yes,low,blend,uptrend,neutral,mid,unknown,unknown,unknown,,0,overbought,above,up,low,unknown,slow,good,unknown
ACCO,Industrials,Business Equipment & Supplies,small,rut,US,mid,mid,low,normal,mid,thin,high,value,uptrend,neutral,top,past,beat,strong_buy,,0,mid,below,up,high,unknown,shrink,thin,high
ACCS,Communication Services,Advertising Agencies,micro,none,US,low,low,low,quiet,high,no,low,growth,downtrend,neutral,deep_low,past,beat,strong_buy,,0,mid,above,down,mid,unknown,shrink,none,unknown
ACDC,Energy,Oil & Gas Equipment & Services,small,rut,US,high,high,low,normal,high,no,high,growth,mixed,neutral,low,past,big_miss,sell,,0,mid,above,down,low,unknown,shrink,none,unknown
