segment_id,family,value,n,pct_universe,median_perf_week,median_perf_month,pct_above_50dma,median_rsi,median_beta,median_short_float,pct_profitable,median_dollar_adv
analyst:strong_buy,analyst,strong_buy,2865,48.58,-3.045,-5.37,35.846422338568935,44.18,1.02,5.01,49.24956369982548,12072720.000000002
analyst:hold,analyst,hold,829,14.06,-1.58,-3.46,39.806996381182145,46.45,0.87,5.43,64.29433051869722,17938259.6
analyst:buy,analyst,buy,801,13.58,-1.87,-4.43,37.32833957553059,44.89,0.95,4.84,71.4107365792759,34551924.99999999
analyst:sell,analyst,sell,86,1.46,-1.97,-3.2350000000000003,34.883720930232556,43.905,1.12,6.93,50.0,7592552.25
beta:low,beta,low,2331,39.53,-1.57,-2.63,42.12784212784213,46.27,0.46,2.85,51.43715143715144,3911018.6
beta:high,beta,high,1599,27.12,-4.33,-8.88,27.64227642276423,42.63,1.79,6.03,36.27267041901188,7706007.000000001
beta:mid,beta,mid,1566,26.56,-2.6,-4.970000000000001,35.05747126436782,43.665,1.03,4.4,59.961685823754785,16928600.1
div:some,div,some,1190,20.18,-1.7349999999999999,-3.65,41.09243697478991,45.795,0.86,3.81,89.74789915966387,63186808.35000001
div:high,div,high,1121,19.01,-2.06,-4.0,29.25958965209634,40.7,0.72,2.19,60.30330062444246,7298186.4
earn:past,earn,past,4551,77.17,-2.42,-4.5649999999999995,37.31048121292024,44.7,0.97,4.97,56.36123928806855,15166098.8
earn:later,earn,later,36,0.61,-1.775,-5.845000000000001,30.555555555555557,40.94,0.86,6.035,80.55555555555556,111452375.1
earn:today,earn,today,21,0.36,-9.84,-4.28,38.095238095238095,42.87,0.875,4.45,33.33333333333333,1389292.4
earn:this_week,earn,this_week,11,0.19,-4.55,-7.55,0.0,40.62,1.33,8.8,63.63636363636363,15927535.799999999
earnsurp:big_beat,earnsurp,big_beat,1137,19.28,-2.5,-4.44,44.76693051890941,46.28,1.06,5.945,56.112576956904135,14967054.5
earnsurp:beat,earnsurp,beat,992,16.82,-2.0549999999999997,-4.44,37.903225806451616,45.114999999999995,0.96,4.535,75.70564516129032,49712172.349999994
earnsurp:inline,earnsurp,inline,927,15.72,-1.9,-4.16,33.980582524271846,44.19,0.85,4.71,72.49190938511327,40140210.0
earnsurp:big_miss,earnsurp,big_miss,801,13.58,-4.05,-6.03,30.337078651685395,42.85,1.1,6.8,27.465667915106117,5136306.3
earnsurp:miss,earnsurp,miss,370,6.27,-2.56,-4.53,34.5945945945946,43.78,0.995,5.46,50.0,14781056.3
ext:neutral,ext,neutral,5004,84.86,-1.79,-3.06,41.98641087130296,46.364999999999995,0.92,4.01,50.45963229416467,8254176.800000001
ext:washed,ext,washed,793,13.45,-6.695,-26.09,0.12610340479192939,27.86,0.95,3.495,24.84237074401009,1741527.9000000001
ext:extended,ext,extended,56,0.95,3.08,5.71,98.21428571428571,77.285,0.495,3.79,44.642857142857146,7075796.4
ext:extreme,ext,extreme,44,0.75,10.76,76.33500000000001,100.0,67.85,1.15,4.205,15.909090909090908,3591788.2
geo:US,geo,US,4584,77.73,-2.16,-4.26,37.281849912739965,44.57,0.93,4.61,47.25130890052356,8443786.5
geo:ADR-China,geo,ADR-China,239,4.05,-4.32,-11.29,19.665271966527197,41.67,0.745,1.43,32.21757322175732,795932.7999999999
geo:ADR-Canada,geo,ADR-Canada,216,3.66,-3.93,-3.04,46.75925925925926,44.59,0.95,2.96,45.83333333333333,8546883.35
geo:ADR-Israel,geo,ADR-Israel,107,1.81,-2.99,-8.59,32.71028037383177,43.03,1.14,2.475,32.71028037383177,1546721.2999999998
geo:ADR-Hong Kong,geo,ADR-Hong Kong,89,1.51,-2.93,-7.69,34.831460674157306,44.73,0.98,0.79,21.34831460674157,487993.5
geo:ADR-United Kingdom,geo,ADR-United Kingdom,88,1.49,-2.2300000000000004,-3.8449999999999998,35.22727272727273,44.795,0.8400000000000001,3.73,47.72727272727273,16352362.7
geo:ADR-Singapore,geo,ADR-Singapore,86,1.46,-0.495,-2.41,40.69767441860465,46.855000000000004,0.74,0.76,23.25581395348837,348371.19999999995
geo:ADR-Bermuda,geo,ADR-Bermuda,35,0.59,-1.31,-0.3,57.14285714285714,48.83,0.59,5.29,80.0,25531444.999999996
geo:ADR-Brazil,geo,ADR-Brazil,35,0.59,-1.41,3.86,48.57142857142857,50.89,0.635,1.005,77.14285714285715,16491594.6
geo:ADR-Switzerland,geo,ADR-Switzerland,29,0.49,-4.69,-7.79,17.24137931034483,42.06,1.17,3.535,44.827586206896555,30429564.0
geo:ADR-Ireland,geo,ADR-Ireland,27,0.46,-3.77,-7.32,18.51851851851852,42.13,0.96,3.12,66.66666666666666,138733762.5
geo:ADR-Japan,geo,ADR-Japan,27,0.46,-1.26,-5.06,40.74074074074074,43.99,0.71,0.29,62.96296296296296,3072520.0000000005
geo:ADR-Australia,geo,ADR-Australia,26,0.44,-8.55,-2.825,26.923076923076923,43.11,1.69,1.05,23.076923076923077,1345619.4000000001
geo:ADR-Greece,geo,ADR-Greece,25,0.42,-0.78,10.37,80.0,61.73,0.73,2.39,80.0,1376342.9999999998
geo:ADR-Taiwan,geo,ADR-Taiwan,23,0.39,-3.33,0.38,47.82608695652174,48.5,1.03,0.58,43.47826086956522,1555837.7999999998
geo:ADR-Cayman Islands,geo,ADR-Cayman Islands,22,0.37,-0.25,0.0,45.45454545454545,47.22,0.44,1.03,27.27272727272727,487156.1
geo:ADR-Netherlands,geo,ADR-Netherlands,19,0.32,-2.8,-6.86,31.57894736842105,41.09,0.685,2.955,63.1578947368421,72959946.3
geo:ADR-France,geo,ADR-France,18,0.31,-1.1,-3.9450000000000003,27.77777777777778,41.465,0.78,0.39,27.77777777777778,516060.0
geo:ADR-Mexico,geo,ADR-Mexico,18,0.31,-1.075,-1.7850000000000001,38.88888888888889,45.985,0.615,0.5800000000000001,66.66666666666666,6300223.200000001
geo:ADR-Malaysia,geo,ADR-Malaysia,16,0.27,0.065,-9.19,6.25,44.385,0.84,1.2349999999999999,12.5,671994.0
geo:ADR-Germany,geo,ADR-Germany,15,0.25,-3.67,-3.45,40.0,42.91,1.175,0.79,40.0,2273872.6999999997
geo:ADR-Luxembourg,geo,ADR-Luxembourg,15,0.25,-2.12,-0.35,46.666666666666664,49.19,0.69,2.43,73.33333333333333,9248093.4
geo:ADR-Argentina,geo,ADR-Argentina,14,0.24,0.585,3.505,57.14285714285714,52.785,1.0699999999999998,0.85,85.71428571428571,4981237.550000001
geo:ADR-South Korea,geo,ADR-South Korea,14,0.24,-1.27,1.665,78.57142857142857,54.475,1.03,0.27,71.42857142857143,12248870.8
geo:ADR-United Arab Emirates,geo,ADR-United Arab Emirates,11,0.19,-3.19,1.11,45.45454545454545,49.94,1.09,0.99,45.45454545454545,1688442.8000000003
geo:ADR-Chile,geo,ADR-Chile,9,0.15,-3.15,-1.68,44.44444444444444,45.16,0.565,0.17,88.88888888888889,2492343.6999999997
geo:ADR-India,geo,ADR-India,9,0.15,0.25,-2.93,22.22222222222222,44.2,0.85,0.85,77.77777777777779,33825948.300000004
geo:ADR-Sweden,geo,ADR-Sweden,9,0.15,-4.0,-5.84,33.33333333333333,41.73,1.52,2.1,44.44444444444444,1538585.0
geo:ADR-Belgium,geo,ADR-Belgium,8,0.14,-1.055,-2.52,50.0,50.495,0.69,2.41,62.5,3996039.45
geo:ADR-Italy,geo,ADR-Italy,7,0.12,-0.09,-2.23,57.14285714285714,47.6,0.845,4.705,57.14285714285714,13794691.900000002
geo:ADR-Denmark,geo,ADR-Denmark,6,0.1,-2.8,3.84,66.66666666666666,50.78,0.72,1.025,66.66666666666666,36229557.7
geo:ADR-South Africa,geo,ADR-South Africa,6,0.1,-8.355,5.46,83.33333333333334,47.75,0.58,0.8400000000000001,100.0,42232735.849999994
geo:ADR-Cyprus,geo,ADR-Cyprus,5,0.08,4.06,11.02,60.0,59.37,1.46,0.62,100.0,194400.0
geo:ADR-Spain,geo,ADR-Spain,5,0.08,-4.1,-1.02,40.0,47.26,0.74,0.835,80.0,4464587.6
geo:ADR-Colombia,geo,ADR-Colombia,4,0.07,-0.07,4.93,100.0,60.01,0.595,0.46499999999999997,100.0,21153318.1
geo:ADR-Monaco,geo,ADR-Monaco,4,0.07,-0.805,7.4350000000000005,100.0,58.56,0.75,4.635,75.0,7094360.600000001
geo:ADR-Peru,geo,ADR-Peru,4,0.07,-1.345,-0.69,50.0,48.865,0.73,1.28,100.0,25087231.6
geo:ADR-Indonesia,geo,ADR-Indonesia,3,0.05,2.41,3.88,66.66666666666666,59.12,-0.74,3.21,33.33333333333333,1657064.5
geo:ADR-Turkey,geo,ADR-Turkey,3,0.05,-1.14,-3.66,33.33333333333333,45.0,0.88,0.28,33.33333333333333,552249.9
geo:ADR-Uruguay,geo,ADR-Uruguay,3,0.05,-1.91,2.43,66.66666666666666,47.87,0.85,2.34,100.0,38983626.5
geo:ADR-Finland,geo,ADR-Finland,2,0.03,-5.425,-12.01,0.0,38.63,1.6149999999999998,3.46,100.0,503195981.6
geo:ADR-Kazakhstan,geo,ADR-Kazakhstan,2,0.03,-2.885,7.3100000000000005,100.0,51.480000000000004,0.78,2.615,100.0,37746111.2
geo:ADR-Norway,geo,ADR-Norway,2,0.03,1.4000000000000001,-0.15500000000000025,50.0,53.545,0.675,0.68,100.0,80196299.69999999
geo:ADR-Panama,geo,ADR-Panama,2,0.03,-2.775,-3.465,0.0,41.695,0.915,3.355,100.0,23751237.4
geo:ADR-Philippines,geo,ADR-Philippines,2,0.03,-2.8049999999999997,-11.07,0.0,42.769999999999996,0.66,0.99,100.0,2002280.5999999999
geo:ADR-Bahamas,geo,ADR-Bahamas,1,0.02,-1.52,-18.05,0.0,30.76,0.91,6.58,100.0,21766381.4
geo:ADR-Jordan,geo,ADR-Jordan,1,0.02,-4.81,-4.35,0.0,38.75,0.05,1.9,100.0,2308878.0
geo:ADR-Thailand,geo,ADR-Thailand,1,0.02,-17.52,-47.89,0.0,22.97,-0.02,3.29,100.0,432206.80000000005
geo:ADR-Vietnam,geo,ADR-Vietnam,1,0.02,0.97,-1.26,100.0,50.92,0.92,4.7,0.0,1223861.3
index:none,index,none,3436,58.27,-2.33,-3.85,37.514551804423746,44.385000000000005,0.85,1.88,33.23632130384168,1454630.0
index:rut,index,rut,1943,32.95,-2.4,-4.63,37.00463201235203,45.12,1.0,7.945,58.00308800823469,14397744.600000001
index:sp500,index,sp500,503,8.53,-1.31,-4.63,37.37574552683897,44.07,0.94,3.11,94.23459244532803,388528674.3
