date,ticker,FQ,ER,EP,AH,FR,DF_lag1
2026-08-13,A,0,0,0.0076949995,0,1,None
2026-08-13,AA,0,-1,0.039409994,1,1,Bearish Big Black Candle
2026-08-13,AAA,0,0,0.0010413563,0,1,Bullish Belt Hold
2026-08-13,AAAA,0,0,0.0022377585,0,0,Bearish Marubozu
2026-08-13,AAAC,0,0,0,0,0,None
2026-08-13,AAAD,0,0,0,0,0,None
2026-08-13,AAAP,0,0,0.00023650521,0,1,Bearish Marubozu
2026-08-13,AAAU,0,0,0.0031787415,0,1,Bearish Spinning Top
2026-08-13,AACB,0,0,0.00094767509,0,1,Bearish Shooting Star
2026-08-13,AACG,0,0,0.011264397,0,0,Bullish Spinning Top
2026-08-13,AACI,0,0,0,0,0,None
2026-08-13,AACO,0,0,0.00060363557,0,0,Bullish Marubozu
2026-08-13,AACP,0,0,0.0011963811,0,1,Bearish Marubozu
2026-08-13,AADR,0,0,0.0069519485,0,1,Bullish Belt Hold
2026-08-13,AADX,0,-1,0.047811274,1,0,Bearish Spinning Top
2026-08-13,AAEQ,0,0,0.00083725622,0,1,Bearish Belt Hold
2026-08-13,AAL,0,-1,0.025066557,0,1,Bearish Closing Marubozu
2026-08-13,AALG,0,-1,0.047605252,2,1,Bearish Marubozu
2026-08-13,AAME,0,-1,0.042043282,0,0,Bearish Belt Hold
2026-08-13,AAMI,0,0,0.0036165584,0,0,Bullish Doji
2026-08-13,AAOG,0,-1,0.023179203,2,1,Bearish Hanging Man
2026-08-13,AAOI,0,0,0.016403007,1,1,Bearish Hanging Man
2026-08-13,AAON,0,-1,0.044299152,2,1,None
2026-08-13,AAOX,0,-1,0.030205779,2,1,Bearish Hanging Man
2026-08-13,AAOZ,1,1,0.037812832,0,1,Bullish Inverted Hammer
2026-08-13,AAP,0,0,0.022647747,0,1,Bullish Hammer
2026-08-13,AAPB,0,0,0.019168836,0,0,None
2026-08-13,AAPD,0,0,0.0081880036,0,1,None
2026-08-13,AAPE,0,0,0.015268544,0,1,Bearish Belt Hold
2026-08-13,AAPG,0,0,0.012954031,0,0,Bullish Closing Marubozu
2026-08-13,AAPL,0,0,0.0092960348,0,1,None
2026-08-13,AAPR,0,0,0.00080763631,0,1,Bullish Belt Hold
2026-08-13,AAPU,0,0,0.019285449,0,1,None
2026-08-13,AAPW,0,0,0.0049180911,0,0,None
2026-08-13,AAPX,0,0,0.019399281,0,0,Bearish Belt Hold
2026-08-13,AAPY,0,0,0.016705506,0,1,Bearish Belt Hold
2026-08-13,AARD,0,-1,0.074192144,2,0,None
2026-08-13,AAT,0,0,0.008150869,0,0,Bullish Hammer
2026-08-13,AAUA,0,0,0,0,1,None
2026-08-13,AAUB,0,0,0.00069697065,0,0,Bullish Paper Umbrella
2026-08-13,AAUC,0,0,0.0026639238,0,0,Bearish Hanging Man
2026-08-13,AAUS,0,0,0.00055291713,0,1,Bearish Closing Marubozu
2026-08-13,AAVM,0,0,0.0017431569,0,1,None
2026-08-13,AAXJ,0,0,0.0022923592,0,0,Bearish Belt Hold
2026-08-13,AB,0,0,0.013191298,0,0,Bullish Belt Hold
2026-08-13,ABAT,0,-1,0.036738186,1,1,None
2026-08-13,ABBV,0,0,0.0099244181,0,1,None
2026-08-13,ABCB,0,0,0.0029480206,0,0,None
2026-08-13,ABCL,1,1,0.13244774,0,2,Bullish Closing Marubozu
2026-08-13,ABCS,0,0,0.0060895323,0,0,Bullish Marubozu
2026-08-13,ABEO,0,0,0.0086131706,0,1,Bullish Spinning Top
2026-08-13,ABEQ,0,0,0.00046267883,0,0,Bullish Doji
2026-08-13,ABEV,0,0,0.018602494,0,1,None
2026-08-13,ABFL,0,0,0.0047171376,0,1,Bearish Marubozu
2026-08-13,ABG,0,0,0.014328086,0,0,None
2026-08-13,ABI,0,0,0,0,0,None
2026-08-13,ABIG,0,0,0.0038898123,0,1,Bearish Marubozu
2026-08-13,ABLD,0,0,0.00092397307,0,0,Bullish Doji
2026-08-13,ABLG,0,0,0.0046949436,0,1,Bullish Doji
2026-08-13,ABLS,0,0,0.0015495144,0,1,Bullish Marubozu
2026-08-13,ABLV,0,0,0.0051948004,0,0,Bullish Doji
2026-08-13,ABM,0,0,0.0081310039,0,0,None
2026-08-13,ABNB,0,0,0.016555977,0,1,None
2026-08-13,ABOS,1,0,0.029814269,0,0,None
2026-08-13,ABOT,0,0,0.00066373448,0,1,Bullish Doji
2026-08-13,ABR,0,0,0.016809951,0,1,Bearish Closing Marubozu
2026-08-13,ABSI,1,1,0.0731427,0,1,None
2026-08-13,ABT,0,0,0.019932353,0,1,Bullish Big White Candle
2026-08-13,ABTC,0,0,0.030580608,1,1,None
2026-08-13,ABTS,1,0,0.22057143,1,1,Bullish Belt Hold
2026-08-13,ABUF,0,0,0.00057930361,0,0,None
2026-08-13,ABUS,0,0,0.0060869716,0,1,Bullish Doji
2026-08-13,ABVC,1,1,0.042020203,2,0,None
2026-08-13,ABVX,0,0,0.00935744,0,0,None
2026-08-13,ABX,0,-1,0.064118083,2,0,None
2026-08-13,ABXB,0,0,0,0,1,None
2026-08-13,ACA,0,0,0.0010056277,0,0,None
2026-08-13,ACAA,0,0,0.00080081915,0,0,None
2026-08-13,ACAD,0,0,0.0077161109,0,1,Bullish Spinning Top
2026-08-13,ACB,1,1,0.073475747,0,2,Bullish Marubozu
2026-08-13,ACCL,0,0,0.0068634306,0,0,Bearish Shooting Star
2026-08-13,ACCO,0,0,0.011902304,0,0,Bullish Hammer
2026-08-13,ACCS,0,-1,0.10772738,1,1,None
2026-08-13,ACDC,0,0,0.03137069,0,1,Bearish Shooting Star
2026-08-13,ACEI,0,0,0.0013541715,0,0,Bullish Inverted Hammer
2026-08-13,ACEL,0,0,0.012017354,0,0,Bullish Big White Candle
2026-08-13,ACEP,0,0,0,0,0,None
2026-08-13,ACES,0,0,0.016621953,0,0,Bearish Marubozu
2026-08-13,ACET,0,0,0.0068179402,1,0,None
2026-08-13,ACFN,0,0,0.015569266,0,0,None
2026-08-13,ACGC,0,0,0.00040040957,0,1,None
2026-08-13,ACGL,0,0,0.0015954847,0,1,Bullish Doji
2026-08-13,ACGO,0,0,0.00020899121,0,0,None
2026-08-13,ACGR,0,0,0.0022139339,0,1,None
2026-08-13,ACH,0,0,0.049298725,3,2,Bearish Shooting Star
2026-08-13,ACHC,0,0,0.022185353,0,1,None
