t_date,t1_date,n_extremes,n_etf,n_liquid_gainer,n_book_present,n_book_buy_eligible,n_green_eligible,n_in_panel,n_yday_gainer,n_chosen_1d,n_chosen_3d,n_chosen_flatten,n_chosen_any,green_pile_used,hard_red,flatten_ok,flatten_s,n_1d_buy,n_3d_buy,n_flatten_would,extreme_h,extreme_h_after_fee,liq_extreme_h_after_fee,current_3d_h_after_fee,force_include_h_after_fee,current_n_graded,force_n_graded
2026-08-13,2026-08-14,20,7,3,20,3,0,2,2,0,0,0,0,false,false,false,5.5,25,25,9,-2.612,-2.762,2.17,1.146,-0.729,16,29
2026-08-14,2026-08-17,18,6,3,3,2,0,3,3,0,0,0,0,false,false,false,2.25,25,25,9,7.167,7.017,1.697,-1.117,1.549,25,37
2026-08-17,2026-08-18,21,11,1,1,0,0,1,1,0,0,0,0,false,true,false,-6.2,25,25,9,0.873,0.723,1.47,-0.14,2.055,25,35
2026-08-18,2026-08-19,12,2,1,1,1,0,1,1,0,0,0,0,false,true,false,-7.2,25,25,9,-7.31,-7.46,0.06,0.652,-1.494,25,35
2026-08-19,2026-08-20,13,2,2,2,2,0,1,1,0,0,0,0,false,false,true,1.125,15,15,10,-6.808,-6.958,-1.2,0.727,-2.162,15,26
2026-08-20,2026-08-21,24,12,3,4,2,1,3,2,0,0,1,1,false,false,true,3.25,25,25,10,2.153,2.003,11.617,1.338,0.389,25,37
2026-08-21,2026-08-24,49,36,6,0,0,0,4,4,0,0,0,0,false,true,false,-5.175,0,0,6,-0.761,-0.911,-3.18,,-0.347,0,13
2026-08-24,2026-08-25,31,15,3,0,0,0,2,2,0,0,0,0,false,false,false,1.8,0,0,6,-2.733,-2.883,-2.747,,-3.347,0,16
2026-08-25,2026-08-26,8,0,1,0,0,0,1,0,0,0,0,0,false,false,false,2.025,0,0,6,,,,,,0,0
2026-08-26,2026-08-27,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,,25,25,4,,,,-0.497,-0.497,25,25
2026-08-27,2026-08-28,8,0,1,0,0,0,1,1,0,0,0,0,false,false,false,0.75,0,0,4,-2.053,-2.203,0.58,,-2.203,0,8
2026-08-28,2026-08-31,11,4,3,3,0,0,3,3,0,0,0,0,true,true,false,-5.85,10,6,4,-1.212,-1.362,2.713,-0.297,-1.28,6,13
2026-08-31,2026-09-01,2,0,0,0,0,0,0,0,0,0,0,0,true,true,false,-6.3,10,4,9,-6.335,-6.485,,0.33,-1.942,4,6
2026-09-01,2026-09-02,2,0,1,1,0,0,1,1,0,0,0,0,true,true,false,-3.825,10,15,7,8.955,8.805,-9.04,2.244,3.016,15,17
2026-09-02,2026-09-03,6,0,1,1,0,0,1,1,0,0,0,0,true,false,false,-0.9,8,20,5,7.717,7.567,38.37,2.628,3.768,20,26
2026-09-03,2026-09-04,5,0,2,2,0,0,1,1,0,0,0,0,true,false,false,,16,16,6,-10.988,-11.138,-14.08,0.478,-2.288,16,21
2026-09-04,2026-09-08,10,0,3,3,0,0,3,2,0,0,0,0,false,false,false,,1,14,4,-0.52,-0.67,-2.727,0.026,-0.264,14,24
2026-09-08,2026-09-09,3,1,0,0,0,0,0,0,0,0,0,0,false,true,false,-13.95,9,23,6,-5.71,-5.86,,-1.336,-1.813,23,25
2026-09-09,2026-09-10,9,1,3,2,0,0,3,2,0,0,0,0,false,true,false,-13.28,1,16,4,1.673,1.523,13.383,-0.354,0.516,16,24
2026-09-10,2026-09-11,5,0,2,2,0,0,1,1,0,0,0,0,false,false,false,0.5,2,25,6,1.57,1.42,2.79,-0.006,0.231,25,30
