ticker,split,buy_date,buy_price,sell_date,sell_price,gross_ret,net_ret,exit_reason,entry_colors,exit_colors
AAPL,discovery,2026-01-09,258.889,2026-02-06,279.6001,0.08,0.079,tp8,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white,deep green|green|white|white|red|deep green|deep green|light green|purple|green|deep green|light green|white|white|light green
AAPL,discovery,2026-02-25,273.9776,2026-03-03,263.5072,-0.03822,-0.03922,flip_no_tp,deep green|green|white|purple|white|light green|deep green|light green|purple|green|white|white|white|white|pink,red|white|orange|purple|white|red|white|light green|purple|red|white|white|green|white|pink
AAPL,discovery,2026-04-02,255.6844,2026-05-01,276.1392,0.08,0.079,tp8,light green|green|orange|purple|white|white|orange|light green|purple|green|white|white|white|white|pink,deep green|green|white|white|white|deep green|deep green|light green|light green|green|green|white|white|white|pink
AAPL,discovery,2026-07-06,312.66,2026-07-24,333.02,0.06512,0.06412,flip_no_tp,light green|green|orange|purple|white|deep green|orange|light green|purple|red|white|white|white|deep green|pink,light green|white|white|purple|white|light green|orange|light green|light green|red|white|white|white|deep green|pink
AAT,discovery,2026-01-09,18.2481,2026-03-13,18.5062,0.01414,0.01314,flip_no_tp,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white,light green|white|orange|purple|white|white|white|red|purple|red|white|white|white|white|pink
AAT,discovery,2026-04-09,18.9693,2026-04-17,20.4869,0.08,0.079,tp8,deep green|green|orange|purple|white|deep green|orange|light green|purple|red|white|white|white|white|pink,deep green|green|white|white|white|deep green|deep green|light green|purple|green|deep green|deep green|green|white|light green
AAT,discovery,2026-05-20,21.4427,2026-05-29,23.1582,0.08,0.079,tp8,light green|green|orange|purple|white|deep green|white|light green|purple|red|white|white|white|white|pink,deep green|white|white|white|white|deep green|deep green|light green|purple|blue|deep green|deep green|white|deep green|light green
AAT,discovery,2026-06-22,24.24,2026-07-09,25.07,0.03424,0.03324,flip_no_tp,light green|white|white|white|white|light green|orange|light green|purple|red|white|pink|green|deep green|pink,light green|white|orange|purple|white|light green|orange|red|purple|red|white|white|white|deep green|pink
AAT,discovery,2026-07-16,25.85,2026-07-22,24.27,-0.06112,-0.06212,flip_no_tp,deep green|green|white|blue|white|deep green|orange|light green|purple|red|white|white|white|deep green|pink,light green|white|white|white|white|deep red|orange|pink|pink|red|white|white|green|deep green|pink
ABBV,discovery,2026-01-14,216.765,2026-03-16,218.0757,0.00605,0.00505,flip_no_tp,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white,red|red|orange|purple|red|red|orange|light green|purple|red|white|white|orange|white|pink
ABBV,discovery,2026-05-04,206.6888,2026-06-04,223.2239,0.08,0.079,tp8,light green|white|white|purple|red|white|deep green|light green|purple|green|white|light green|white|white|light green,deep green|green|white|white|white|deep green|deep green|light green|light green|green|deep green|deep green|green|deep green|pink
ABCB,discovery,2026-01-06,75.8326,2026-01-21,81.8992,0.08,0.079,tp8,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white,light green|white|orange|white|white|white|white|light green|light green|red|white|white|white|light green|pink
ABCB,discovery,2026-01-30,80.2313,2026-02-10,86.6498,0.08,0.079,tp8,light green|white|orange|white|white|white|white|light green|purple|green|white|white|white|white|pink,deep green|green|white|white|white|deep green|deep green|pink|purple|green|deep green|deep green|white|light green|white
