ticker,split,buy_date,buy_price,sell_date,sell_price,gross_ret,net_ret,exit_reason,entry_colors,exit_colors
AAL,holdout,2026-01-07,15.99,2026-01-09,15.99,0.0,-0.001,hold2,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white,white|white|white|white|white|white|white|red|purple|white|white|white|white|white|white
AAL,holdout,2026-02-02,13.69,2026-02-04,14.43,0.05405,0.05305,hold2,light green|green|white|white|white|red|white|light green|purple|red|green|light green|white|white|pink,light green|green|orange|purple|white|red|white|light green|purple|red|white|white|green|white|pink
AAL,holdout,2026-02-11,14.35,2026-02-13,13.88,-0.03275,-0.03375,hold2,deep green|white|white|purple|white|white|deep green|pink|pink|green|white|white|white|light green|light green,red|red|orange|purple|red|red|white|red|purple|red|white|light green|white|white|pink
AAL,holdout,2026-04-07,10.81,2026-04-09,11.37,0.0518,0.0508,hold2,deep green|green|white|white|white|white|deep green|red|purple|green|deep green|light green|white|white|pink,light green|red|white|purple|red|deep green|deep green|light green|purple|red|white|white|orange|white|light green
AAL,holdout,2026-05-22,13.85,2026-05-27,14.92,0.07726,0.07626,hold2,deep green|green|white|white|white|deep green|deep green|light green|purple|green|deep green|deep green|white|white|light green,deep green|green|white|blue|white|deep green|deep green|red|purple|green|deep green|deep green|white|white|light green
AAMI,discovery,2026-01-07,48.3114,2026-01-09,51.2019,0.05983,0.05883,hold2,white|white|white|white|white|white|white|red|purple|white|white|white|white|white|white,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white
AAMI,discovery,2026-02-27,53.6837,2026-03-03,53.604,-0.00149,-0.00249,hold2,deep green|white|white|white|red|white|deep green|red|pink|green|green|white|white|white|light green,light green|green|white|white|white|white|white|light green|purple|red|green|white|green|white|light green
AAMI,discovery,2026-03-26,54.3699,2026-03-30,52.2127,-0.03968,-0.04068,hold2,deep green|green|white|white|white|light green|deep green|light green|purple|green|deep green|white|green|white|pink,light green|white|white|white|red|white|deep green|red|purple|red|green|white|orange|white|light green
AAMI,discovery,2026-07-08,77.39,2026-07-10,81.66,0.05518,0.05418,hold2,deep green|green|white|white|white|light green|deep green|red|purple|green|deep green|deep green|white|deep green|light green,deep green|green|white|white|white|light green|deep green|light green|purple|blue|white|deep green|white|deep green|pink
AAP,discovery,2026-01-08,41.753,2026-01-12,42.6053,0.02041,0.01941,hold2,white|white|white|white|white|white|white|light green|purple|white|white|white|white|light green|white,white|white|white|white|white|white|white|red|purple|white|white|white|white|white|white
AAP,discovery,2026-01-16,42.8135,2026-01-21,45.1226,0.05394,0.05294,hold2,light green|white|white|white|white|white|white|light green|purple|green|white|white|green|white|pink,light green|red|orange|white|white|white|white|green|light green|red|white|white|white|pink|pink
AAP,discovery,2026-02-04,54.0322,2026-02-06,54.8052,0.01431,0.01331,hold2,deep green|green|white|white|white|deep green|deep green|green|light green|green|deep green|deep green|green|light green|light green,deep green|white|white|white|white|deep green|deep green|green|light green|blue|deep green|light green|white|pink|light green
AAP,discovery,2026-02-23,54.8746,2026-02-25,49.9887,-0.08904,-0.09004,hold2,light green|red|white|white|white|light green|deep green|light green|purple|blue|white|white|white|white|pink,light green|white|white|white|red|red|white|pink|pink|red|white|white|white|pink|pink
AAP,discovery,2026-04-02,51.3662,2026-04-07,52.1987,0.01621,0.01521,hold2,deep green|green|white|white|white|white|deep green|pink|pink|green|green|white|white|light green|pink,light green|white|orange|purple|white|light green|white|light green|purple|red|white|white|white|white|white
AAP,discovery,2026-05-26,54.8794,2026-05-28,59.5879,0.0858,0.0848,hold2,deep green|white|white|white|white|white|deep green|red|pink|green|deep green|light green|white|white|light green,deep green|green|white|white|white|light green|deep green|light green|purple|green|deep green|deep green|white|deep green|light green
AAP,discovery,2026-06-29,61.3499,2026-07-01,62.7335,0.02255,0.02155,hold2,deep green|green|white|purple|white|deep green|deep green|light green|purple|green|green|deep green|white|deep green|light green,deep green|green|white|blue|white|light green|deep green|red|purple|green|deep green|light green|white|deep green|light green
AAPG,discovery,2026-01-07,28.22,2026-01-09,28.78,0.01984,0.01884,hold2,white|white|white|white|white|white|white|light green|light green|white|white|white|white|white|white,white|white|white|white|white|white|white|light green|light green|white|white|white|white|white|white
AAPG,discovery,2026-01-16,27.05,2026-01-21,26.39,-0.0244,-0.0254,hold2,light green|white|white|white|white|white|white|light green|purple|red|white|white|white|white|pink,light green|white|orange|white|white|white|white|light green|purple|green|white|white|white|white|pink
AAPG,discovery,2026-03-12,24.0,2026-03-16,24.51,0.02125,0.02025,hold2,light green|green|orange|purple|white|light green|white|light green|purple|red|white|white|white|white|pink,light green|red|orange|purple|white|light green|white|light green|purple|green|white|white|white|white|pink
AAPG,discovery,2026-04-02,27.32,2026-04-07,27.33,0.00037,-0.00063,hold2,deep green|green|white|purple|white|deep green|deep green|light green|light green|green|white|white|white|light green|pink,deep green|green|white|purple|white|light green|deep green|light green|purple|green|white|deep green|white|white|white
AAPG,discovery,2026-04-20,26.36,2026-04-22,25.13,-0.04666,-0.04766,hold2,deep green|green|white|purple|white|light green|white|red|pink|red|white|white|white|white|pink,red|red|orange|purple|red|white|white|red|purple|red|white|white|orange|white|pink
AAPG,discovery,2026-07-02,18.5,2026-07-07,18.68,0.00973,0.00873,hold2,deep green|green|white|purple|white|deep green|orange|light green|light green|red|white|deep green|white|deep green|pink,deep green|green|white|purple|white|deep green|deep green|light green|pink|green|white|deep green|white|deep green|pink
AAT,discovery,2026-01-12,18.3934,2026-01-14,17.9188,-0.0258,-0.0268,hold2,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white,white|white|white|white|white|white|white|red|purple|white|white|white|white|white|white
AAT,discovery,2026-01-20,17.4926,2026-01-22,17.5411,0.00277,0.00177,hold2,light green|white|white|white|white|white|white|light green|purple|red|white|white|orange|white|light green,light green|green|orange|white|white|white|white|red|purple|green|white|light green|green|white|light green
AAT,discovery,2026-01-29,17.4442,2026-02-02,17.4636,0.00111,0.00011,hold2,light green|white|orange|white|white|white|white|light green|purple|red|white|white|white|white|pink,light green|white|orange|white|white|red|white|light green|purple|green|white|white|white|white|pink
AAT,discovery,2026-02-19,18.2772,2026-02-23,18.8002,0.02862,0.02762,hold2,deep green|green|white|white|white|light green|white|light green|purple|red|green|white|green|white|pink,deep green|green|white|white|white|deep green|deep green|red|purple|green|green|deep green|white|white|light green
AAT,discovery,2026-04-10,19.1369,2026-04-14,19.8562,0.03759,0.03659,hold2,light green|white|orange|purple|white|deep green|white|light green|purple|red|white|white|white|white|white,deep green|white|white|white|white|deep green|deep green|light green|purple|green|deep green|light green|white|white|light green
AAT,discovery,2026-04-28,21.2555,2026-04-30,20.4376,-0.03848,-0.03948,hold2,deep green|green|white|blue|white|light green|white|light green|purple|green|green|white|white|white|pink,light green|white|orange|purple|red|light green|white|light green|purple|red|white|white|white|white|pink
AAT,discovery,2026-05-21,21.8271,2026-05-26,22.0636,0.01084,0.00984,hold2,deep green|green|white|blue|white|deep green|deep green|light green|purple|green|green|deep green|white|white|light green,deep green|green|white|white|white|deep green|deep green|red|purple|green|deep green|deep green|white|white|light green
AAT,discovery,2026-06-23,24.35,2026-06-25,24.57,0.00903,0.00803,hold2,light green|white|white|white|white|light green|orange|light green|purple|green|green|white|white|deep green|pink,deep green|green|orange|purple|red|light green|orange|light green|purple|red|white|white|white|white|pink
AAT,discovery,2026-07-17,25.51,2026-07-21,25.29,-0.00862,-0.00962,hold2,deep green|green|white|white|white|deep green|deep green|red|purple|green|green|white|white|deep green|light green,light green|white|white|white|red|light green|orange|light green|purple|red|white|light green|white|white|pink
AAUC,holdout,2026-01-08,24.84,2026-01-12,26.21,0.05515,0.05415,hold2,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white,white|white|white|white|white|white|white|light green|light green|white|white|white|white|white|white
AAUC,holdout,2026-02-27,31.64,2026-03-03,31.4,-0.00759,-0.00859,hold2,light green|green|orange|purple|red|light green|white|red|purple|red|white|white|white|white|pink,light green|white|orange|purple|white|deep red|white|light green|purple|green|white|white|white|white|pink
AAUC,holdout,2026-03-11,31.65,2026-03-13,31.08,-0.01801,-0.01901,hold2,deep green|green|white|purple|white|deep green|deep green|light green|purple|blue|white|deep green|green|white|light green,deep green|white|white|white|white|deep red|white|red|purple|green|green|light green|white|white|pink
AAUC,holdout,2026-04-06,31.2,2026-04-08,31.62,0.01346,0.01246,hold2,light green|white|orange|purple|white|white|orange|red|purple|red|white|white|green|white|pink,deep green|green|white|white|white|light green|orange|light green|purple|blue|white|white|white|white|pink
ABCB,discovery,2026-01-07,76.4994,2026-01-09,78.7485,0.0294,0.0284,hold2,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white
ABCB,discovery,2026-02-02,79.5048,2026-02-04,83.7443,0.05332,0.05232,hold2,light green|red|orange|white|white|light green|white|red|purple|green|white|white|white|white|pink,light green|red|orange|purple|white|deep green|white|light green|purple|red|white|pink|green|white|pink
ABCB,discovery,2026-04-02,78.2265,2026-04-07,79.4138,0.01518,0.01418,hold2,deep green|green|white|white|white|light green|deep green|light green|purple|green|green|white|white|white|light green,deep green|green|white|white|white|deep green|white|light green|purple|green|deep green|white|white|white|white
ABCB,discovery,2026-04-28,85.4704,2026-04-30,85.0613,-0.00479,-0.00579,hold2,deep green|green|orange|purple|white|light green|white|red|purple|red|white|white|white|white|pink,light green|white|orange|purple|red|light green|white|light green|purple|red|white|white|white|white|pink
ABCB,discovery,2026-05-05,86.3884,2026-05-07,86.1389,-0.00289,-0.00389,hold2,deep green|green|white|white|white|deep green|white|light green|purple|green|green|white|white|white|pink,deep green|green|white|white|white|deep green|deep green|red|purple|green|deep green|deep green|white|white|light green
ABCB,discovery,2026-05-26,85.5203,2026-05-28,84.4227,-0.01283,-0.01383,hold2,light green|green|orange|purple|white|white|white|light green|purple|red|white|white|white|white|pink,light green|white|orange|purple|red|white|white|red|purple|red|white|white|white|white|pink
ABCB,discovery,2026-06-09,85.9094,2026-06-11,86.7575,0.00987,0.00887,hold2,deep green|green|orange|purple|red|deep green|white|light green|purple|red|white|white|white|white|light green,deep green|green|orange|purple|red|deep green|orange|red|purple|red|white|white|white|white|white
ABCB,discovery,2026-07-14,90.11,2026-07-16,93.17,0.03396,0.03296,hold2,light green|white|orange|purple|red|light green|orange|light green|purple|red|white|white|white|white|pink,deep green|green|white|blue|white|deep green|orange|light green|purple|green|green|white|white|deep green|pink
ABM,discovery,2026-01-07,42.5238,2026-01-09,43.7776,0.02949,0.02849,hold2,white|white|white|white|white|white|white|red|purple|white|white|white|white|white|white,white|white|white|white|white|white|white|light green|purple|white|white|white|white|white|white
ABM,discovery,2026-02-02,45.7229,2026-02-04,45.9694,0.00539,0.00439,hold2,light green|green|orange|white|white|light green|white|light green|purple|green|white|white|white|white|pink,light green|white|orange|purple|white|light green|white|light green|purple|red|white|white|white|white|pink
ABM,discovery,2026-04-06,38.3189,2026-04-08,38.7957,0.01244,0.01144,hold2,light green|white|orange|purple|white|white|orange|red|purple|green|white|white|green|white|pink,red|red|orange|purple|red|deep green|orange|red|purple|red|white|white|white|white|pink
ABM,discovery,2026-04-13,39.2627,2026-04-15,39.4713,0.00531,0.00431,hold2,deep green|green|white|white|red|light green|deep green|light green|purple|green|deep green|light green|white|white|light green,deep green|green|white|white|white|light green|deep green|light green|purple|green|deep green|light green|white|white|white
ABM,discovery,2026-06-09,43.9321,2026-06-11,45.8595,0.04387,0.04287,hold2,deep green|green|white|white|white|deep green|deep green|light green|light green|green|green|deep green|green|deep green|white,deep green|green|white|white|white|deep green|deep green|light green|purple|green|deep green|deep green|white|deep green|light green
ABM,discovery,2026-06-23,43.6241,2026-06-25,44.5381,0.02095,0.01995,hold2,light green|green|orange|purple|red|light green|orange|red|purple|red|white|white|white|white|pink,light green|green|white|white|white|light green|orange|light green|purple|red|white|white|white|deep green|pink
ABM,discovery,2026-07-07,45.17,2026-07-09,44.43,-0.01638,-0.01738,hold2,light green|green|orange|purple|white|light green|orange|light green|purple|red|white|white|white|deep green|pink,light green|white|orange|purple|white|white|orange|light green|purple|red|white|white|white|deep green|pink
ABR,discovery,2026-01-16,7.7486,2026-01-21,7.5519,-0.02539,-0.02639,hold2,light green|green|white|white|white|white|white|light green|purple|green|white|light green|green|white|light green,light green|white|orange|white|white|white|white|red|purple|red|white|light green|white|white|pink
ABR,discovery,2026-03-03,7.8517,2026-03-05,8.0485,0.02506,0.02406,hold2,deep green|green|white|purple|white|deep green|deep green|red|purple|green|green|deep green|green|white|light green,deep green|green|white|white|white|deep green|deep green|red|purple|green|deep green|deep green|green|white|light green
