ticker,split,buy_date,buy_price,sell_date,sell_price,gross_ret,net_ret,exit_reason,entry_colors,exit_colors
ABSI,discovery,2026-01-22,3.16,2026-01-26,2.89,-0.08544,-0.08644,flip_before_hold,light green|green|orange|white|white|white|white|light green|light green|red|white|white|green|light green|pink,red|red|orange|white|white|white|white|red|purple|red|white|white|orange|white|pink
ABSI,discovery,2026-01-29,3.03,2026-02-04,2.91,-0.0396,-0.0406,flip_before_hold,light green|white|orange|white|white|white|white|light green|light green|green|white|light green|orange|pink|light green,light green|green|orange|purple|white|red|white|pink|pink|red|white|light green|green|light green|pink
ABSI,discovery,2026-03-18,2.86,2026-03-30,2.76,-0.03497,-0.03597,hold8,deep green|green|white|purple|white|deep green|deep green|red|pink|blue|green|deep green|green|white|light green,light green|red|white|white|red|light green|deep green|light green|purple|red|green|light green|white|white|pink
ABSI,discovery,2026-04-13,3.05,2026-04-23,3.97,0.30164,0.30064,hold8,light green|white|white|white|white|white|deep green|light green|purple|blue|white|white|white|light green|pink,light green|red|white|white|red|deep green|deep green|green|light green|red|green|light green|orange|white|light green
ABSI,discovery,2026-05-22,5.1,2026-06-02,6.35,0.2451,0.2441,flip_before_hold,deep green|green|white|white|white|red|deep green|red|purple|green|deep green|deep green|white|white|light green,red|red|white|white|red|light green|deep green|red|purple|blue|green|light green|orange|white|light green
ABSI,discovery,2026-06-09,6.83,2026-06-22,8.4,0.22987,0.22887,hold8,deep green|green|white|white|red|light green|deep green|light green|light green|red|green|light green|white|white|white,light green|white|white|white|red|deep green|deep green|green|light green|red|green|white|white|white|pink
ACHR,holdout,2026-01-20,8.65,2026-01-22,9.01,0.04162,0.04062,flip_before_hold,light green|green|white|white|white|white|white|light green|purple|green|white|light green|white|white|light green,light green|red|orange|white|white|white|white|light green|light green|red|white|white|white|pink|pink
ACHR,holdout,2026-02-25,7.1,2026-02-27,7.12,0.00282,0.00182,flip_before_hold,light green|green|orange|purple|white|light green|white|red|purple|green|white|white|white|white|white,deep green|white|white|purple|white|white|white|red|pink|blue|white|light green|green|white|pink
ACHR,holdout,2026-04-15,6.06,2026-04-17,6.11,0.00825,0.00725,flip_before_hold,deep green|green|white|white|white|light green|deep green|green|light green|green|deep green|white|white|white|white,red|red|white|white|red|deep green|deep green|red|purple|blue|green|light green|white|white|light green
ACHR,holdout,2026-04-20,6.11,2026-04-22,6.06,-0.00818,-0.00918,flip_before_hold,deep green|green|white|white|white|light green|deep green|light green|purple|blue|green|light green|white|white|white,light green|red|white|white|red|deep green|deep green|red|purple|red|white|light green|orange|white|pink
ACHR,holdout,2026-04-29,5.6,2026-05-11,6.54,0.16786,0.16686,hold8,deep green|green|white|white|red|white|deep green|red|pink|green|deep green|light green|white|white|light green,deep green|white|white|blue|white|deep green|deep green|light green|purple|blue|deep green|deep green|white|white|light green
ACHR,holdout,2026-05-19,5.91,2026-06-01,6.84,0.15736,0.15636,hold8,deep green|white|white|white|red|white|deep green|light green|purple|blue|white|light green|white|white|pink,deep green|red|white|white|white|light green|deep green|light green|purple|blue|green|deep green|white|deep green|white
ACHR,holdout,2026-07-22,5.18,2026-07-24,4.77,-0.07915,-0.08015,flip_before_hold,deep green|green|white|purple|white|deep green|deep green|red|purple|green|white|white|white|deep green|white,deep green|white|white|white|white|white|deep green|pink|pink|green|deep green|deep green|white|deep green|pink
ACVA,discovery,2026-01-15,8.98,2026-01-20,8.47,-0.05679,-0.05779,flip_before_hold,light green|white|white|white|white|white|white|light green|purple|green|white|light green|white|white|pink,light green|white|white|white|white|white|white|red|pink|green|white|white|white|white|pink
