ticker,split,buy_date,buy_price,sell_date,sell_price,gross_ret,net_ret,exit_reason,entry_colors,exit_colors
ABSI,discovery,2026-01-20,2.9,2026-01-22,3.16,0.08966,0.08866,hold2,light green|white|white|white|white|white|white|red|pink|red|white|light green|white|white|pink,light green|green|orange|white|white|white|white|light green|light green|red|white|white|green|light green|pink
ABSI,discovery,2026-02-26,2.81,2026-03-02,2.8,-0.00356,-0.00456,hold2,light green|green|orange|purple|white|white|white|light green|purple|red|white|white|white|white|pink,light green|green|white|white|white|white|white|green|purple|red|green|light green|green|light green|pink
ABSI,discovery,2026-03-20,2.96,2026-03-24,3.01,0.01689,0.01589,hold2,deep green|green|white|blue|white|deep green|deep green|purple|pink|green|deep green|deep green|white|white|light green,light green|red|white|white|red|light green|deep green|light green|purple|blue|white|light green|white|pink|light green
ABSI,discovery,2026-05-26,5.28,2026-05-28,6.08,0.15152,0.15052,hold2,light green|green|orange|purple|white|white|light green|light green|light green|red|deep green|light green|white|white|pink,light green|red|white|purple|white|deep green|white|green|light green|blue|white|white|white|deep green|pink
ABSI,discovery,2026-06-08,6.55,2026-06-10,6.38,-0.02595,-0.02695,hold2,red|red|white|white|red|light green|deep green|red|purple|green|deep green|white|orange|white|light green,light green|red|white|white|white|light green|deep green|pink|pink|blue|green|light green|white|deep green|white
ACHR,holdout,2026-01-20,8.65,2026-01-22,9.01,0.04162,0.04062,hold2,light green|green|white|white|white|white|white|light green|purple|green|white|light green|white|white|light green,light green|red|orange|white|white|white|white|light green|light green|red|white|white|white|pink|pink
ACHR,holdout,2026-02-11,6.97,2026-02-13,6.77,-0.02869,-0.02969,hold2,light green|green|orange|purple|white|red|white|red|purple|green|white|light green|white|white|pink,red|red|orange|purple|red|red|orange|red|purple|red|white|white|white|white|pink
ACHR,holdout,2026-02-23,6.96,2026-02-25,7.1,0.02011,0.01911,hold2,light green|green|orange|purple|red|red|white|light green|purple|red|white|white|white|pink|pink,light green|green|orange|purple|white|light green|white|red|purple|green|white|white|white|white|white
ACHR,holdout,2026-04-16,6.08,2026-04-20,6.11,0.00493,0.00393,hold2,deep green|green|white|white|white|deep green|deep green|pink|purple|green|deep green|deep green|white|white|light green,deep green|green|white|white|white|light green|deep green|light green|purple|blue|green|light green|white|white|white
ACHR,holdout,2026-07-23,5.11,2026-07-24,4.77,-0.06654,-0.06754,flip_before_hold,deep green|red|white|purple|white|light green|deep green|light green|purple|blue|white|light green|white|deep green|white,deep green|white|white|white|white|white|deep green|pink|pink|green|deep green|deep green|white|deep green|pink
ACMR,holdout,2026-01-20,51.16,2026-01-22,51.67,0.00997,0.00897,hold2,light green|green|white|white|white|white|white|red|pink|red|white|light green|white|white|pink,light green|white|orange|white|white|white|white|pink|pink|red|white|white|green|light green|pink
