ticker,split,buy_date,buy_price,sell_date,sell_price,gross_ret,net_ret,exit_reason,entry_colors,exit_colors
AAOI,discovery,2026-01-23,35.72,2026-01-26,34.89,0.02324,0.02224,hold1,red|white|orange|white|white|white|white|pink|pink|red|white|white|orange|white|white,red|red|orange|white|white|white|white|red|purple|red|white|white|orange|white|pink
AAOI,discovery,2026-03-16,94.07,2026-03-17,86.33,0.08228,0.08128,hold1,red|red|white|white|red|light green|white|pink|purple|red|white|light green|orange|pink|pink,red|red|white|purple|red|light green|white|pink|pink|red|white|white|white|pink|light green
AAOI,discovery,2026-03-30,85.19,2026-03-31,84.59,0.00704,0.00604,hold1,red|red|orange|purple|red|red|white|pink|pink|red|white|light green|white|pink|pink,red|red|orange|purple|red|red|white|red|purple|red|white|white|orange|white|pink
AAOI,discovery,2026-06-17,167.34,2026-06-18,161.85,0.03281,0.03181,hold1,red|red|white|white|red|red|deep green|pink|purple|red|white|white|orange|white|light green,red|red|orange|purple|red|red|white|pink|pink|green|white|white|orange|white|pink
AAOI,discovery,2026-06-24,146.97,2026-06-25,138.54,0.05736,0.05636,hold1,red|red|orange|purple|red|deep red|white|red|purple|red|white|white|orange|white|light green,red|red|orange|purple|red|deep red|orange|pink|pink|red|white|white|white|white|pink
AAOI,discovery,2026-07-02,120.95,2026-07-06,123.36,-0.01993,-0.02093,hold1,red|red|orange|purple|red|deep red|white|pink|pink|red|white|light green|orange|white|pink,red|red|orange|purple|red|deep red|orange|light green|purple|red|white|pink|orange|white|pink
AAOI,discovery,2026-07-16,100.24,2026-07-17,102.41,-0.02165,-0.02265,hold1,red|red|orange|purple|red|red|orange|pink|pink|red|white|deep green|orange|white|pink,red|red|orange|purple|purple|deep red|orange|green|purple|red|white|pink|orange|white|pink
AARD,discovery,2026-02-04,12.56,2026-02-05,11.29,0.10111,0.09811,hold1,red|red|orange|purple|red|deep red|white|pink|purple|red|white|white|white|pink|pink,red|red|orange|purple|red|deep red|white|pink|pink|red|white|white|orange|pink|pink
AARD,discovery,2026-02-11,12.67,2026-02-12,12.28,0.03078,0.02778,hold1,red|red|orange|purple|red|red|orange|red|purple|red|white|white|orange|white|pink,red|red|orange|purple|white|red|white|red|pink|red|white|white|white|white|pink
AARD,discovery,2026-02-20,12.32,2026-02-23,12.58,-0.0211,-0.0241,hold1,red|red|orange|purple|red|red|orange|light green|purple|red|white|white|white|white|pink,red|red|orange|purple|white|red|orange|light green|purple|red|white|white|white|white|pink
AARD,discovery,2026-03-03,4.9,2026-03-04,5.64,-0.15102,-0.15402,hold1,red|red|orange|purple|red|deep red|orange|pink|pink|red|white|pink|white|pink|pink,red|red|orange|purple|red|deep red|orange|green|light green|red|white|pink|white|pink|pink
AARD,discovery,2026-03-11,5.2,2026-03-12,5.26,-0.01154,-0.01454,hold1,red|white|orange|purple|red|red|white|pink|pink|red|white|light green|white|pink|pink,red|red|orange|purple|red|red|orange|light green|purple|red|white|white|orange|white|pink
AARD,discovery,2026-04-07,4.04,2026-04-08,3.93,0.02723,0.02423,hold1,red|red|orange|purple|red|red|white|red|purple|red|white|light green|orange|white|pink,red|red|orange|purple|red|red|white|pink|purple|red|white|light green|white|pink|pink
AARD,discovery,2026-05-27,3.99,2026-05-28,4.2,-0.05263,-0.05563,hold1,red|red|orange|purple|red|red|white|pink|pink|red|white|light green|orange|white|pink,red|red|orange|purple|red|red|white|green|light green|red|white|light green|orange|white|pink
AARD,discovery,2026-06-03,3.81,2026-06-04,3.94,-0.03412,-0.03712,hold1,red|red|orange|purple|purple|red|white|pink|pink|green|white|light green|white|white|pink,red|red|orange|purple|red|red|orange|light green|light green|red|white|pink|white|white|pink
ABAT,discovery,2026-01-30,4.04,2026-02-02,3.9,0.03465,0.03365,hold1,red|red|orange|white|white|white|white|pink|pink|red|white|light green|orange|pink|white,light green|red|orange|white|white|white|white|pink|pink|red|white|white|orange|pink|pink
ABAT,discovery,2026-02-12,3.78,2026-02-13,3.8,-0.00529,-0.00629,hold1,red|red|white|purple|white|red|deep green|pink|pink|red|white|light green|white|light green|pink,red|red|orange|purple|red|red|orange|light green|purple|red|white|white|orange|white|pink
ABAT,discovery,2026-03-04,3.51,2026-03-05,3.4,0.03134,0.03034,hold1,red|white|orange|purple|red|red|white|red|purple|red|white|white|white|white|pink,red|red|orange|purple|white|deep red|white|red|pink|red|white|white|white|white|pink
ABAT,discovery,2026-03-16,3.26,2026-03-17,3.27,-0.00307,-0.00407,hold1,red|red|orange|purple|red|deep red|orange|purple|purple|red|white|white|white|white|pink,red|red|orange|purple|red|deep red|orange|light green|purple|red|white|white|white|white|pink
