recipe,recipe_created_date,start_date,D,net_ret_futubull,net_ret_15bp,day_status,designed_after,n_picks,picks
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-13,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-14,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-17,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-18,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-19,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-20,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-21,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-24,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-25,0.0000,0.0000,sat,true,0,
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-26,-0.0997,-0.0741,picked,true,4,FLNC WIX B TRLV
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-27,0.1481,0.4229,picked,true,4,CAPR FLNC OABI CNDT
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-28,0.0304,0.5627,picked,true,4,CAPR DJT MIST TH
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-08-31,-3.8595,-2.9222,picked,true,4,CAN NABL CYPH CNXC
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-09-01,-4.7223,-3.5626,picked,true,4,CTMX TRLV SKYX CYPH
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-09-02,0.6343,1.4375,picked,true,4,EOLS GPRO AVXL TEL
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-09-03,10.5636,10.8387,picked,true,4,FRNM MMED BMEA CNDT
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-09-04,-0.3899,0.2484,picked,true,4,CRM DFDV BMEA BAK
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-09-08,-0.2438,0.3776,picked,true,4,BMEA SMMT DFDV CYPH
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-09-09,3.1298,3.6328,picked,true,4,DFDV UGP HYLN ORBS
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-09-10,-9.2823,-7.8186,picked,true,4,OCGN SID INDP CMPS
excel_ml_lever_h1,2026-09-26,2026-08-13,2026-09-11,5.9576,6.5183,picked,true,4,INDP BAK AMTX CVI
